year,premières_ADJ âmes_NOUN,premières_ADJ ames_NOUN,premières_ADJ dames_NOUN
1800,0.0,0.0,9.432493897065797e-09
1801,0.0,0.0,5.9529565277216534e-08
1802,0.0,0.0,1.7902721083373763e-08
1803,0.0,0.0,3.510610468993036e-08
1804,0.0,4.943701892301533e-09,3.707776485839531e-08
1805,0.0,0.0,3.1271653710973624e-08
1806,0.0,2.881669125542885e-09,6.916005812485082e-08
1807,0.0,5.693910232196231e-09,4.27043254092041e-08
1808,0.0,4.5321479902327155e-09,2.4926814390369145e-08
1809,0.0,2.259030518203531e-09,4.51806094758922e-08
1810,0.0,0.0,7.722418615685456e-08
1811,2.5070767684098882e-09,0.0,8.774769000297056e-08
1812,0.0,0.0,4.5342538612658245e-08
1813,0.0,2.5881675469463516e-08,2.5881675469463516e-08
1814,3.1466771410748606e-09,0.0,4.405347908686963e-08
1815,0.0,0.0,8.091670444798638e-09
1816,0.0,0.0,7.184571870766376e-08
1817,0.0,0.0,5.2933695871004716e-08
1818,0.0,0.0,1.1205906935707333e-07
1819,0.0,0.0,8.591371392085989e-08
1820,0.0,3.5599443393152796e-09,2.8479554714522237e-08
1821,9.86148829262845e-10,0.0,8.678110041682174e-08
1822,0.0,0.0,6.817418807258946e-08
1823,9.882686891060644e-10,0.0,6.32491954366543e-08
1824,8.421112696055388e-10,0.0,4.126345132249298e-08
1825,0.0,0.0,1.0038204711904086e-07
1826,0.0,0.0,3.699353356978463e-08
1827,0.0,0.0,2.6730091917670507e-08
1828,0.0,0.0,7.154395120778645e-08
1829,0.0,0.0,6.68707716977579e-08
1830,0.0,1.0436835840010872e-09,1.3254781561222728e-07
1831,3.1182412207897414e-09,0.0,1.091384405071949e-08
1832,0.0,0.0,4.7354891563600177e-08
1833,0.0,0.0,6.02348677603004e-08
1834,3.733812370398937e-09,0.0,4.2005389389032644e-08
1835,1.5126175867408165e-09,0.0,6.201732105637348e-08
1836,0.0,0.0,2.755507466645213e-08
1837,0.0,0.0,5.287997240088771e-08
1838,3.1560809521380406e-09,0.0,3.976661888671629e-08
1839,6.9914751765765e-10,1.3982950353153e-09,3.5656523067473245e-08
1840,9.554533164646273e-09,0.0,2.93005673057678e-08
1841,5.1364388298225094e-09,3.2102742686390684e-09,1.4767261191650505e-08
1842,0.0,0.0,5.0311989241436095e-08
1843,5.906911071384968e-10,0.0,3.603215775749291e-08
1844,3.841992946007622e-09,0.0,2.5247382018367404e-08
1845,0.0,0.0,3.57134588568897e-08
1846,7.610851504580296e-09,0.0,4.273786080588593e-08
1847,3.235934187273415e-09,4.853901280910122e-09,3.721324315364427e-08
1848,0.0,0.0,3.539897619475596e-08
1849,0.0,0.0,3.1841775438579134e-08
1850,0.0,0.0,2.5798184921654865e-08
1851,4.514607354622058e-09,0.0,2.1283147688677673e-08
