year,mêmes_ADJ yeux_NOUN,mêmes_ADJ dieux_NOUN
1800,1.8236154630812962e-07,3.144164395507687e-08
1801,4.309940493385511e-07,4.7623651688866175e-09
1802,1.6783801015662903e-07,2.0140561218795483e-07
1803,2.2038832980797451e-07,4.8758481696609124e-08
1804,3.163969211072981e-07,3.9549615138412264e-08
1805,2.8713066058116965e-07,7.391481915419718e-08
1806,1.8442682403474464e-07,4.034336775760039e-08
1807,1.8505208743135881e-07,6.547996633798903e-08
1808,3.1498427688347874e-07,3.3991110370834576e-08
1809,1.5135503872443223e-07,6.7770917766551975e-09
1810,4.680253482547414e-07,4.212228077449254e-08
1811,1.1031137603367824e-07,7.270522672797597e-08
1812,1.2002436733382638e-07,2.6672082320544632e-09
1813,2.5594101771275746e-07,1.00650957790549e-07
1814,1.8565394555025705e-07,2.2026739543434815e-08
1815,2.1577788800186681e-07,8.091670444798638e-09
1816,2.503012126453541e-07,2.3176038865813098e-08
1817,3.409552675748273e-07,2.802372112142848e-08
1818,2.2173389879753813e-07,1.4305412854298538e-08
1819,2.0288058522055508e-07,2.5877625375869684e-08
1820,3.8922058820389793e-07,1.3053129244156025e-08
1821,4.565869176076376e-07,1.873682697883794e-08
1822,3.408709403629473e-07,4.712039469723095e-08
1823,1.8678278479455912e-07,1.9765374448255102e-08
1824,2.5347549126308877e-07,4.0421339164709025e-08
1825,2.835352574948047e-07,1.0566531649658373e-08
1826,2.3164999163327593e-07,7.92718590769681e-09
1827,2.1937110261660564e-07,8.295545750325317e-09
1828,2.2380415032330347e-07,1.1923991849460691e-08
1829,2.1775866798634524e-07,3.429270423183084e-09
1830,2.1812986972236104e-07,7.30578508800761e-09
1831,2.2763160245631298e-07,0.0
1832,2.0700852587651752e-07,1.7588959622116818e-08
1833,2.0271349399081373e-07,1.1583628278799551e-08
1834,1.8202335638761724e-07,1.2134890203796544e-08
1835,2.2008586597621616e-07,1.0588323107185715e-08
1836,1.1828520030121581e-07,6.720750067579218e-10
1837,1.349830824892706e-07,3.478945576063097e-09
