year,anciens_ADJ doutes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,2.25903047379461e-08
1810,1.8721014072298203e-08
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,4.1716869958463576e-08
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,0.0
1820,7.119888678630559e-09
1821,9.86148829262845e-10
1822,6.015369535816717e-09
1823,1.9765373782121287e-09
1824,8.421112696055388e-09
1825,1.0566531649658373e-08
1826,1.8496766784892316e-08
1827,2.7651818612639545e-09
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,4.174734336004349e-09
1831,6.236482441579483e-09
1832,5.411987746839486e-09
1833,1.1583628278799551e-08
1834,9.334531370086552e-09
1835,1.1344631900556124e-08
1836,1.4785650037651976e-08
1837,1.461157062010443e-08
1838,3.787297142565649e-09
1839,5.5931801412612e-09
1840,5.095750932326837e-09
1841,1.0914932957462042e-08
1842,4.024959032733477e-09
1843,3.18973185642335e-08
1844,8.781698035420504e-09
1845,5.580227835366713e-09
1846,1.2294452567118697e-08
1847,2.1572894581822766e-09
1848,3.218088684420195e-09
1849,2.513824481908955e-09
1850,1.0183494048021657e-08
1851,5.8044946626978344e-09
1852,1.5625309046640723e-08
1853,1.0749477752369785e-08
1854,7.79349651480743e-09
1855,7.960405667972736e-09
1856,2.5885946719483854e-09
1857,4.393358121745905e-09
1858,3.9149408159744326e-09
1859,7.129042689513199e-09
1860,1.0985241161165504e-08
1861,4.715963619617014e-09
1862,9.035972858839614e-09
1863,7.491931519609807e-09
1864,1.0548401263577034e-08
1865,4.706844358715045e-10
1866,1.0704348518686402e-08
1867,4.367530337390235e-09
1868,1.4819622196071691e-09
1869,3.4184632902167778e-09
1870,3.4404292748035914e-09
1871,7.434824311758348e-09
1872,2.4189357183956872e-09
1873,5.986004469882289e-10
1874,8.364453130127458e-09
1875,4.005069165202713e-09
1876,1.0882827083946722e-08
1877,2.4739263970730008e-09
1878,1.0266450800600069e-08
1879,1.832797580370027e-09
1880,1.9253538763308597e-09
1881,0.0
1882,4.6587693702804245e-09
1883,1.8958017378167824e-09
1884,5.941527270181268e-09
1885,1.2891271383708158e-09
1886,3.872078213618124e-09
1887,6.528924623161458e-10
1888,2.53624587998047e-09
1889,0.0
1890,3.9326319978272295e-09
1891,5.099376032546843e-09
1892,0.0
1893,6.158416554491453e-10
1894,1.8904617871129403e-09
1895,0.0
1896,4.1279202278587945e-09
1897,4.078699600285063e-09
1898,3.960848538042683e-09
1899,1.6582735185011188e-09
1900,4.671947717582725e-09
1901,1.3412973842719111e-08
1902,2.455141867585553e-09
1903,0.0
1904,3.7622376325430196e-09
1905,4.1286072338664326e-09
1906,6.173021205313489e-09
1907,2.5714217422034835e-09
