year,premiers_ADJ doutes_NOUN
1800,1.8864987794131594e-08
1801,1.904946067554647e-08
1802,4.475680270843441e-09
1803,1.950339267864365e-08
1804,3.460591457837836e-08
1805,8.528632911009026e-09
1806,4.610670600868616e-08
1807,2.562259560079383e-08
1808,1.8128591960930862e-08
1809,2.0331274441787173e-08
1810,7.020380277111826e-09
1811,7.521229861140455e-09
1812,0.0
1813,1.7254450312975678e-08
1814,2.5173417128598885e-08
1815,6.203614333344376e-08
1816,2.3176038865813098e-08
1817,2.0239355080775567e-08
1818,1.1921176934492905e-08
1819,2.4842520929269085e-08
1820,4.746592452420373e-09
1821,8.875339574387908e-09
1822,1.0025615893027862e-07
1823,1.9765373782121287e-09
1824,2.3579115548955087e-08
1825,2.7296874094417944e-08
1826,1.6735169694470642e-08
1827,1.566936447261469e-08
1828,1.1923991571904935e-08
1829,3.429270378774163e-08
1830,8.349468672008697e-09
1831,7.795603274018958e-09
1832,1.7588959622116818e-08
1833,3.59092489077284e-08
1834,2.8003592777992026e-09
1835,1.2100940693926532e-08
1836,2.7555075998719758e-08
1837,1.7394726437025554e-08
1838,4.418513199766494e-08
1839,3.5656522179294825e-08
1840,4.395085184683012e-08
1841,1.6693427085101575e-08
1842,1.6770663080478698e-08
1843,2.9534556134080958e-08
1844,2.360081374774836e-08
1845,3.4039391749729475e-08
1846,3.922516000898213e-08
1847,1.4561703842730367e-08
1848,1.769948809737798e-08
1849,1.4245005175439474e-08
1850,1.0862393651223101e-08
1851,2.902247508984601e-08
1852,2.7344290387532055e-08
1853,2.6873692604567623e-08
1854,9.871762074453727e-09
1855,2.4411910715116392e-08
1856,3.2616291445464185e-08
1857,2.7336451324799782e-08
1858,4.991549573674092e-08
1859,6.365216531634132e-08
1860,3.661747172145624e-08
1861,2.357981898626349e-08
1862,3.027050965442868e-08
1863,3.2465035104678464e-08
1864,3.7878350345188494e-08
1865,5.0833918407988676e-08
1866,4.233083156224282e-08
1867,3.591080499631971e-08
1868,3.655506963795574e-08
1869,3.5161338729494673e-08
1870,4.873941605865184e-08
1871,1.805600113868877e-08
1872,2.53988243770209e-08
1873,3.172582241361965e-08
1874,1.9716210886144836e-08
1875,2.0025344937835143e-08
1876,4.353130744760847e-08
1877,5.009701009583978e-08
1878,3.4422804162659304e-08
1879,2.8102895788251203e-08
1880,1.9253539207397807e-08
1881,1.8825771164188154e-08
1882,3.5939081044489285e-08
1883,1.7694148368718743e-08
1884,2.706695667598069e-08
1885,1.0957580620640783e-08
1886,2.2587123282846733e-08
1887,1.8933882017790893e-08
1888,2.282621336391344e-08
1889,2.8819629682708126e-08
1890,2.6872983838188702e-08
1891,1.5298128430707436e-08
1892,2.570090096298827e-08
1893,3.079208271694611e-08
1894,3.654892943849575e-08
1895,3.069493459406658e-08
1896,2.1819007267609436e-08
1897,1.9228154402028963e-08
1898,3.677930848766664e-08
1899,3.814029092552573e-08
1900,3.478005550228147e-08
1901,3.017919075753994e-08
1902,2.356936334990678e-08
1903,3.8881585728844925e-08
1904,4.72967016662551e-08
1905,3.4061010012464976e-08
1906,1.6461390472954918e-08
1907,3.754275823553144e-08
1908,3.536200066101003e-08
1909,3.025541034373802e-08
1910,3.2599319688131345e-08
1911,2.7133908342413804e-08
1912,3.8028776683241006e-08
1913,3.977242452046781e-08
1914,1.9420556718330317e-08
1915,3.887651445211304e-08
1916,3.5159878564172686e-08
1917,2.6319418866549427e-08
1918,1.4932290071101306e-08
1919,4.327688746252889e-08
1920,2.6502811945050553e-08
1921,4.4679210553510984e-08
1922,1.6969251559473264e-08
1923,5.520293200333981e-08
1924,4.2542360745301266e-08
1925,2.3096173862313663e-08
1926,5.3501466368288675e-08
1927,4.7941667635775786e-08
1928,4.1133747963328915e-08
1929,3.007909721297608e-08
1930,3.3611531891075686e-08
1931,3.649714130915527e-08
1932,4.274219267408341e-08
1933,6.538277608214571e-08
1934,4.67281626725935e-08
1935,3.7101681726881e-08
1936,3.3949200339833396e-08
1937,3.7773354000236736e-08
1938,2.7226950249925608e-08
1939,9.176430282309411e-09
1940,2.282204625281281e-08
1941,3.246652768851277e-08
1942,5.158160010232393e-08
1943,4.064529335323641e-08
1944,2.8918675454292497e-08
1945,2.6142048525912287e-08
1946,1.9489545088902105e-08
1947,3.5762611982903536e-08
1948,2.9354097819123126e-08
1949,3.043272556180199e-08
1950,3.93508372553697e-08
1951,1.5992101864981123e-08
1952,3.057993103183776e-08
1953,4.201792691560513e-08
1954,1.9545072893478732e-08
1955,2.1586898935055387e-08
1956,4.186147961604547e-08
1957,3.534015108330735e-08
1958,2.3162282425381875e-08
1959,2.945284249822322e-08
1960,2.9759583242139342e-08
1961,3.265634829219266e-08
1962,2.473363025501385e-08
1963,2.651081842941494e-08
1964,3.832899991840222e-08
1965,3.6115487489496445e-08
1966,3.1572725878170615e-08
1967,3.6977517270386784e-08
1968,3.05416276435988e-08
1969,3.724241387503824e-08
1970,2.0234390524231927e-08
1971,3.69964627822128e-08
1972,3.283293903422191e-08
1973,2.536073712144926e-08
1974,4.050411767098083e-08
1975,2.1132477101559743e-08
1976,1.9997344224975677e-08
1977,3.1146943912929714e-08
1978,2.9702957538013663e-08
1979,3.394144487689488e-08
1980,3.8659026313503375e-08
