year,les_DET eaux_NOUN,les_DET dos_NOUN
1800,6.798626600357238e-05,9.432493763839034e-08
1801,5.570538405663683e-05,3.5717738544605027e-08
1802,6.57835489619174e-05,4.699464284385613e-08
1803,6.877285841255798e-05,4.290746380419819e-08
1804,6.552382501467946e-05,4.449331569844617e-08
1805,6.032870669514523e-05,2.2743021466098412e-08
1806,5.051277844358992e-05,1.0085842117035781e-07
1807,5.490352896231343e-05,2.2775641372874134e-08
1808,5.092548053653445e-05,7.024829162816104e-08
1809,5.907139029659447e-05,9.036121983996281e-08
1810,5.2238649459468434e-05,3.510190182964834e-08
1811,5.3568709972751094e-05,6.518399464638946e-08
1812,5.794242997581023e-05,1.1202274663446588e-07
1813,4.849650667893002e-05,2.8757416004054903e-08
1814,4.401571959533612e-05,9.440030979135372e-09
1815,5.169229098100914e-05,2.6972236000233352e-08
1816,5.242188080956112e-05,4.6352077731626196e-09
1817,4.4865978225061554e-05,2.1796227045456362e-08
1818,5.1160924613213865e-05,4.410835785506606e-08
1819,4.7381931381096365e-05,5.796588098405664e-08
1820,3.839281180262333e-05,1.2934463811120622e-07
1821,3.80860542463779e-05,3.352906019493673e-08
1822,4.8787653213366866e-05,5.714601059025881e-08
1823,3.7892198633926455e-05,6.720226830569942e-08
1824,4.0812080214891466e-05,5.89477879842093e-08
1825,4.547130765786278e-05,1.1094858454185896e-07
1826,4.5599815848618164e-05,3.170874285363112e-08
1827,4.266859968993231e-05,1.5392845281736456e-07
1828,4.227238491694152e-05,1.742737222309998e-07
1829,4.606024685926968e-05,4.115124341286247e-08
1830,4.466026530280942e-05,6.470838265215662e-08
1831,4.8145645450858865e-05,2.1515864467858137e-07
1832,4.258693161318661e-05,1.2041672547979942e-07
1833,5.670186237693997e-05,9.03523016404506e-08
1834,4.441183205017296e-05,7.747661001644701e-08
1835,5.218606474954868e-05,5.52105419160398e-08
1836,4.175064509581716e-05,1.9759005098762827e-07
1837,4.713414455181919e-05,1.0923888582592411e-07
1838,4.5350988330028486e-05,1.0225702595789699e-07
1839,4.228024772601202e-05,1.055712727238145e-07
1840,4.3711350599551224e-05,1.248458955660503e-07
1841,4.367578185338061e-05,8.089891423423978e-08
1842,3.850678172057087e-05,4.628702887643499e-08
1843,4.213517991047411e-05,3.6622846977252266e-08
1844,4.2020973978651455e-05,7.519328892868771e-08
1845,4.3623432247841265e-05,6.194052870611699e-08
