year,elles_PRON iront_VERB,elles_PRON diront_VERB
1800,1.6978487771268647e-07,7.231578180721954e-08
1801,1.0715321963061797e-07,4.286128607589035e-08
1802,1.2755688771903806e-07,3.3567602031325805e-08
1803,6.63115340415743e-08,1.3652374120098898e-08
1804,6.673997532402609e-08,3.707776552452913e-08
1805,1.1655798992649125e-07,1.7057265822018053e-08
1806,6.627838811112952e-08,8.645007376628655e-09
1807,7.6867792131452e-08,8.540865437112188e-08
1808,9.744117868137891e-08,5.891792298484688e-08
1809,9.03612189517844e-08,4.969867095638847e-08
1810,1.333872248210355e-07,6.552354925304371e-08
1811,1.0529722160868005e-07,4.011322962682584e-08
1812,5.067695729721322e-08,4.000812481308458e-08
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,6.293354060105116e-08,1.2586708120210233e-08
1815,7.012781066961793e-08,5.3944471112288284e-08
1816,1.6454987417091615e-07,1.3905623319487859e-08
1817,1.4167548112453687e-07,8.095741854674543e-08
1818,6.675859332005984e-08,1.1921177378582115e-08
1819,7.763287168671695e-08,1.2421260464634543e-08
1820,5.3399164201550775e-08,3.9159386844289656e-08
1821,1.2031015628188868e-07,2.8598316381689415e-08
1822,8.321261191213125e-08,5.213320264374488e-08
1823,5.6331317388469415e-08,1.4824030891702478e-08
1824,9.431646041946351e-08,4.463189640091514e-08
1825,7.748790231687508e-08,1.4969253392393966e-08
1826,5.637109878886548e-08,4.227832306469281e-08
1827,4.6086365612652e-08,2.2121455334200846e-08
1828,8.80540889092174e-08,1.9261832129302547e-08
1829,7.544394797776022e-08,3.0006115814273926e-08
1830,6.679574804380195e-08,3.026682460216534e-08
1831,8.263339346115117e-08,7.17195456356734e-08
1832,9.741577855493233e-08,3.6530917846278044e-08
1833,6.370995642157595e-08,3.243415935827443e-08
1834,7.094243681393664e-08,5.974099970273983e-08
1835,3.479020449503878e-08,2.4201881387853064e-08
1836,1.2433387652777128e-07,8.468144852002979e-08
1837,4.661786867643514e-08,2.7831562832147938e-08
1838,7.258986300939796e-08,2.9667161172142187e-08
1839,1.1046531067648857e-07,8.319855560046108e-08
1840,9.681926904647753e-08,4.0766007458614695e-08
1841,1.1556987011829278e-07,2.8250414008113012e-08
1842,7.244926614191627e-08,5.0982814414624045e-08
1843,9.214781204747169e-08,3.839492279666956e-08
1844,1.245903389346381e-07,4.390849106528094e-08
1845,7.254296363612411e-08,2.1762889490517523e-08
1846,8.196302037077885e-08,1.6978053629657097e-08
1847,8.413429153364405e-08,2.534815113364175e-08
1848,1.0941501304984058e-07,3.539897575066675e-08
1849,8.128032180643174e-08,3.7707368560901955e-08
1850,1.018349369275029e-07,2.851378333446064e-08
1851,8.900225800800854e-08,2.579775593147815e-08
1852,8.528814277042329e-08,2.408901789152651e-08
1853,8.719020616609896e-08,3.642878354526147e-08
1854,1.007958925214325e-07,4.1045749910040286e-08
1855,1.1038429192922194e-07,3.3964397516683675e-08
1856,7.869327589560271e-08,5.5913643492999654e-08
1857,1.2008512584316122e-07,5.9554411180329225e-08
1858,9.738414963322839e-08,5.5787905850479547e-08
1859,1.4054398000951096e-07,3.360834366361587e-08
1860,1.162604679194601e-07,3.295572348349651e-08
1861,1.381777359199532e-07,7.545541969022906e-08
1862,1.468345534050286e-07,7.048058847658467e-08
1863,1.063854204730319e-07,3.3963421408600425e-08
1864,1.1171716352009753e-07,7.383880884503924e-08
1865,1.3273301391336645e-07,5.883555598273915e-08
1866,1.0412411599602933e-07,3.065336073859726e-08
1867,9.317398053099168e-08,5.143980352784183e-08
1868,8.150792130123818e-08,3.8037030414272976e-08
1869,9.327521688362594e-08,5.3718711257033647e-08
1870,8.658413808149135e-08,2.2362789842134134e-08
1871,1.0939812433718998e-07,4.885741411442268e-08
1872,9.071008655325841e-08,5.865918950576088e-08
1873,1.0355788049309922e-07,2.1549616313620845e-08
1874,6.990292611419591e-08,4.361464611690735e-08
1875,7.609630880978102e-08,3.204055154526486e-08
1876,1.324077194553297e-07,2.539326260375674e-08
1877,1.0885276147121203e-07,2.72131899237138e-08
