year,autres_ADJ hommages_NOUN,autres_ADJ dommages_NOUN
1800,3.144164484325529e-09,3.458580977167003e-08
1801,7.143547975374531e-09,2.1430643926123594e-08
1802,2.0140561218795483e-08,5.594600338554301e-08
1803,1.950339223455444e-09,1.014176405078615e-07
1804,4.943701892301533e-09,4.2021465418429216e-08
1805,5.685755422035754e-09,5.685755510853596e-08
1806,2.0171682990621775e-08,7.204172902675055e-08
1807,0.0,2.0782772480743006e-07
1808,2.2660739951163578e-09,1.8808414381510374e-07
1809,9.036122072814123e-09,6.551188391767937e-08
1810,9.360507036149102e-09,1.2168659679900884e-07
1811,5.0141535368197765e-09,1.253538335355131e-07
1812,0.0,7.734903562095496e-08
1813,0.0,7.764502640839055e-08
1814,6.293354282149721e-09,4.405347908686963e-08
1815,1.8880564667256294e-08,2.4275012222574333e-08
1816,2.3176038865813098e-09,4.1716869958463576e-08
1817,3.113746815941454e-09,4.0478710161551135e-08
1818,2.384235386898581e-08,3.099506074022429e-08
1819,9.315945348475907e-09,7.556266723440785e-08
1820,8.306536791735653e-09,5.6959109429044474e-08
1821,1.0847637454958203e-08,9.960103142248045e-08
1822,0.0,6.316138012607553e-08
1823,1.9765373782121287e-09,1.383576204716519e-07
1824,1.6842225392110777e-09,1.440010208852982e-07
1825,1.1447076175841175e-08,1.4528980329941987e-07
1826,1.7615968683770689e-09,9.776862697208344e-08
1827,4.608636583469661e-09,1.262766430865092e-07
1828,9.172301251858528e-10,9.814362300630819e-08
1829,9.430493719264632e-09,1.0030615982259405e-07
1830,1.3567886369969528e-08,1.4194097275321838e-07
1831,0.0,1.2784788339104125e-07
1832,0.0,6.22378593106987e-08
1833,5.791814139399776e-09,9.961920710566119e-08
1834,1.4001796166951408e-08,1.362841561824979e-07
1835,1.663879345414898e-08,1.3462296521993267e-07
1836,6.72075017860152e-09,1.276942498407152e-07
1837,6.957890930081589e-10,1.3359149875213916e-07
1838,4.418513555037862e-09,9.468242723187359e-08
1839,6.292327547896548e-09,8.180025901083354e-08
1840,1.0191501864653674e-08,1.178392423639707e-07
1841,1.6051371787284552e-08,1.2006425142985222e-07
1842,6.708265054555795e-09,9.056157779241403e-08
1843,3.5441467538532834e-09,8.092467851383844e-08
