year,leurs_DET âmes_NOUN,leurs_DET ames_NOUN,leurs_DET dames_NOUN
1800,3.04983969190431e-07,1.2042149819535553e-06,8.17482743720177e-08
1801,1.9763816005990975e-07,1.959713259225282e-06,1.976381529544824e-07
1802,2.394488944901241e-07,1.3113743477788375e-06,1.4098392853156838e-07
1803,4.524786945125925e-07,1.2696708135973012e-06,1.0726865440346955e-07
1804,2.71903616066993e-07,1.5597379068310602e-06,1.3842364676719399e-07
1805,2.5585898111302185e-07,1.0888221131377662e-06,2.0753007468066187e-07
1806,2.7087691023552907e-07,9.826491611519828e-07,1.988351714388159e-07
1807,3.3594069215325817e-07,1.3836202086281446e-06,9.394952016350544e-08
1808,5.07600597998703e-07,1.1307709417707201e-06,1.2463406706686442e-07
1809,2.7560172299878616e-07,1.5225865332979538e-06,2.2364402596508626e-07
1810,3.8612091124434755e-07,1.7363740991704901e-06,2.316725553619392e-07
1811,4.3873842070496494e-07,9.251113444186387e-07,9.27618373225414e-08
1812,5.867858128283387e-07,7.228134215608861e-07,2.587191918479448e-07
1813,4.3423699946920635e-07,6.355389150503044e-07,1.1790540566103402e-07
1814,6.356287745035161e-07,8.433094897952742e-07,3.744545846728897e-07
1815,6.041780924448403e-07,6.33847548670019e-07,1.1328339066807303e-07
1816,8.482430189360457e-07,1.11013225456702e-06,9.733936323641501e-08
1817,1.019752073005975e-06,8.67178501118282e-07,4.4993640813117963e-07
1818,7.569947459984405e-07,9.25083367464552e-07,1.1801965627000754e-07
1819,1.3663385880491319e-06,6.531512509733162e-07,2.2047736614183577e-07
1820,1.1830881128105375e-06,8.448934538662911e-07,9.374519915894552e-08
1821,1.1035005913484497e-06,9.368413829147215e-07,2.0413280710229742e-07
1822,1.2040764119092273e-06,9.514309198266346e-07,2.4863527414709097e-07
1823,7.846853398163489e-07,1.153309519441592e-06,2.263135236990621e-07
1824,8.522165888535937e-07,1.3945362820066975e-06,2.9305470938822964e-07
1825,1.3181748492741008e-06,1.1587962518433415e-06,3.2580139186499935e-07
1826,1.2049322064555668e-06,9.900174373633774e-07,2.880210843159148e-07
1827,9.364749384843662e-07,7.373818302625068e-07,1.1613763817308609e-07
1828,1.1676339859434393e-06,8.887960032955e-07,1.577635846961023e-07
1829,8.418859094305731e-07,7.827309849162134e-07,2.494794144602963e-07
1830,8.756505387452762e-07,9.414026120868613e-07,2.2543564881516431e-07
1831,7.390231484549759e-07,8.247748013445744e-07,1.3720261904381914e-07
1832,7.536193091794985e-07,7.130293929735743e-07,2.1647950898540103e-07
1833,8.259127000087574e-07,9.880835118991627e-07,1.424786338910522e-07
1834,8.979818986176724e-07,8.494423215932301e-07,2.6043341350145965e-07
1835,1.1079923893930754e-06,9.098394500028917e-07,1.9739659506967655e-07
1836,1.2050304576405324e-06,1.1902448115996833e-06,2.3522625003380426e-07
1837,1.2468540049326293e-06,6.018575697819273e-07,2.0177884052507977e-07
1838,1.1911049409008e-06,6.0154902414844e-07,2.9099066822801944e-07
1839,1.2207115638318555e-06,5.872839321519052e-07,1.9156641806183927e-07
1840,1.7745953133641024e-06,3.063820236404169e-07,1.7452946510232437e-07
1841,1.6680584664641174e-06,3.1974330916284543e-07,2.0417344881451527e-07
1842,1.7085951391493381e-06,3.857252384165122e-07,1.710607553384591e-07
1843,1.7726639924831034e-06,3.5618673410731105e-07,1.7543525498986412e-07
1844,2.1010213409056178e-06,2.804654815058427e-07,1.0922236720611878e-07
1845,1.862680058195565e-06,2.3548561484121322e-07,1.7298706378454654e-07
1846,1.8113826989463178e-06,2.0783480181307823e-07,1.8148954161745223e-07
1847,1.5758999687420783e-06,2.1195369193094393e-07,1.984706283764126e-07
1848,1.4400946817261229e-06,2.856053729072272e-07,2.1078480472169758e-07
1849,1.4764529474575738e-06,1.6339858888159142e-07,2.430030388023141e-07
1850,1.3951387174415686e-06,2.260735687542592e-07,1.1541293343242387e-07
1851,1.4027529715576748e-06,1.6446069439624011e-07,1.1093034646414424e-07
1852,1.764357866917976e-06,1.9922268590377712e-07,1.3997672643206727e-07
1853,1.696028590458809e-06,1.3138249999045115e-07,2.0603164996302326e-07
1854,1.8730370179298461e-06,2.3120706416079884e-07,1.6418299964016114e-07
1855,1.999653996165307e-06,2.573864463784048e-07,1.9317251798156576e-07
1856,2.1179881670718714e-06,2.2106598418503154e-07,1.5790426832751336e-07
1857,1.920873852867544e-06,3.295018546900508e-07,2.6116073759130387e-07
1858,1.8718310954568551e-06,3.704512696600659e-07,2.2413036449009383e-07
1859,2.002751784857537e-06,1.3137807153285053e-07,1.588758049564376e-07
1860,1.8070721843344018e-06,1.0252891699535915e-07,1.3731551296025657e-07
1861,1.9146812668680013e-06,1.4572327922124373e-07,1.674167173781882e-07
1862,1.8840003122022608e-06,1.4909355372516586e-07,1.9743599466437445e-07
1863,1.8430151023096641e-06,1.578300213300743e-07,2.1926385385118152e-07
1864,1.8555597591785045e-06,1.6302075156460205e-07,1.4959551886128963e-07
1865,1.873794737150547e-06,1.7791871886885247e-07,7.248540534465775e-08
1866,1.947218194686684e-06,1.153150238630829e-07,1.216403238135655e-07
1867,1.6358827856777225e-06,8.346835578265654e-08,1.4024624661601592e-07
1868,1.599531174178992e-06,1.2399084114989023e-07,1.432563436765122e-07
1869,1.7087433015205988e-06,8.204312462734009e-08,1.5676095932448675e-07
1870,1.5997995674865706e-06,8.142349461337517e-08,1.410576029314825e-07
1871,1.100353969718526e-06,7.328612317003547e-08,2.379143764219549e-07
1872,1.4332194666621945e-06,9.978110149244657e-08,1.2759885525959191e-07
1873,1.3947390016255667e-06,1.0774808351099452e-07,1.634179245257883e-07
1874,1.4327112332068737e-06,9.559374530843101e-08,1.469753811988994e-07
1875,1.360579162223985e-06,1.602027601133038e-07,1.2587360265214897e-07
1876,1.2684538646112742e-06,1.052006610713363e-07,2.2914396424766892e-07
1877,1.4138489596859927e-06,1.4905406864329507e-07,1.5276495579641391e-07
1878,1.162524533526721e-06,1.4856158414566778e-07,1.4252249513901916e-07
1879,1.438746085824505e-06,1.539549978613053e-07,1.1668811428222625e-07
1880,1.2578978498822835e-06,8.40737852669804e-08,1.3990905323169045e-07
1881,1.156738974827931e-06,1.0528486044103502e-07,1.5618416654428202e-07
1882,1.317766272990184e-06,9.117877586284351e-08,1.1114493414510207e-07
1883,1.2347988729288772e-06,9.036654724514648e-08,9.289428248848708e-08
1884,1.2239546443026939e-06,1.0694749263961967e-07,1.9276955676161833e-07
1885,1.101559185201495e-06,5.736615876772433e-08,1.0957580798276467e-07
1886,1.2093791070810767e-06,7.937760482246148e-08,1.0131938155133469e-07
1887,1.216338628040603e-06,7.051238765098944e-08,1.1295039392678063e-07
1888,1.3315290807724978e-06,8.179392674279029e-08,1.0462014410350662e-07
1889,1.3238233407264488e-06,1.209171417992927e-07,1.340739275157432e-07
1890,1.2086288343482465e-06,1.1011369310809371e-07,1.147017609781642e-07
1891,1.237236137541231e-06,1.038997901048333e-07,1.5234385974949305e-07
1892,1.244926615129316e-06,7.208789098989143e-08,1.1032581426206889e-07
1893,1.2649387635121911e-06,8.991288336090975e-08,1.0284555435058351e-07
1894,1.270390320939896e-06,1.329624805812557e-07,1.2918156189201113e-07
1895,1.590117982175343e-06,1.3421510480782217e-07,2.1004964878557075e-07
1896,1.3398049603097206e-06,9.022454150464654e-08,1.391698789543483e-07
1897,1.38442716490772e-06,7.050323302948414e-08,7.866063000960821e-08
1898,1.320660025783127e-06,8.883617352850592e-08,7.469028606710282e-08
1899,1.3846583613030816e-06,7.793885536955258e-08,1.1276259748171924e-07
1900,1.5920959484105879e-06,5.0353213154608056e-08,2.0816123669220588e-07
1901,1.3502393230169218e-06,6.81826142767683e-08,9.612631135524907e-08
1902,1.3719333580297643e-06,6.137854857701797e-08,7.512734612191707e-08
1903,1.4856005527974503e-06,7.236295007650995e-08,1.4040573170781556e-07
1904,1.318933072980144e-06,5.96583396017536e-08,1.354405503306566e-07
1905,1.4914593222670192e-06,4.8511136441220515e-08,1.1611708039538371e-07
1906,1.46866468142548e-06,5.761486576716379e-08,1.1368647478970928e-07
1907,1.4219961812500514e-06,5.8628414900674386e-08,1.5685672760668012e-07
