year,seuls_ADJ essais_NOUN,seuls_ADJ décès_NOUN
1800,2.2009151834367913e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,0.0,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.067695596494559e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,0.0
1820,2.8479554714522237e-08,0.0
1821,4.930744257336528e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,9.882686891060644e-10,0.0
1824,4.210556348027694e-09,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,0.0
1827,3.6869092223668076e-09,0.0
1828,8.255071293206129e-09,4.586150570418113e-09
1829,3.429270423183084e-09,0.0
1830,0.0,1.0436835395921662e-08
1831,1.5591206103948707e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,1.1344631900556124e-08,0.0
1836,6.720750067579218e-10,0.0
1837,9.74104708006962e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,0.0,1.3283802502428443e-08
1840,1.2102408852854296e-08,1.52872523528913e-08
1841,3.2102742686390684e-09,3.852329122366882e-09
1842,6.708265054555795e-09,0.0
1843,3.5441467538532834e-09,8.860366662588604e-09
1844,0.0,0.0
1845,5.022205318283568e-09,0.0
1846,2.3418005312692003e-09,8.781752214304106e-09
1847,9.168480197274675e-09,3.235934187273415e-09
1848,2.413566457803995e-09,8.045221711050488e-10
1849,8.379414495607307e-09,5.02764896381791e-09
1850,1.3577992064028876e-09,0.0
1851,8.384270167027807e-09,1.805842941848823e-08
1852,1.8880582430824688e-08,2.6042181744401205e-09
1853,8.957897534855874e-09,4.956703492098313e-08
1854,4.676098175337984e-09,1.7665259477439577e-08
1855,1.2736649068756378e-08,4.5108965451845506e-08
1856,6.212626857404757e-09,1.0354378465748937e-09
1857,5.369659827891837e-09,4.393358121745905e-09
1858,9.787352039936081e-10,6.361778659424999e-09
1859,6.619825576592575e-09,3.5645213447565993e-09
1860,4.57718396518203e-09,9.154367819341758e-10
1861,4.2443675241088386e-09,0.0
1862,3.6143890103090826e-09,3.162590411776023e-09
1863,1.8480097452311384e-08,0.0
1864,4.794728170054441e-09,0.0
