year,six_DET oies_NOUN,six_DET doigts_NOUN
1800,0.0,1.4463157071986643e-07
1801,0.0,2.214499801311831e-07
1802,0.0,2.551137754380761e-07
1803,1.1702034896643454e-08,3.3350801231790683e-07
1804,2.7190360185613827e-08,1.8044511307380162e-07
1805,3.980028751016107e-08,7.391481915419718e-08
1806,0.0,1.7866348400730203e-07
1807,2.8469551160981155e-09,9.679647661187119e-08
1808,1.3596443970698147e-08,1.6315732409566408e-07
1809,1.581321384946932e-08,7.454800510231507e-08
1810,0.0,7.956430891908894e-08
1811,0.0,1.3287507272252697e-07
1812,0.0,6.668020802180763e-08
1813,0.0,1.2078115219082974e-07
1814,0.0,3.304010931515222e-07
1815,0.0,7.282503844407984e-08
1816,0.0,1.6918508549679245e-07
1817,0.0,2.95805961059159e-07
1818,1.668964877410417e-08,1.6332012364728143e-07
1819,0.0,1.811433776310878e-07
1820,0.0,1.1035827185423841e-07
1821,0.0,1.1143481515318854e-07
1822,2.0051231786055723e-09,1.233150754842427e-07
1823,1.9765373782121287e-09,4.348382276475604e-08
1824,0.0,5.3053010873327366e-08
1825,0.0,1.3560382683408534e-07
1826,0.0,1.1362299545680798e-07
1827,1.8434546111834038e-09,1.3549392008371797e-07
1828,1.8344602503717056e-09,5.503380862137419e-08
1829,0.0,1.2516836989107105e-07
1830,2.0873671680021744e-09,9.184415716845251e-08
1831,0.0,1.1693404644574912e-07
1832,9.470978667991403e-09,1.7994858581005246e-07
1833,0.0,7.066013552048389e-08
1834,0.0,9.987947890977011e-08
1835,0.0,1.3008511245971022e-07
1836,1.6129799718100912e-08,7.594447737346854e-08
1837,4.174734336004349e-09,1.7742621594152297e-07
1838,0.0,8.079567237473384e-08
1839,0.0,7.271134450093086e-08
1840,1.2739377330817092e-09,7.771020449354182e-08
1841,1.926164561183441e-09,5.393260948949319e-08
1842,2.683306021822318e-09,8.787826999423487e-08
1843,1.1813822142769936e-09,5.079943576902224e-08
1844,2.7442805805577564e-09,6.805815644383983e-08
1845,0.0,7.310098482093963e-08
1846,3.5127007969038004e-09,9.367202125076801e-08
1847,9.707802561820245e-09,1.197295631527595e-07
1848,8.045221711050488e-10,5.068489628001771e-08
1849,8.379414939696517e-10,7.792856138166826e-08
1850,4.073397619208663e-09,9.368814346544241e-08
1851,5.8044946626978344e-09,7.15887722435582e-08
1852,1.9531636308300904e-09,3.320378283433456e-08
1853,1.1346670270029335e-08,9.614809926006274e-08
1854,1.0391328908454511e-09,5.455447649183043e-08
1855,5.306937111981824e-09,1.0666943239812099e-07
1856,0.0,5.7466799319172424e-08
1857,9.763018171682347e-10,3.368241152656992e-08
1858,1.468102750479261e-09,2.7893953813418193e-08
1859,1.5276520048956854e-09,3.411756210880412e-08
1860,2.288591982591015e-09,4.622955884769908e-08
1861,5.187560159214399e-09,6.177912581506462e-08
1862,4.969785055708442e-09,5.2408640982548604e-08
1863,4.994620717013731e-09,5.4940830551686304e-08
1864,2.3973640850272204e-09,4.2193605054308136e-08
1865,2.3534221238463715e-09,6.495444893062086e-08
1866,1.9462451650298362e-09,5.400830360713371e-08
1867,3.396968040192405e-09,7.473329333151923e-08
1868,9.87974813071446e-10,5.236266531483125e-08
1869,1.953407657850903e-09,7.715960492760132e-08
1870,1.1468097582678638e-09,6.364793847524197e-08
1871,1.0621177271019633e-09,7.541035529357032e-08
1872,3.0236697590169115e-09,6.893966997267853e-08
1873,4.788803575905831e-09,1.0655087834265942e-07
1874,3.5847653734322193e-09,8.244960270076263e-08
1875,2.2886108563824337e-09,1.2244068159361632e-07
1876,6.04601479992084e-09,6.650616057868319e-08
1877,5.566334282391949e-09,1.1812998224058902e-07
1878,5.435179861734696e-09,7.367687970827319e-08
1879,5.498392852132383e-09,7.819936342912115e-08
1880,8.984984978255284e-09,3.401458670282409e-08
1881,6.972507571312292e-10,4.044054335849978e-08
1882,4.658769592325029e-09,2.9283693692150337e-08
1883,6.951272890631799e-09,6.19295192905156e-08
1884,9.242375753615306e-09,7.393900602892245e-08
1885,6.445635636342928e-09,3.674012205578947e-08
1886,3.2267319927115068e-09,8.26043375923291e-08
1887,6.528924623161458e-10,9.66280850889234e-08
1888,1.268122939990235e-09,7.545331470737437e-08
1889,5.012109394186837e-09,4.573549716724301e-08
1890,2.6217545912032847e-09,4.784702056781498e-08
1891,1.9122659011827636e-09,6.756673087693343e-08
1892,3.761107425503951e-09,3.63573704476039e-08
1893,8.005941687372342e-09,8.744951429662251e-08
1894,3.150769645188234e-09,3.843938856107343e-08
1895,6.018614495673091e-10,3.671354775747204e-08
1896,2.948514543632541e-09,3.892039046604623e-08
1897,6.409385022720926e-09,4.253501018069983e-08
1898,1.13167097914868e-09,5.092519472782442e-08
1899,2.2110313580014918e-09,4.09040801230276e-08
1900,3.114631885736685e-09,3.010810800674335e-08
1901,9.500856101851696e-09,4.526878427668635e-08
1902,9.820567692386817e-10,3.83002145554201e-08
