year,as_VERB étendu_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.400487453257938e-08
1813,8.627225156487839e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,4.746592452420373e-09
1821,8.875339574387908e-09
1822,4.010246357211145e-09
1823,9.882686891060644e-10
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,0.0
1828,2.7516904310687096e-09
1829,1.714635211591542e-09
1830,0.0
1831,3.1182412207897414e-09
1832,1.8941957335982806e-08
1833,3.4750886612755494e-09
1834,2.8003592777992026e-09
1835,4.5378527602224494e-09
1836,4.032449929525228e-09
1837,2.0873671680021744e-09
1838,1.8936485712828244e-09
1839,2.7965900706306e-09
1840,4.458782232319436e-09
1841,1.2841097074556274e-09
1842,3.3541325272778977e-09
1843,2.3627644285539873e-09
1844,1.6465684371524958e-09
1845,2.2320911785556063e-09
1846,4.6836010625384006e-09
1847,2.6966118227278457e-09
1848,1.045878850192139e-08
1849,0.0
1850,3.394498016007219e-09
1851,1.2253933867611977e-08
1852,7.161600201754936e-09
1853,6.569124799682413e-09
1854,1.558699391779328e-09
1855,5.306937111981824e-10
1856,5.177189343896771e-09
1857,2.4407544874094356e-09
1858,5.3830437884982985e-09
1859,6.110608019582742e-09
1860,1.8308735638683515e-09
1861,3.772770984511453e-09
1862,9.035972525772706e-10
1863,1.5982786649715308e-08
1864,4.315255264231155e-09
1865,3.294791106611683e-09
1866,2.919367858567057e-09
1867,8.73506067478047e-09
1868,8.89177353968762e-09
1869,2.9301114867763545e-09
1870,1.4335121534259088e-08
1871,1.0621177271019633e-09
1872,1.0280476914203973e-08
1873,0.0
1874,5.974609140757536e-10
1875,1.1443054281912168e-09
1876,9.069021977836655e-09
1877,1.0514186854493346e-08
1878,3.0195443923020093e-09
1879,1.221865053580018e-09
1880,3.2089231272180996e-09
1881,2.7890030285249168e-09
1882,2.6621540527571597e-09
1883,6.319338941018771e-10
1884,5.941527270181268e-09
1885,0.0
1886,3.2267319927115068e-09
1887,0.0
1888,4.4384300679212174e-09
1889,4.385595886446936e-09
1890,1.3108772956016423e-09
1891,6.374220040683554e-10
1892,1.8805537127519756e-09
1893,0.0
1894,5.041231432301174e-09
1895,0.0
1896,1.7691086373616827e-09
1897,5.826713556089658e-10
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,0.0
1901,0.0
1902,2.455141867585553e-09
1903,5.400220270956879e-10
1904,5.374625189347171e-10
1905,5.160759042333041e-10
1906,0.0
1907,0.0
1908,5.40252820258047e-09
1909,3.850688656825696e-09
1910,2.67207544979442e-09
1911,6.384448969498635e-09
1912,1.0418842455450772e-09
1913,5.30298971401777e-10
1914,0.0
1915,3.534228465440492e-09
