year,ils_PRON iraient_VERB,ils_PRON diraient_VERB
1800,4.4018303668735825e-08,6.917161954334006e-08
1801,3.333655596016172e-08,7.619784447854272e-08
1802,6.489736392722989e-08,2.0140561218795483e-08
1803,2.730474935042082e-08,5.460949736857401e-08
1804,4.943701981119375e-08,5.6852572427601444e-08
1805,3.1271653710973624e-08,5.401467628729506e-08
1806,7.492339815229343e-08,8.645007376628655e-09
1807,1.4234775314037051e-07,9.39495183871486e-08
1808,4.7587552121086674e-08,6.118399653587403e-08
1809,6.099382510171836e-08,6.099382510171836e-08
1810,8.658469319300366e-08,6.084329662314758e-08
1811,1.1031138136274876e-07,5.515568801683912e-08
1812,4.5342538612658245e-08,3.200649967283198e-08
1813,7.18935417864941e-08,8.91479885467561e-08
1814,9.125363931161701e-08,9.754699092923147e-08
1815,1.4295284911369777e-07,5.664169400176888e-08
1816,3.476405829871965e-08,3.9399266071882266e-08
1817,1.2299299934070973e-07,1.0431051933323943e-07
1818,6.556647669242466e-08,1.6332012364728143e-07
1819,1.0454560817052538e-07,1.0972112907126075e-07
1820,5.933240565525466e-08,1.1866480953415248e-07
1821,9.861488514673056e-08,9.664258193708974e-08
1822,1.7945852448519872e-07,9.825103575167304e-08
1823,1.5021683541505126e-07,4.249555241031544e-08
1824,1.583169142449492e-07,1.162113569819212e-07
1825,1.1182912929008637e-07,8.8934975828181e-08
1826,1.083382059618998e-07,1.1362299900952166e-07
1827,1.7144127362200834e-07,7.189472839286282e-08
1828,1.146537678131665e-07,8.6219628769868e-08
1829,1.406000804671237e-07,1.2431105389509867e-07
1830,1.325478125036028e-07,1.3254781805471794e-07
1831,1.7150326470094512e-07,1.4499821432423232e-07
1832,1.1229874452567401e-07,9.606278439378002e-08
1833,1.1583628811706603e-07,7.645194521899157e-08
1834,2.146942126302065e-07,1.4095141764869368e-07
1835,1.315977371518784e-07,8.848812882433776e-08
1836,1.4382405666424347e-07,9.87950237174573e-08
1837,1.5724833524188853e-07,1.1897993523746209e-07
1838,2.0262039091001327e-07,8.332054068915795e-08
1839,1.1675763822438512e-07,9.718150550952487e-08
1840,1.5924221052898702e-07,1.159283318230564e-07
1841,1.3483151661830561e-07,1.078652154262727e-07
1842,1.7508572103253073e-07,9.123240474195882e-08
1843,9.805472633850343e-08,9.687334312502571e-08
1844,1.6026598670393355e-07,1.448980118112786e-07
1845,1.4675999082669478e-07,1.2443908481429844e-07
1846,1.8558768566379058e-07,7.669396495657566e-08
1847,1.542461971482112e-07,1.1379702158365035e-07
1848,1.3918233321419393e-07,1.2791902292974555e-07
1849,2.0864743066617564e-07,9.720121596501485e-08
1850,1.7651390304962433e-07,8.282575247875457e-08
1851,1.496269819156737e-07,8.190787248452125e-08
1852,1.6666996849323823e-07,1.2825774220459607e-07
1853,1.3616003879945993e-07,1.0749477574734101e-07
1854,1.501547006732551e-07,7.429800419345156e-08
1855,1.4010314330903384e-07,7.270503488143731e-08
1856,1.651523411361211e-07,8.438818177580742e-08
1857,1.5718458623581455e-07,8.103305226825341e-08
1858,1.321292524281148e-07,1.1744822359105456e-07
1859,1.1050016368585602e-07,1.0184346876940253e-07
1860,1.2678799432563892e-07,8.467790024724309e-08
1861,1.457232823298682e-07,1.061091854381857e-07
1862,1.45479156721251e-07,7.228778109436007e-08
1863,1.4484400256975505e-07,1.0688488316645817e-07
1864,1.3904710627343775e-07,1.002098111158034e-07
1865,1.4873628817468898e-07,1.2896753176505626e-07
1866,1.2018063610952368e-07,1.0315099174817988e-07
1867,1.766423434190756e-07,1.1015882073195371e-07
1868,8.1013935560037e-08,8.990570599110015e-08
1869,1.4357545641274783e-07,1.0011214257588108e-07
1870,1.2213524236415196e-07,8.314370347761724e-08
1871,1.9861601074921964e-07,8.921788996474334e-08
1872,1.5602135539083406e-07,8.042961496812495e-08
1873,1.568333232171426e-07,7.90152583363124e-08
