year,vingt - deux ans,vingt - deux dents
1800,1.2711195171988265e-06,4.1337223422033276e-08
1801,9.596987329274498e-07,2.8764812753934166e-08
1802,1.4534674761534916e-06,2.4635042450427136e-08
1803,1.167856370720699e-06,1.714284536546984e-08
1804,1.2477480701988952e-06,5.436811001402475e-09
1805,1.433105943249302e-06,0.0
1806,1.7348024812235963e-06,0.0
1807,1.5232098322659482e-06,2.4919588170746465e-08
1808,2.0469018267021966e-06,2.4901481765482458e-08
1809,1.739555308688523e-06,1.4825754846015116e-08
1810,1.4590812078552062e-06,0.0
1811,2.6737649960750787e-06,0.0
1812,2.39515176048144e-06,1.1683667366924055e-08
1813,3.2383304748861974e-06,0.0
1814,2.338777580490614e-06,0.0
1815,2.545475549453613e-06,0.0
1816,2.31529073868586e-06,2.5331408082251983e-09
1817,1.90232774066601e-06,1.1942865363323563e-08
1818,2.59752256326351e-06,7.819937586361903e-09
1819,2.7428576423460527e-06,2.9395835099421674e-08
1820,2.2168220503715474e-06,2.589745307091107e-09
1821,2.3404297770923677e-06,4.320128699220049e-09
1822,2.026288019152389e-06,2.1929524862684957e-08
1823,2.1051949694594896e-06,1.727339515866788e-08
1824,1.8733391140557387e-06,2.4806354304018896e-08
1825,2.44688532191617e-06,1.3454986458327767e-08
1826,2.2392677152538454e-06,1.0571650221891105e-08
1827,1.8561907317860005e-06,0.0
1828,2.114875849557052e-06,9.020797442360617e-09
1829,1.9648806919292383e-06,2.6223382576517906e-08
1830,1.8810141817482418e-06,1.4838096973335269e-08
1831,2.0212204425718028e-06,0.0
1832,2.1453615666189307e-06,8.895763237148913e-09
1833,1.7679922414970406e-06,1.774329128068075e-08
1834,2.3137418097007867e-06,2.045748681567261e-09
1835,1.9678363720743164e-06,2.2408935151929654e-08
1836,2.0627862014066523e-06,1.762437484842394e-08
1837,2.213531985262307e-06,7.590987394223703e-09
1838,2.060543700110884e-06,1.720560760531953e-08
1839,2.2522680112047055e-06,1.0699610086817302e-08
1840,2.1787186703647876e-06,7.654393563427675e-09
1841,2.2028102897309054e-06,7.0197900825519355e-09
1842,2.347266644164847e-06,1.1736332794498594e-08
1843,2.4951852672927544e-06,1.0326685284667292e-08
1844,2.357685691123379e-06,8.975960419377316e-09
1845,2.170523895728138e-06,1.159076923329394e-08
1846,2.301252372660656e-06,8.328585821004708e-09
1847,2.1329861290553254e-06,9.42495947953148e-09
1848,2.111521306247255e-06,8.809016294186733e-10
1849,1.7981453943605175e-06,2.752263306149416e-09
1850,1.993486776541431e-06,5.201046704428336e-09
1851,1.9368713175538232e-06,3.5292844202672313e-09
1852,2.508863197192568e-06,1.2840358110111083e-08
1853,2.971739405666085e-06,1.9611125168239596e-08
1854,2.7711204317881766e-06,1.6481234155207858e-08
1855,2.9036578723662387e-06,8.144903418383365e-09
1856,2.353523179010608e-06,6.238254357526785e-09
1857,2.579089173337934e-06,1.0699394703550524e-09
1858,2.6778133381810676e-06,1.0721975529648375e-09
1859,2.489464709043432e-06,2.787130304326979e-09
1860,2.5968057748571027e-06,5.017982029897894e-09
1861,2.331991922233101e-06,0.0
1862,2.551789226146184e-06,1.4853255292379686e-09
1863,2.548866845586417e-06,4.93435203807735e-09
1864,2.384340927363837e-06,5.249539691831728e-10
1865,2.4704190515478786e-06,0.0
1866,2.2889604771592076e-06,1.3348265603951859e-08
1867,2.2746597743150687e-06,4.258665420309171e-09
1868,2.406869583637672e-06,5.950902437490413e-09
1869,2.570438546456444e-06,1.2321818232408077e-08
1870,2.502633659418052e-06,6.28328855611926e-09
1871,1.9562080417756533e-06,6.99895519318261e-09
1872,2.073635791077777e-06,1.1276969580364948e-08
1873,2.1944619881253402e-06,1.3120848851855271e-09
1874,2.154682430699495e-06,1.3765844464330712e-08
1875,2.3142338925197237e-06,2.5147881554943297e-09
1876,2.0659626400743036e-06,6.640831218263088e-10
1877,5.797999087064909e-06,6.807560071209195e-10
1878,2.092424566058071e-06,0.0
1879,2.449632930279222e-06,4.704370226704668e-09
1880,2.4063077788127885e-06,7.066983109815794e-10
1881,2.2661274314828006e-06,1.0758149926459737e-08
1882,2.6269565722714106e-06,3.6638168054992093e-09
1883,2.3477473405364435e-06,1.3933219022987942e-09
1884,2.3075801145466812e-06,5.092389621097482e-09
1885,2.0525021966477652e-06,2.130625231799854e-09
1886,2.1881970866388656e-06,1.1378340047940583e-08
1887,2.2220095594605027e-06,7.20262405273786e-10
1888,2.3224510936614706e-06,0.0
1889,2.2256366776218783e-06,6.91406210062695e-10
1890,2.0725469624949255e-06,1.4457949282231652e-09
1891,2.036484534784222e-06,0.0
1892,2.3290173736256747e-06,3.4585942998432984e-09
1893,2.308241562332114e-06,6.792941764643956e-10
1894,2.0062249070917915e-06,4.1752858948029825e-09
1895,2.2669001573660807e-06,4.649370222153948e-09
1896,2.120419438256249e-06,7.80522491083957e-09
1897,2.0214498874793208e-06,0.0
1898,2.047570465180115e-06,0.0
1899,1.961281974161011e-06,6.10041017701235e-10
1900,2.1119968707239423e-06,2.2944017796788785e-09
1901,1.8730230415542337e-06,1.8502037679724026e-09
1902,1.729207394163268e-06,7.029298032534825e-09
1903,1.8783086872531385e-06,0.0
1904,1.6672052254307346e-06,1.7805680263549561e-09
1905,1.6985428388238688e-06,0.0
1906,1.8905614282971328e-06,2.837828638746487e-09
1907,1.863113418210105e-06,2.2734758520215337e-09
1908,1.9106372057819954e-06,0.0
1909,1.9095973584626336e-06,6.6726721925647325e-09
1910,1.9039901602013742e-06,2.3593433873259073e-09
1911,1.881328039132768e-06,4.697448208190735e-09
1912,1.949627144171018e-06,1.7243164673885758e-09
1913,2.0408638210511754e-06,4.095769945422489e-09
1914,1.872501501409829e-06,1.4773187118066744e-09
1915,1.540388343101995e-06,0.0
1916,1.5552062464507799e-06,0.0
1917,1.6366809063583787e-06,0.0
1918,1.8830167398675712e-06,3.791309044487434e-09
1919,1.7878045142083465e-06,3.0404838646802546e-09
1920,1.6461482275076378e-06,4.171688328113987e-09
1921,1.551051720838359e-06,8.356959568800448e-10
1922,1.7427916958467904e-06,4.071943227046404e-09
1923,1.6001649463248668e-06,4.692565891417644e-09
1924,1.665714659537798e-06,0.0
1925,1.642563109527373e-06,0.0
1926,1.5518549467685716e-06,0.0
1927,2.1525634466001975e-06,0.0
1928,1.6080248634864347e-06,1.2651650838080286e-09
1929,1.6440379582149944e-06,0.0
1930,1.6276111587387732e-06,0.0
1931,1.3891400723053948e-06,0.0
1932,1.5876625383270948e-06,0.0
1933,1.487030978353232e-06,0.0
1934,1.5145835163821175e-06,0.0
1935,1.4178936496023198e-06,0.0
1936,1.375785043222777e-06,0.0
1937,1.3654691315423406e-06,0.0
1938,1.421501394816005e-06,1.4344111454178687e-09
1939,1.4383906936643598e-06,0.0
1940,1.3847906252806297e-06,0.0
1941,1.3386331367826187e-06,0.0
1942,1.3524870183800886e-06,0.0
