year,aux_ADP hommages_NOUN,aux_ADP dommages_NOUN
1800,3.8673223912155663e-07,3.4900224932243873e-07
1801,4.309940493385511e-07,2.7859834972332465e-07
1802,2.5958945570891956e-07,4.72184268573983e-07
1803,2.2233867014165298e-07,5.870521135875606e-07
1804,2.6448805812151477e-07,1.1345796337991487e-06
1805,3.752598676243224e-07,1.1854799595312215e-06
1806,3.342736203393315e-07,1.4350712262967136e-06
1807,2.790015969367232e-07,3.168661123709171e-06
1808,2.6966281385654156e-07,1.7358127024635905e-06
1809,1.7620438086396462e-07,1.287647364733857e-06
1810,4.3994384357759486e-07,1.876781652754289e-06
1811,1.529316882020737e-07,1.4841893971606623e-06
1812,3.574058915489786e-07,1.840373670347617e-06
1813,3.6809493519918135e-07,1.3400956504483474e-06
1814,3.8074793451414735e-07,5.758419092671829e-07
1815,5.313530229145158e-07,7.8758927202216e-07
1816,2.2248997311180574e-07,5.817185524392698e-07
1817,4.1101458236880717e-07,3.191590565165825e-07
1818,3.147190854591031e-07,3.612116756812611e-07
1819,3.384793307859013e-07,1.084790028471616e-06
1820,3.0140863227501313e-07,3.93967184209032e-07
1821,4.851852410947544e-07,7.425700800922641e-07
1822,4.391219619037656e-07,4.6819627641525585e-07
1823,2.5596159503038507e-07,5.840668109158287e-07
1824,3.0905483505705433e-07,7.806371513652266e-07
1825,3.346068293552662e-07,8.867081078278716e-07
1826,2.99471480946778e-07,9.01056807833811e-07
1827,2.774399137095429e-07,1.6720133544367854e-06
1828,2.5682442600372113e-07,1.6134077895912924e-06
1829,2.8120016859478625e-07,1.2413959211698966e-06
1830,2.8492562909043784e-07,1.4131476291368017e-06
1831,4.7241354650395806e-07,1.2504146980063524e-06
1832,3.030713173757249e-07,9.944527619154542e-07
1833,3.139163388121702e-07,1.165313051387784e-06
1834,3.0710605436468086e-07,9.521221500108368e-07
1835,2.6546439357844065e-07,8.145445917762117e-07
1836,2.278334214622646e-07,8.279964163193654e-07
1837,2.1639041292154104e-07,7.493648581657908e-07
1838,2.272378323286972e-07,7.410478133351717e-07
1839,2.2023147228100726e-07,8.270915259345202e-07
1840,2.0574094738989857e-07,7.541711397607287e-07
1841,2.3306590613003664e-07,8.866777534421999e-07
1842,2.7638051491862825e-07,8.452414022031007e-07
1843,2.4454610891844197e-07,6.03095600126835e-07
1844,2.469852563025121e-07,9.495211088506039e-07
1845,1.9474995838208997e-07,9.726337566462462e-07
1846,2.57012601423412e-07,8.213865498873929e-07
1847,2.2327946336275772e-07,1.0484426411494496e-06
