year,devais_VERB écrire_VERB,devais_VERB décrire_VERB
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,2.490997452753163e-08,0.0
1818,2.1458118837358597e-08,0.0
1819,1.2421260464634543e-08,2.070210003424222e-09
1820,8.306536791735653e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,3.208197085768916e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,1.7610886082763955e-09,7.044354433105582e-09
1826,2.3781558056157337e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,8.255071293206129e-09,0.0
1829,8.573175946935407e-09,8.57317605795771e-10
1830,2.0873670791843324e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,4.40177885252524e-08,6.950177322551099e-09
1834,4.667265685043276e-09,3.733812370398937e-09
1835,1.4369867074037757e-08,0.0
1836,1.008112526790228e-08,0.0
1837,9.74104708006962e-09,0.0
1838,1.2624323808552163e-09,0.0
1839,9.788065469251706e-09,1.3982950353153e-09
1840,1.1465439264668476e-08,0.0
1841,4.494383976094696e-09,0.0
1842,1.0733224087289273e-08,0.0
1843,5.906910960362666e-09,1.1813822142769936e-09
1844,3.841992946007622e-09,0.0
1845,1.0044410636567136e-08,0.0
1846,1.4050803187615202e-08,0.0
1847,1.1325769655456952e-08,6.47186837454683e-09
1848,8.04522137798358e-09,0.0
1849,1.005529792763582e-08,1.6758829879393033e-09
1850,6.1100964288129944e-09,3.394498016007219e-09
1851,5.8044946626978344e-09,6.449438760824933e-10
1852,6.510545436100301e-09,0.0
1853,1.6124216628554677e-08,0.0
1854,1.1430461910322265e-08,0.0
1855,6.368324534378189e-09,0.0
1856,6.212626857404757e-09,2.0708756931497874e-09
1857,8.298565390418844e-09,4.393358121745905e-09
1858,1.2234189661342043e-08,2.4468380654951716e-09
1859,1.9350258284589472e-08,5.092173349652285e-10
1860,2.8836257826014844e-08,0.0
1861,1.4147890858851042e-08,2.357981809808507e-09
1862,1.0391368654438793e-08,9.035972525772706e-10
1863,1.3485475847119233e-08,0.0
1864,1.1986819536957682e-08,0.0
1865,2.447559133145205e-08,0.0
1866,1.3623716377253459e-08,1.4596839292835284e-09
1867,1.455843445796745e-08,0.0
1868,5.9278488784286765e-09,0.0
1869,2.490594752657671e-08,1.953407657850903e-09
1870,1.204150201772336e-08,5.734048791339319e-10
1871,9.559059321873065e-09,0.0
1872,1.3908880269752899e-08,6.047339295989218e-10
1873,1.0774807712721213e-08,1.7958012854535355e-09
1874,1.8521287614703397e-08,0.0
1875,1.94531928343622e-08,2.2886108563824337e-09
1876,7.859819461941697e-09,0.0
1877,1.1751150275074451e-08,6.80329748092845e-09
1878,3.6234530931267273e-09,0.0
1879,2.3215436684154156e-08,1.221865053580018e-09
1880,2.3104245627791897e-08,0.0
1881,4.8807553554297556e-09,0.0
1882,1.1314154946262533e-08,0.0
1883,1.1374810426900694e-08,0.0
1884,5.941527270181268e-09,4.621187876807653e-09
1885,6.445635580831777e-09,0.0
1886,7.744156427236248e-09,6.453463874400711e-10
1887,1.4363633837888301e-08,0.0
1888,1.2047167707862627e-08,0.0
1889,7.51816386923565e-09,2.5060546970934183e-09
1890,6.554386366985909e-09,2.6217545912032847e-09
1891,4.461953917456185e-09,0.0
1892,1.0656471260972467e-08,0.0
1893,1.1700991287000306e-08,0.0
1894,2.898708117982096e-08,0.0
1895,2.2268872967856623e-08,0.0
1896,2.4177818858106548e-08,1.179405795248556e-09
1897,1.631479840114025e-08,0.0
1898,1.810673566637888e-08,0.0
1899,6.633094074004475e-09,0.0
1900,1.453494924419374e-08,3.633737311048435e-09
1901,5.58873880507349e-09,0.0
1902,2.455141867585553e-09,0.0
1903,1.296052865029651e-08,2.7001101354784396e-09
1904,1.827372564378038e-08,1.0749250378694342e-09
1905,7.741138396966107e-09,1.0321518084666081e-09
1906,1.0288369267641428e-08,0.0
1907,1.5942815068115124e-08,1.028568674676933e-09
1908,7.367083831866239e-09,4.911389073214423e-10
1909,1.7053048750881317e-08,5.500983557560346e-10
1910,2.0307773240801907e-08,3.206490406526541e-09
1911,1.649316061502759e-08,2.128149656499545e-09
1912,7.293189607793238e-09,5.209421227725386e-10
1913,9.015082902408267e-09,5.302989602995467e-09
