year,sommes_VERB en_PRON,sommes_VERB dans_ADP
1800,3.144164395507687e-08,1.106745912693441e-06
1801,2.3811825400343878e-08,1.4668084986624308e-06
1802,1.1189200677108602e-08,1.0428334462631028e-06
1803,1.1702034896643454e-08,1.2267634019735851e-06
1804,6.179627121127851e-08,1.433673560313764e-06
1805,3.4114531644036106e-08,1.0490218755876413e-06
1806,4.610670600868616e-08,1.4091361890677945e-06
1807,1.9928686256776018e-08,1.1587106882871012e-06
1808,1.8128591960930862e-08,1.1670281310216524e-06
1809,5.873479480555943e-08,1.0007505579778808e-06
1810,1.6380887757350138e-08,1.1419818974900409e-06
1811,6.016983888912364e-08,7.270522814906144e-07
1812,3.7340914360584065e-08,8.428377782365715e-07
1813,4.026038169513413e-08,1.0611486231937306e-06
1814,5.664018942752591e-08,1.268110850105586e-06
1815,4.315557688983063e-08,9.548170964990277e-07
1816,2.3176038865813098e-08,1.0452394008098054e-06
1817,4.514932783195036e-08,1.4447784906224115e-06
1818,2.741870730460505e-08,1.3685511248695548e-06
1819,2.898294049202832e-08,1.3104429399390938e-06
1820,1.6613073583471305e-08,1.2388605910018669e-06
1821,8.678109963966563e-08,1.6301040659527644e-06
1822,2.2056354964661296e-08,1.4597296740248566e-06
1823,7.313188632451784e-08,1.3727052419199026e-06
1824,5.726356633317664e-08,1.1259027132837218e-06
1825,6.251864448358901e-08,1.1799293133663014e-06
1826,4.7563116112314674e-08,1.1415147582738427e-06
1827,1.566936447261469e-08,1.1761239875340834e-06
1828,3.393751413227619e-08,1.6042355355239124e-06
1829,2.4862210068476998e-08,1.5766071328471298e-06
1830,2.0873670791843324e-08,1.4778559034311911e-06
1831,4.8332740476553226e-08,1.6744954791647615e-06
1832,4.058990654698391e-08,1.6533622329006903e-06
1833,4.9809603552830595e-08,1.347175953014812e-06
1834,4.947301235347368e-08,1.4701886357215699e-06
1835,6.277362984974388e-08,1.7213587852893397e-06
1836,6.51912728244497e-08,1.4752046126886853e-06
1837,8.766942727334026e-08,1.2844266166212037e-06
1838,8.647661786653771e-08,1.2958868182977312e-06
1839,5.173691519644308e-08,1.3039101531830966e-06
1840,3.885510224677091e-08,1.42681028592051e-06
1841,5.714288064950779e-08,1.3868384485249408e-06
1842,4.293289634915709e-08,1.5764422869324335e-06
1843,3.7804230856863796e-08,1.5777359294588678e-06
1844,5.3239045172404076e-08,1.4028762507223291e-06
1845,4.185170965342877e-08,1.6015254686863045e-06
1846,6.205771541090144e-08,1.5338792991315131e-06
1847,4.7999691332734074e-08,1.366103560940246e-06
1848,2.815827571112095e-08,1.5969765172485495e-06
1849,7.709061833338637e-08,1.5946026223900844e-06
1850,5.0917471128286707e-08,1.5166617686190875e-06
1851,5.804495017969202e-08,1.4350001720231376e-06
1852,3.906327350478023e-08,1.5071913139763637e-06
1853,4.18035241978032e-08,1.48880258166173e-06
1854,7.377843758149538e-08,1.6132538576130173e-06
1855,6.633671034705912e-08,1.5156612107602996e-06
1856,5.487820686767009e-08,1.5163986972765997e-06
1857,5.174399575480493e-08,1.647997464715445e-06
1858,6.704335930862726e-08,1.6315516404574737e-06
1859,3.768208145515928e-08,1.7267559542233357e-06
1860,4.8060432078500526e-08,1.6615177855783259e-06
1861,9.714885607081669e-08,1.8717660168476868e-06
1862,5.1956842384015545e-08,1.5609642787239864e-06
1863,6.542953201460477e-08,1.7026662817443139e-06
1864,6.616724590458034e-08,1.8584365761853405e-06
1865,8.84886759422443e-08,1.8356693090026965e-06
1866,7.882292862859686e-08,1.7462684809288476e-06
1867,6.69687949539366e-08,1.797481331777817e-06
1868,4.445886503390284e-08,1.7951501831703354e-06
1869,6.983432143670143e-08,1.8088554725181893e-06
1870,9.575861525945584e-08,1.885355231934227e-06
1871,9.665271250014484e-08,1.929867949002073e-06
