year,vos_DET âmes_NOUN,vos_DET ames_NOUN,vos_DET dames_NOUN
1800,5.345079756580162e-08,7.074370076409764e-07,1.8864987083588858e-07
1801,1.0000967165524344e-07,7.619784128110041e-07,2.0716288418043405e-07
1802,4.2518962573012686e-08,4.6770858830313955e-07,1.7902721083373763e-07
1803,1.2872238985828233e-07,4.739324399594125e-07,7.216254971353919e-08
1804,1.9033252840472414e-07,6.006598087804349e-07,9.887403851216447e-08
1805,2.2458734161290295e-07,4.1506015868719714e-07,1.9047280952477763e-07
1806,2.2188851911408847e-07,2.53586887488666e-07,2.1324351706653033e-07
1807,1.7366426163789583e-07,6.035544686255889e-07,9.964342950752325e-08
1808,1.1330370286444236e-07,3.036539277800898e-07,5.891792254075767e-08
1809,1.400598961254218e-07,4.427699797915352e-07,1.2876473753919981e-07
1810,1.2402671245581587e-07,5.241883958007065e-07,2.737948254782907e-07
1811,1.2535383575595915e-07,1.2535383620004836e-07,1.5293168686980607e-07
1812,1.6269970615212515e-07,3.707419580223359e-07,2.8272407481821915e-07
1813,2.674439656402683e-07,1.4953856464217097e-07,6.901780125190271e-08
1814,4.185080473284586e-07,4.185080513252615e-07,4.720015622794449e-08
1815,3.85702975336244e-07,3.128779222372202e-07,4.045835311217161e-08
1816,5.05237675696435e-07,8.551958163849349e-07,5.0987285504788815e-08
1817,3.0826092256575066e-07,2.9113533628333244e-07,1.8993855788185243e-07
1818,2.825319118660019e-07,2.968373085110443e-07,1.2278812655530658e-07
1819,4.85464227040211e-07,2.7844325833914496e-07,9.315944693444322e-08
1820,5.422982098934881e-07,3.3582142400234716e-07,1.340912394454108e-07
1821,9.17118433640951e-07,3.7375039996234705e-07,1.193240106722726e-07
1822,4.351117155465545e-07,4.1706562114995904e-07,1.4637399203820678e-07
1823,3.093281026878003e-07,4.605332060148015e-07,1.788766303967293e-07
1824,3.865290860716186e-07,6.181096852131418e-07,1.8779081756292726e-07
1825,3.892005953076705e-07,6.110977208706458e-07,2.3334424636978213e-07
1826,4.403992122092859e-07,3.9635928827941314e-07,1.8937166201826727e-07
