year,aux_ADP années_NOUN,aux_ADP damnés_NOUN
1800,3.175606195782166e-07,1.2576657937302116e-08
1801,3.619397475063124e-07,1.6668277424969347e-08
1802,7.384872446891677e-07,1.1189200677108602e-08
1803,3.998195268195559e-07,3.315576790896557e-08
1804,3.534746895184071e-07,4.943701892301533e-09
1805,4.776034643327876e-07,1.1371510844071508e-08
1806,6.454938556998968e-07,3.458002950651462e-08
1807,5.52309302292997e-07,3.131650672116848e-08
1808,4.260218986473774e-07,9.064295980465431e-09
1809,4.1114356008620234e-07,1.3554183553310395e-08
1810,8.026634614743955e-07,2.3401266702194334e-08
1811,6.668824248379224e-07,2.2563691359778204e-08
1812,4.98767921186527e-07,8.00162425207418e-09
1813,4.6011866072781515e-07,5.751483289628823e-09
1814,1.063576888782336e-06,1.5733386149463513e-08
1815,3.263640451223182e-07,4.315557688983063e-08
1816,6.836931447651295e-07,5.5622493277951435e-08
1817,4.2035580993804444e-07,5.60474440192138e-08
1818,6.973888524441918e-07,6.437435473571895e-08
1819,1.2193537213267547e-06,4.45095160728215e-08
1820,5.767109731991127e-07,1.3053129244156025e-08
1821,6.715673650514731e-07,1.7750679148775816e-08
1822,4.982731098834847e-07,5.81485721795616e-08
1823,5.475008446609309e-07,2.3718449093657057e-08
1824,5.431617751128215e-07,2.6947560627377243e-08
1825,5.010297001728503e-07,3.6982861217893515e-08
1826,4.3951842254585927e-07,2.025836387531399e-08
1827,4.719243917317151e-07,2.027800150017356e-08
1828,3.5129912606679525e-07,2.7516904310687096e-08
1829,6.45560129797218e-07,4.200856196234781e-08
1830,4.936623403395402e-07,4.383471008395645e-08
1831,5.877884825533641e-07,4.677361786775691e-08
1832,5.493167335446358e-07,4.329590197471589e-08
1833,4.795622339237582e-07,1.7375443306377747e-08
1834,8.055700142506339e-07,2.8937046536725575e-08
1835,6.958041112170577e-07,4.9160071569076536e-08
1836,5.860493974552128e-07,7.594447842818042e-08
1837,6.039449376160633e-07,3.1310509740478665e-08
1838,7.006499700423774e-07,2.7142295522253335e-08
1839,7.334057575691943e-07,4.4046291947097416e-08
1840,5.847374340284262e-07,5.032054062326097e-08
1841,6.773678555838103e-07,8.218302127716015e-08
1842,8.828076936140405e-07,8.653661920376976e-08
1843,9.693241160846355e-07,5.9069112268161916e-08
1844,6.174631242972239e-07,6.037417676907353e-08
1845,6.590249252980129e-07,7.19849424513086e-08
1846,7.312272303217071e-07,6.381406336686268e-08
1847,8.068262431493167e-07,5.177494699637464e-08
1848,7.36137767631817e-07,3.218088551193432e-08
1849,6.527564302416522e-07,5.027649052635752e-08
1850,8.533768101059991e-07,4.2091777174846357e-08
1851,8.313326560482892e-07,4.9660677348128957e-08
1852,7.382958244761539e-07,3.2552726736412296e-08
1853,7.315616326053487e-07,3.642878354526147e-08
1854,8.375411049144077e-07,8.468933287986147e-08
1855,9.202228703486526e-07,6.580602018857462e-08
1856,7.89521333643961e-07,9.888431407034659e-08
1857,8.601219034787277e-07,8.542640728137485e-08
1858,8.103927386926557e-07,7.43838746153358e-08
1859,8.356256513408766e-07,6.416138376152958e-08
1860,8.371669277806859e-07,6.774232214068476e-08
1861,7.720032435543089e-07,5.423358323541905e-08
1862,9.7001164123256e-07,6.189641515996769e-08
1863,7.836560191876174e-07,4.844782380830637e-08
1864,8.069527277498878e-07,7.431828230597404e-08
1865,9.098330187029546e-07,5.977692296710302e-08
1866,8.213154689684643e-07,6.909170480184912e-08
1867,8.963142672513413e-07,5.435148864307848e-08
1868,9.163466669903642e-07,5.77965266757019e-08
1869,9.327521306445874e-07,6.299739396808945e-08
1870,8.136615359255472e-07,4.300536460277726e-08
