year,sans_ADP étendre_VERB,sans_ADP etendre_VERB,sans_ADP détendre_VERB
1800,1.3834323908668011e-07,0.0,0.0
1801,1.3572740198419808e-07,0.0,0.0
1802,7.608656460433849e-08,0.0,0.0
1803,7.021220937986072e-08,0.0,0.0
1804,9.640218934237055e-08,0.0,0.0
1805,7.107194477384837e-08,2.842877711017877e-09,2.842877711017877e-09
1806,9.797675204481493e-08,0.0,0.0
1807,1.3950079669200477e-07,0.0,2.8469551160981155e-09
1808,7.93125889408941e-08,4.5321479902327155e-09,0.0
1809,4.969867051229926e-08,0.0,0.0
1810,9.828532343547636e-08,0.0,0.0
1811,1.178326058948187e-07,0.0,0.0
1812,1.3069320914382843e-07,0.0,0.0
1813,8.91479885467561e-08,0.0,2.8757416448144113e-09
1814,1.730672454236526e-07,0.0,0.0
1815,1.2676950511547602e-07,0.0,0.0
1816,1.321034233114915e-07,2.3176038865813098e-09,0.0
1817,8.407116247610702e-08,0.0,1.556873407970727e-09
1818,6.556647669242466e-08,0.0,2.384235475716423e-09
1819,5.279035386607234e-08,0.0,5.175524897538253e-09
1820,9.137190648544902e-08,0.0,0.0
1821,8.579494892302364e-08,1.97229765852569e-09,9.86148829262845e-10
1822,9.724847416237026e-08,0.0,5.012807946513931e-09
1823,8.400283846299317e-08,0.0,0.0
1824,6.231623572716671e-08,0.0,8.421112696055388e-10
1825,7.308517879778265e-08,8.805443041381977e-10,0.0
1826,1.0657661064783497e-07,0.0,8.807984341885344e-10
1827,1.1890282358706372e-07,6.452091305675367e-09,0.0
1828,6.695779808385538e-08,0.0,1.4675682002973645e-08
1829,9.944883938572957e-08,8.57317605795771e-10,0.0
1830,9.497520947476801e-08,0.0,1.0436835840010872e-09
1831,1.2472964328047453e-07,0.0,1.5591206103948707e-09
1832,1.0823975593599044e-07,0.0,0.0
1833,9.498575348487748e-08,2.3167257001688313e-09,0.0
1834,5.974099814842759e-08,9.334530925997342e-10,1.8669061851994684e-09
1835,1.384045091867847e-07,0.0,3.025235173481633e-09
1836,7.997692286210167e-08,6.720750067579218e-10,2.016224964762614e-09
1837,1.0019362761681805e-07,0.0,5.5663127440652715e-09
1838,7.38522962784316e-08,0.0,6.312161904276081e-10
1839,1.363337682747101e-07,6.9914751765765e-10,0.0
1840,8.790170502592787e-08,0.0,1.9109065441114126e-09
1841,8.34671274319021e-08,0.0,1.2841097074556274e-09
1842,1.3215282468337364e-07,6.708265054555795e-10,6.708265054555795e-10
1843,9.92361031126876e-08,0.0,0.0
1844,1.0044067455527994e-07,0.0,8.232841963717874e-09
1845,1.328094310082406e-07,0.0,1.674068439427856e-09
1846,1.2352998002285176e-07,0.0,0.0
1847,9.114547872002277e-08,5.393223645455691e-10,5.393223645455691e-10
1848,1.0297883701326782e-07,0.0,1.6090443422100975e-09
1849,9.72012137445688e-08,1.6758829879393033e-09,2.513824481908955e-09
1850,5.499086785931695e-08,0.0,1.4935791270431764e-08
1851,1.154449542628555e-07,6.449438760824933e-10,1.2898877521649865e-09
1852,1.0221556312473012e-07,0.0,1.3021090872200602e-09
1853,1.0271722850063725e-07,0.0,0.0
1854,1.0235458702823053e-07,0.0,5.195664454227256e-10
1855,8.597238121410555e-08,0.0,5.306937111981824e-10
1856,6.626802484532845e-08,0.0,5.177189232874468e-10
1857,5.760180693537009e-08,0.0,2.4407544874094356e-09
1858,8.074565371885001e-08,0.0,1.1744822003834088e-08
1859,9.827894542624449e-08,5.092173349652285e-10,5.092173349652285e-10
1860,7.369266263879126e-08,0.0,9.154367819341758e-10
1861,9.950683610426836e-08,0.0,5.187560159214399e-09
1862,1.0301008845914339e-07,0.0,1.355395884417021e-08
1863,7.491931608427649e-08,0.0,1.9978483312144135e-09
1864,8.534615503208443e-08,0.0,9.589455896019672e-10
1865,5.3658026022418426e-08,0.0,1.882737743486018e-09
1866,8.125573325301616e-08,4.865612912574591e-10,4.379051787850585e-09
1867,5.968958305402339e-08,4.85281148598915e-10,2.0867089389753346e-08
1868,7.508608668160832e-08,0.0,7.409810987013543e-09
1869,5.9578933231385633e-08,0.0,3.4184632902167778e-09
1870,4.185855706495545e-08,0.0,5.734048791339319e-10
1871,6.372706229385017e-08,0.0,1.0621177271019633e-09
1872,7.922014422234724e-08,0.0,2.4189357183956872e-09
1873,5.92614437522343e-08,5.986004469882289e-10,0.0
1874,4.6601951408931086e-08,2.9873046258899194e-09,1.1949218281515073e-09
1875,4.462791269865818e-08,0.0,5.721527140956084e-10
1876,5.8041742079240066e-08,0.0,1.0882827083946722e-08
1877,2.659470932364627e-08,0.0,1.2369631985365004e-09
1878,6.220261461464816e-08,0.0,4.22736201599605e-09
1879,4.7041805117942204e-08,0.0,0.0
1880,4.3641353641987735e-08,0.0,2.5671385017744797e-09
1881,6.275257163901315e-08,0.0,2.7890030285249168e-09
1882,7.054708373033236e-08,0.0,3.3276925659464496e-09
1883,4.86589106785118e-08,0.0,6.319338941018771e-10
1884,5.743476361175226e-08,0.0,1.3203393933736152e-09
1885,7.670306700902074e-08,0.0,0.0
1886,4.581959189842166e-08,0.0,6.453463874400711e-10
1887,5.8760320664763555e-08,0.0,4.570247291724172e-09
1888,4.818867083145051e-08,0.0,1.268122939990235e-09
1889,5.5133202003787574e-08,0.0,6.265136742733546e-10
1890,4.8502459382149254e-08,0.0,6.554386478008212e-10
1891,4.1432431485688426e-08,0.0,2.5496880162734215e-09
1892,6.581937705973928e-08,0.0,5.641661360300532e-09
