year,serions_VERB en_PRON,serions_VERB dans_ADP
1800,3.144164484325529e-09,1.1633408547595536e-07
1801,0.0,1.0000967165524344e-07
1802,0.0,5.594600338554301e-08
1803,0.0,6.631153581793114e-08
1804,2.4718509461507665e-09,7.415552971679062e-08
1805,2.2743021688143017e-08,1.02343598484822e-07
1806,0.0,1.4696512096179504e-07
1807,0.0,7.971474502710407e-08
1808,0.0,4.305540457494317e-08
1809,0.0,6.325285539787728e-08
1810,0.0,8.424456154898508e-08
1811,2.5070767684098882e-09,1.504245972228091e-08
1812,2.6672082320544632e-09,5.067695596494559e-08
1813,0.0,6.614205716459765e-08
1814,0.0,4.090680150170556e-08
1815,0.0,2.966945977789237e-08
1816,0.0,3.9399267848239106e-08
1817,1.556873407970727e-09,4.0478710161551135e-08
1818,2.384235475716423e-09,1.1205906957911793e-07
1819,1.035105001712111e-09,1.418093802385556e-07
1820,0.0,1.0798498095709874e-07
1821,7.88919063410276e-09,1.1143481515318854e-07
1822,2.0051231786055723e-09,5.81485721795616e-08
1823,2.9648061783404955e-09,6.127265805844218e-08
1824,0.0,1.1115868403521745e-07
1825,1.7610886082763955e-09,9.15766094067294e-08
1826,8.80798456392995e-09,8.367585024871005e-08
1827,1.8434546111834038e-09,9.8624823863247e-08
1828,9.172301251858528e-10,6.879226077671774e-08
1829,8.57317605795771e-10,7.973054039212002e-08
1830,1.0436835840010872e-09,6.470838087579978e-08
1831,1.5591206103948707e-09,1.0757932500382594e-07
1832,4.058990921151917e-09,5.0060886991332154e-08
1833,4.6334514003376626e-09,7.29768601104297e-08
1834,1.8669061851994684e-09,7.000897994657862e-08
1835,7.563087933704082e-10,7.563087933704082e-08
1836,6.72075017860152e-09,6.98957975941994e-08
1837,6.957890930081589e-10,5.6358917532861597e-08
1838,3.787297142565649e-09,6.122797202579022e-08
1839,4.894032734625853e-09,6.50207212515852e-08
1840,3.1848443882154243e-09,5.477932418784803e-08
1841,6.420548537278137e-10,6.934192242624704e-08
1842,1.341653010911159e-09,6.708265232191479e-08
1843,5.906911071384968e-10,1.1400338451039715e-07
1844,1.097712254427563e-09,7.848642269436823e-08
1845,0.0,9.03996948409258e-08
1846,2.3418005312692003e-09,7.259581735752363e-08
1847,1.6179670936367074e-09,4.7999691332734074e-08
1848,1.6090443422100975e-09,8.125673645054121e-08
1849,8.379414939696517e-10,7.122502410084053e-08
1850,1.3577992064028876e-09,6.924776130290411e-08
1851,2.579775504329973e-09,6.836405219701192e-08
1852,1.9531636308300904e-09,7.812654700956045e-08
1853,1.1943863675867306e-09,6.748282999069488e-08
1854,5.195664454227256e-10,6.442623856628416e-08
1855,9.552486801567284e-09,8.119613426060823e-08
1856,1.0354378465748937e-09,4.4523826403519706e-08
1857,9.763018171682347e-10,5.564920257938866e-08
1858,1.0276719919488642e-08,9.200110895335456e-08
1859,2.036869339860914e-09,7.892868580938739e-08
1860,4.577183909670879e-10,6.133426211363258e-08
1861,2.357981898626349e-08,6.177912581506462e-08
1862,1.8071945051545413e-09,7.273958146924997e-08
1863,6.99246927027275e-09,5.793760138317339e-08
1864,1.4384183844029508e-09,7.911300770047092e-08
1865,2.3534221238463715e-09,6.919061235066692e-08
1866,6.3252967308358166e-09,9.098695841203153e-08
1867,2.91168689159349e-09,8.589476152565112e-08
1868,0.0,8.447184995930002e-08
1869,4.395167341186834e-09,9.913544118944628e-08
