year,soyons_VERB en_PRON,soyons_VERB dans_ADP
1800,3.144164484325529e-09,7.545995117652637e-08
1801,9.524730337773235e-09,1.04772034603684e-07
1802,0.0,1.5664880947952042e-07
1803,1.950339223455444e-09,1.0531832117521844e-07
1804,0.0,9.640218934237055e-08
1805,0.0,6.822906506442905e-08
1806,0.0,1.5272846098923765e-07
1807,0.0,1.0533733751927343e-07
1808,4.5321479902327155e-09,1.2236799307174806e-07
1809,2.259030518203531e-09,1.1295152546608733e-07
1810,0.0,5.148278958699848e-08
1811,7.521229861140455e-09,3.008491944456182e-08
1812,0.0,1.226915742336132e-07
1813,2.8757416448144113e-09,3.1633157648869314e-08
1814,0.0,1.2901375967544482e-07
1815,2.697223555614414e-09,7.012781444437621e-08
1816,0.0,1.3673863108465412e-07
1817,0.0,1.0431052155368548e-07
1818,4.768470951432846e-09,1.0013788909191135e-07
1819,1.3456364911235141e-08,1.0765091928988113e-07
1820,5.933240565525466e-09,8.662531314485022e-08
1821,9.86148829262845e-10,1.2228245793721726e-07
1822,5.012807946513931e-09,1.012587205195814e-07
1823,0.0,9.388552835165598e-08
1824,1.6842225392110777e-08,5.052667439997549e-08
1825,1.7610886082763955e-09,9.950150570148253e-08
1826,0.0,8.807984386294265e-08
1827,2.7651818612639545e-09,6.359918519605046e-08
1828,9.172301251858528e-10,1.0823315688135438e-07
1829,0.0,7.630126663826786e-08
1830,2.0873671680021744e-09,9.393152144987482e-08
1831,1.5591206103948707e-09,1.153749238369528e-07
1832,5.411987746839486e-09,5.276687886635045e-08
1833,2.3167257001688313e-09,6.950176789644047e-08
1834,5.600718555598405e-09,1.2414926686687977e-07
1835,7.563087933704082e-09,7.411826175030001e-08
1836,1.3441500135158435e-09,1.2635010726569362e-07
1837,0.0,7.166627824517491e-08
1838,2.5248647617104325e-09,8.07956708204216e-08
1839,2.09744255297295e-09,8.249940652849119e-08
1840,1.9109065441114126e-09,1.2102408386560626e-07
1841,1.219904177673925e-08,6.484753889424155e-08
1842,2.0124795163667386e-09,6.641182626054842e-08
1843,1.1813822142769936e-09,8.092467962406147e-08
1844,3.841992946007622e-09,1.355674657532724e-07
1845,4.464182357111213e-09,1.4564394423821625e-07
1846,5.854501328173001e-10,8.898841730164975e-08
1847,5.3932236454556914e-09,8.089835468183537e-08
1848,8.045221711050488e-10,7.321151990202779e-08
1849,0.0,7.29009101974043e-08
1850,2.0366988096043315e-09,5.702756578074286e-08
1851,0.0,6.836405219701192e-08
1852,7.812654523320361e-09,8.789236005668499e-08
1853,5.971932059978258e-09,1.116751251473147e-07
1854,1.558699391779328e-09,1.704177989836353e-07
1855,6.368324534378189e-09,1.0295458352516107e-07
1856,1.0354378465748937e-09,1.154513202816787e-07
1857,4.39335834379051e-09,8.59145572462694e-08
1858,6.361778659424999e-09,1.4338470277763804e-07
1859,2.4442432078330967e-08,9.165911718511666e-08
1860,6.865776031039772e-09,7.598125603691663e-08
1861,4.244367357575385e-09,6.979626476777412e-08
1862,9.035972525772706e-10,1.061726782047856e-07
1863,8.490855407661257e-09,8.241124271890499e-08
1864,4.794727948009836e-10,8.103089887967485e-08
1865,1.882737743486018e-09,1.2143657773799887e-07
1866,4.379051787850585e-09,1.0558380125758049e-07
1867,1.455843445796745e-09,7.910082722162315e-08
1868,9.87974813071446e-10,5.433861460790723e-08
1869,2.4417595723136287e-09,1.0206555156599961e-07
1870,8.027668307875047e-09,1.0780011683308999e-07
1871,4.248470908407853e-09,8.603153234254535e-08
1872,1.2094678591978436e-09,8.405801343869257e-08
1873,4.788803464883529e-09,6.345164393906089e-08
1874,1.1949218281515073e-09,7.289023284950957e-08
1875,3.4329162845736505e-09,8.238998816523235e-08
1876,9.069021977836655e-09,6.529695806278824e-08
1877,4.329371083855449e-09,6.122967866062368e-08
1878,6.039088673581716e-10,5.737134145533673e-08
1879,1.4051447894125602e-08,6.231511662235789e-08
1880,6.417846254436199e-10,8.022307707022946e-08
1881,4.183504487276224e-09,7.460583040241886e-08
1882,5.989846840748214e-09,8.119569683273653e-08
1883,7.58320695126713e-09,7.962367326586062e-08
1884,3.300848483434038e-09,5.809493330843907e-08
1885,1.2891271383708158e-09,7.02574283195645e-08
1886,5.162771099520569e-09,7.098810472783157e-08
1887,1.0446279008480275e-08,7.638841659218798e-08
1888,5.706553452000662e-09,6.721051915015153e-08
1889,6.265136853755848e-09,7.768769894056504e-08
1890,3.2771931834929546e-09,5.571228456346944e-08
1891,1.9122659011827636e-09,9.178877036220001e-08
1892,6.268512375839919e-09,5.202865338560514e-08
1893,1.2316833108982905e-09,8.005941515287773e-08
1894,1.1972924873759894e-08,5.608369946230596e-08
1895,3.0093072478365457e-09,8.365874326621281e-08
1896,9.435246584033052e-09,3.8920392630981127e-08
1897,0.0,4.0786996224895233e-08
1898,4.526684027617023e-09,6.620275028179634e-08
1899,2.7637891975018647e-09,6.246163231082846e-08
1900,1.5573159428683425e-09,5.6582479146527476e-08
1901,1.1177477832191585e-09,3.688567695725453e-08
1902,3.437198747846537e-09,4.9102838073356025e-08
1903,1.0800440541913758e-09,5.184211460118604e-08
1904,1.6123875568041512e-09,4.5146852478694655e-08
1905,1.0321517696088023e-08,5.160759064537501e-08
1906,5.144184633820714e-09,3.9095801263044905e-08
1907,1.5428529565042481e-09,2.982849167665336e-08
1908,2.9468334439286537e-09,4.714933377059083e-08
1909,2.2003934230241384e-09,4.675835868495071e-08
1910,2.137660271017694e-09,4.5425281092192904e-08
1911,2.6601871816467337e-09,6.490856641061526e-08
1912,2.6047106693738442e-09,7.084813180568972e-08
1913,8.484783542428431e-09,5.6211690413476845e-08
1914,3.3483718020477227e-09,7.90215795021254e-08
1915,3.534228465440492e-09,6.479419267790831e-08
1916,1.0987462051303964e-09,9.449217497348172e-08
1917,1.0966424435210342e-09,7.566832849192906e-08
1918,2.2972752589112133e-09,7.351281006151567e-08
1919,9.207848372660976e-10,5.340552100552287e-08
1920,5.300562211374427e-09,4.694783761749477e-08
1921,5.300923366924337e-09,4.9980132255100784e-08
1922,2.21338064543275e-09,8.263287448739831e-08
1923,4.246379248229459e-09,6.263409479956294e-08
1924,1.289162443462999e-09,5.285566118118368e-08
1925,4.399271169575059e-09,5.389107116116065e-08
1926,1.1146138456652466e-09,5.684530468563764e-08
1927,8.919380123373344e-09,5.909089240141441e-08
1928,4.570416489713125e-09,3.8848538497227025e-08
1929,2.2280812750352652e-09,5.7930113150916895e-08
1930,0.0,4.621585714126297e-08
1931,0.0,3.649714130915527e-08
1932,2.1919073223131136e-09,4.9317913752844333e-08
1933,2.2941324395731044e-09,5.620624476954106e-08
1934,1.1981580172459871e-09,3.9539214569117576e-08
1935,1.196828414151696e-09,3.4708022234042346e-08
1936,3.6374143697059935e-09,3.273672888326473e-08
1937,7.554670666820584e-09,3.777335588761588e-08
1938,5.186085783037697e-09,3.500607925754906e-08
1939,1.5294050470515685e-09,5.352917753498332e-08
1940,1.2678914806940611e-08,5.325144059042941e-08
1941,0.0,4.132103770260187e-08
1942,0.0,2.1239483061208375e-08
1943,0.0,4.064529335323641e-08
1944,6.4263723231761105e-09,7.069009200222354e-08
1945,6.535512131478072e-09,6.317661416233022e-08
1946,6.960552134671616e-09,5.8468637043063154e-08
1947,1.1920870957027319e-09,8.106192472823182e-08
1948,2.174377566888097e-09,5.218506071713591e-08
1949,9.817008317369869e-10,4.515823670558916e-08
1950,4.2541445921528975e-09,3.19060831088791e-08
1951,1.0661401761424827e-09,5.650542789226165e-08
1952,3.1634410646574906e-09,5.377849987553418e-08
1953,1.0773827385790469e-09,5.925604895651304e-08
1954,9.772536113672459e-10,5.863521579385633e-08
1955,2.815682353940474e-09,5.631364530245264e-08
1956,8.72114158667614e-10,5.407107761534746e-08
1957,4.417518850718949e-09,4.94762097957846e-08
1958,5.790570245522986e-09,5.4596807075313336e-08
1959,2.3252243464000344e-09,5.735553543217975e-08
1960,3.460416619915918e-09,4.636958245152201e-08
1961,6.253343343143314e-09,4.6552668164778765e-08
1962,3.170978146727066e-09,4.6296280142854584e-08
1963,5.1728425987107585e-09,5.366824296082484e-08
1964,6.083968384640315e-09,6.814044783975959e-08
1965,6.5664522708175355e-09,6.238129390823133e-08
1966,4.985167278981351e-09,6.203763680545649e-08
1967,1.4791006197611978e-09,6.360132775995453e-08
1968,2.6948494546985557e-09,4.715986576253606e-08
1969,4.995933444718048e-09,6.90347209397757e-08
1970,1.3796175313274261e-09,5.150571952272642e-08
1971,2.569198631618974e-09,4.984245594030767e-08
1972,4.104117490300041e-09,5.7970660716222255e-08
1973,1.102640756478479e-09,5.8991279028308696e-08
1974,4.500457340128605e-09,4.556712884795644e-08
1975,2.2845920710778955e-09,4.740528680713396e-08
1976,4.570821443561357e-09,4.513686291396368e-08
1977,4.11374712072643e-09,4.936496655894018e-08
1978,5.940591352171509e-10,4.633661321307159e-08
1979,3.5111840102075575e-09,6.788288831049982e-08
1980,1.7055452605774235e-09,5.74200226255428e-08
1981,1.8976649140967083e-09,5.439972450282937e-08
1982,1.8622506869903077e-09,4.283176713304471e-08
1983,4.4207211225000265e-09,5.620631204905635e-08
1984,2.8995041922996734e-09,4.755187088534285e-08
1985,1.2031116103372597e-09,5.534313529675927e-08
1986,8.392279760016663e-09,4.615753934622546e-08
1987,3.6664901115202042e-09,3.5442738521851425e-08
1988,2.398621523624911e-09,4.7972431305165486e-08
1989,2.744061089465788e-09,4.939310116469642e-08
1990,1.089730194969718e-09,4.8492991955306763e-08
1991,1.7584396161396398e-09,4.278869525364826e-08
1992,8.2649165289439e-09,4.79365149796962e-08
1993,1.661762283333701e-09,6.757833159731774e-08
1994,1.5824779819872958e-09,6.06616551435124e-08
1995,4.337960657352369e-09,5.9104714900115596e-08
1996,1.6014276571496566e-09,6.45909130625455e-08
1997,4.315405033317177e-09,6.952596820486434e-08
1998,4.768129224785866e-10,4.577404211225655e-08
1999,5.484241422104574e-09,6.946705544130793e-08
2000,1.7672125984802278e-09,5.6550801486032753e-08
2001,2.190605918883648e-09,5.213642192969381e-08
2002,3.943099402548e-09,5.6955880456399655e-08
2003,1.6667691671301554e-09,5.833692218182307e-08
2004,3.523833003171717e-09,5.505989159049207e-08
2005,9.007499190971657e-10,6.530437079987905e-08
2006,1.2353669198716943e-09,5.6415090543548985e-08
2007,1.997239706952314e-09,6.710725558578545e-08
2008,3.405951742863067e-09,5.321799631530233e-08
2009,2.384096253749135e-09,8.153609143413121e-08
2010,1.4171379625338432e-09,8.172161580777271e-08
2011,4.588766366886432e-09,9.254012023340863e-08
2012,3.4042526575461807e-09,1.0927651006298333e-07
2013,4.741512515948898e-09,9.399351519334687e-08
2014,3.464712211576071e-09,1.0047665632839653e-07
2015,4.433150915805761e-09,1.1836512747720462e-07
2016,2.899876117012923e-09,1.1558077561701907e-07
2017,7.2952728302766445e-09,1.3861017933436415e-07
2018,7.48625367252842e-09,1.306222086050468e-07
2019,7.142765656720229e-09,1.3214116112436614e-07
