year,bons_ADJ yeux_NOUN,bons_ADJ dieux_NOUN
1800,2.7668647817336023e-07,9.432493452976587e-09
1801,5.619590979222266e-07,0.0
1802,2.618272958443413e-07,1.1189200677108602e-08
1803,2.398917331447592e-07,1.5602713343554342e-08
1804,5.19088700912107e-07,4.943701892301533e-09
1805,2.956592766167887e-07,5.685755422035754e-09
1806,1.930718269704812e-07,5.76333825108577e-09
1807,1.4804166426074516e-07,0.0
1808,2.039466551195801e-07,0.0
1809,1.2424668227595248e-07,0.0
1810,2.620942041176022e-07,2.3401267590372754e-09
1811,2.0808737133393151e-07,7.521230305229665e-09
1812,2.1604387256957125e-07,8.00162469616339e-09
1813,2.041776525629757e-07,0.0
1814,1.4474714760126517e-07,0.0
1815,1.1058616422587875e-07,0.0
1816,2.456660013194778e-07,2.3176038865813098e-09
1817,3.8921834288885293e-07,6.22749374290521e-09
1818,2.944530876902718e-07,1.1921177378582115e-09
1819,1.594061700416205e-07,0.0
1820,1.8986369809681491e-07,1.1866481131050932e-09
1821,3.717780998613307e-07,4.9307441463142254e-09
1822,1.9048670196752937e-07,6.015369535816717e-09
1823,1.7690010167825676e-07,3.95307486744656e-09
1824,2.484228218690987e-07,0.0
1825,2.2277771449807915e-07,0.0
1826,1.6206691100251192e-07,8.807984341885344e-10
1827,1.6222401200138847e-07,9.217273055917019e-10
1828,1.8528048428834154e-07,9.172301140836225e-09
1829,2.1261476490508358e-07,1.628903412154159e-08
1830,2.066493465235908e-07,2.0873671680021744e-09
1831,1.855353559676587e-07,3.1182412207897414e-09
1832,1.9077256752098037e-07,0.0
1833,1.8186297268130147e-07,0.0
1834,2.3523017489424092e-07,8.401077611353003e-09
1835,2.102538445569735e-07,0.0
1836,2.0162249825261824e-07,6.720750067579218e-10
1837,1.6907675615129847e-07,2.7831563720326358e-09
1838,1.666410724965317e-07,2.5248647617104325e-09
1839,1.5521074203661556e-07,4.894032734625853e-09
1840,1.738925021754767e-07,8.280595209519959e-09
1841,1.5666138608594338e-07,6.420548537278137e-09
1842,1.9588134136938606e-07,6.708265054555795e-09
1843,1.9729083078345866e-07,6.497602234034616e-09
1844,1.904530790852732e-07,2.7442805805577564e-09
1845,1.6461672203149647e-07,0.0
1846,1.814895398410954e-07,1.1123552301484096e-08
1847,1.1002175881458243e-07,6.47186837454683e-09
1848,1.4642303369782894e-07,4.0226108000140925e-09
1849,1.0055298105271504e-07,0.0
1850,1.4800011172155791e-07,7.467895635215882e-09
1851,1.457573119978406e-07,6.4494389828695375e-09
1852,1.634146968854111e-07,9.765817932105847e-09
1853,1.9229619852012547e-07,1.1943863675867306e-09
1854,2.0107221132548148e-07,8.83262979423094e-09
1855,1.772517066456203e-07,6.8990182455763716e-09
1856,1.9673319684443413e-07,3.6240323519898254e-09
1857,2.108811969492308e-07,1.2691923290120144e-08
1858,1.957470345814727e-07,3.474509990830654e-08
1859,1.889196283855199e-07,5.092173349652285e-09
1860,2.1466992450314137e-07,4.119465601970518e-09
1861,1.9193971922959463e-07,1.414789119191795e-09
1862,2.837295483004709e-07,3.343309989967125e-08
1863,2.427385652481462e-07,2.4973103585068657e-09
1864,2.2774958097215858e-07,5.753673537611803e-09
1865,1.9721677801953774e-07,6.589582324245669e-09
1866,1.6445771677808807e-07,2.5301186923343266e-08
1867,1.780981762067313e-07,1.2132028714972876e-08
1868,1.6894369991860003e-07,7.409810987013543e-09
1869,2.153632010504225e-07,1.2208797750545841e-08
1870,2.2477470906778763e-07,6.880858549607183e-09
1871,1.7524942563795776e-07,2.6552942955504477e-08
1872,2.3524150094544893e-07,4.233137618214755e-09
1873,2.2028496005077614e-07,4.190203295451056e-09
1874,2.0074686801763164e-07,1.5533983654947292e-08
1875,2.837877559613844e-07,1.2015206607429718e-08
1876,2.5453721264057094e-07,1.0882826639857512e-08
1877,2.554328943915607e-07,1.8554447978047506e-09
1878,2.6149254495067e-07,4.22736201599605e-09
1879,2.1565918473243073e-07,1.2218650646822482e-08
1880,2.27833538701816e-07,1.2835692730917003e-08
1881,2.551937825501227e-07,3.486253841167297e-09
1882,3.4208679267067055e-07,1.3310770041741193e-08
1883,3.1533500077784993e-07,2.5909288936531993e-08
1884,2.442627931031893e-07,2.0465261485469455e-08
1885,2.803851657517953e-07,6.445635636342928e-09
1886,2.9298726644810813e-07,1.2906927748801422e-09
1887,2.8009085895064345e-07,5.876032327378766e-09
1888,2.567948911291751e-07,2.53624587998047e-09
1889,2.6564180188870523e-07,0.0
1890,2.529993139432918e-07,4.588070479094597e-09
1891,2.5815592152866884e-07,9.561329950003028e-09
1892,2.4572568690928165e-07,6.268512153795314e-09
1893,2.6419607479510887e-07,1.847525021858587e-09
1894,3.150769600779313e-07,1.0712616793639995e-08
1895,2.6722648271970684e-07,4.213030146971164e-09
1896,2.5298254513472784e-07,1.179405795248556e-09
1897,2.6278479481334216e-07,8.740070445156789e-09
1898,2.534943064347317e-07,9.05336783318944e-09
1899,3.001475192832004e-07,4.4220627160029835e-09
1900,2.7616403031061054e-07,4.15284251431558e-09
1901,2.4590451630501775e-07,3.3532433496574754e-09
1902,2.2047174752515275e-07,5.892340504409788e-09
1903,2.1708885356019891e-07,2.7001101354784396e-09
1904,2.079979992686276e-07,1.6123875568041512e-09
1905,2.864221357867791e-07,1.6514429213021486e-08
1906,3.143096876101481e-07,3.0865106026567446e-09
1907,2.9159920700294606e-07,1.7999952361957838e-08
1908,2.956656146579917e-07,1.3260750719723546e-08
1909,2.563458281201747e-07,6.0510818578052294e-09
1910,3.0568543252229574e-07,6.947395769785203e-09
1911,3.3784374409151496e-07,6.3844490805209375e-09
1912,3.0266735961959057e-07,8.856016364688912e-09
1913,3.0227042202568555e-07,3.71209285532359e-09
1914,2.337163493848493e-07,1.0714789611121489e-08
1915,3.180805663305364e-07,0.0
1916,3.6917873558195424e-07,0.0
1917,3.399591435027105e-07,9.869782324756216e-09
1918,3.388481104593666e-07,1.033773866510046e-08
1919,3.1214605655804917e-07,5.524709079107737e-09
1920,2.9607426199618203e-07,1.514446346106979e-09
1921,3.521327585076506e-07,4.013556026416509e-08
1922,3.5487869354255963e-07,1.4018077088007175e-08
1923,3.5988063018521643e-07,2.5478275489376756e-08
