year,ils_PRON iront_VERB,ils_PRON diront_VERB
1800,4.967779929643257e-07,4.0559721981026087e-07
1801,4.2146930923081527e-07,4.5242470037010207e-07
1802,2.1707049313590687e-07,2.64065135979763e-07
1803,5.070881883284528e-07,4.1737260403351684e-07
1804,1.928043786847411e-07,6.525686444547318e-07
1805,3.6104547262993947e-07,5.657326624941561e-07
1806,4.495403800319764e-07,3.5156364219801617e-07
1807,3.1885897300298893e-07,3.9287979802793416e-07
1808,3.6937006342441236e-07,3.0365391978648404e-07
1809,2.5301142159150913e-07,3.411136049180641e-07
1810,3.7208014447287496e-07,5.101476148183792e-07
1811,3.3594829318417396e-07,2.607359803619147e-07
1812,4.56092607237224e-07,3.627403231121207e-07
1813,2.731954538148784e-07,2.8757416004054903e-07
1814,5.254950679045578e-07,6.608021863030444e-07
1815,3.020890346761007e-07,5.070780275673314e-07
1816,2.503012215271383e-07,4.0789827693288316e-07
1817,4.001164555234027e-07,4.904151182927308e-07
1818,3.385614490980515e-07,5.328766405909846e-07
1819,4.0576115623025544e-07,5.320439839806568e-07
1820,2.456361585245759e-07,5.600979164910314e-07
1821,3.638889083390495e-07,6.331075468324343e-07
1822,4.912551929692199e-07,7.027956883121078e-07
1823,3.9530746676064155e-07,4.7436896011276986e-07
1824,3.9916074712209593e-07,4.4547685718043795e-07
1825,3.583815200158824e-07,3.7863406987526105e-07
1826,3.1268343647639085e-07,5.813269723375925e-07
1827,3.7422127974195973e-07,4.682374736830752e-07
1828,4.035812679603623e-07,4.5127723069526837e-07
1829,3.5750144178336996e-07,4.955295764830225e-07
1830,2.911877281519537e-07,3.162361252861956e-07
1831,3.7886630188666004e-07,3.96016645254349e-07
1832,4.451359814083844e-07,4.667839448302402e-07
1833,3.197081497319232e-07,3.7646791639645016e-07
1834,3.808488635570484e-07,5.348686187289786e-07
1835,3.8117964606954047e-07,4.984074877256717e-07
1836,4.442415644234643e-07,4.879264565715857e-07
1837,3.2910823932752464e-07,3.945124191773175e-07
1838,3.7367999183857137e-07,4.1849634158097615e-07
1839,3.607601080091172e-07,4.222850904511688e-07
