year,plusieurs_DET âmes_NOUN,plusieurs_DET ames_NOUN,plusieurs_DET dames_NOUN
1800,1.5720821977538435e-08,8.174828014517743e-08,2.3895649903238336e-07
1801,4.7623651688866175e-09,1.142967676059925e-07,2.7859836393417936e-07
1802,2.6854081625060644e-08,5.147032311469957e-08,2.64065135979763e-07
1803,2.145373123596528e-08,2.9255089017965474e-08,3.081536004145846e-07
1804,2.4718509461507665e-09,5.9324420931261557e-08,3.979680069932101e-07
1805,8.528632911009026e-09,8.528632911009026e-09,3.013450440292331e-07
1806,2.881669125542885e-08,7.492339815229343e-08,4.956470860406625e-07
1807,5.693910232196231e-09,4.555128185756985e-08,3.188589801084163e-07
1808,4.5321479902327155e-09,4.305540501903238e-08,3.852325791697808e-07
1809,4.518061036407062e-09,5.647576473144511e-08,3.0948717721912544e-07
1810,7.020380277111826e-09,5.616304221689461e-08,5.148278976463416e-07
1811,2.757784400841956e-08,7.521229861140455e-09,5.039224317826552e-07
1812,2.6672082320544632e-09,2.6672083208723052e-08,5.441104802272889e-07
1813,5.751483289628823e-09,8.339650747757332e-08,4.744973693959764e-07
1814,3.1466771410748606e-09,4.090680416624082e-08,5.443751507350214e-07
1815,8.091670622434322e-08,1.3486118000116676e-08,4.288585477851825e-07
1816,3.7081662185300956e-08,8.343373991692715e-08,3.7776941752554194e-07
1817,3.113746771532533e-08,6.227493543065066e-08,4.0945770862776953e-07
1818,3.099506074022429e-08,1.2159601192607283e-07,4.0651214927578394e-07
1819,6.107119787657211e-08,2.8982939270782992e-08,4.6579725077045e-07
1820,6.28923526591052e-08,7.119888323359191e-08,4.485529814246547e-07
1821,6.508582206521396e-08,1.4792232372329295e-07,5.404095690941801e-07
1822,1.5038423839541792e-08,2.5064039732569654e-08,6.296086922930044e-07
1823,3.4589403785645345e-08,6.324919610278812e-08,5.2674721118251e-07
1824,2.2737005167527968e-08,2.7789671008804362e-08,5.827409994552113e-07
1825,2.289415235168235e-08,4.402721454077607e-08,6.885856222993425e-07
1826,4.4039921931471326e-08,6.78214817639855e-08,5.760421986078512e-07
1827,1.6591091167583727e-08,2.9495274389557125e-08,3.880472062567364e-07
1828,2.2013523448549677e-08,6.328887752760082e-08,4.347670715110219e-07
1829,3.1720752247110795e-08,5.486832838075273e-08,4.7409663717079553e-07
1830,2.5048406016026092e-08,3.444155893816969e-08,4.686139352116925e-07
1831,3.741889287312006e-08,3.89780165921394e-08,4.661770596214865e-07
1832,5.682586978750237e-08,6.3590853471851e-08,4.0454607763695805e-07
1833,5.444305384294523e-08,1.1351956286098641e-07,4.598700549252044e-07
1834,5.040646566811802e-08,2.520323283405901e-08,3.3230929608052406e-07
1835,8.092504089063368e-08,4.9160071569076536e-08,3.418515817088519e-07
1836,6.922372675077781e-08,2.1573607389413496e-07,4.3953705564092616e-07
1837,6.401259333710385e-08,2.99189295560609e-08,3.458071833328802e-07
1838,7.006499758155371e-08,3.2192026155897224e-08,5.516829684193425e-07
1839,7.550793323929383e-08,1.4052865804359271e-07,3.726456372366016e-07
1840,9.10865451952958e-08,1.974603480725534e-08,3.2740199751302157e-07
1841,1.020867226309008e-07,1.733548105065097e-08,2.837882475681397e-07
1842,1.1538216160289494e-07,3.5553803456878086e-08,3.474881395959528e-07
1843,9.273850531954508e-08,2.9534556134080958e-08,3.0420591201618663e-07
1844,1.0922237025923209e-07,9.879410178825765e-09,3.1778770737123097e-07
1845,1.1997489801629513e-07,1.2276501426544684e-08,2.940780139404353e-07
1846,1.3406808685445526e-07,2.0490754648605503e-08,2.7574701366717136e-07
1847,7.820174285910753e-08,4.853901280910122e-09,2.680432178436831e-07
1848,9.815170187721378e-08,1.0458788002321029e-08,4.1191534094764393e-07
1849,8.044238342108656e-08,1.6758828991214614e-08,2.279200881361021e-07
1850,1.8533959522670784e-07,1.2220192857625989e-08,3.2179841014112753e-07
1851,1.0254607563098261e-07,9.674158585326609e-09,2.7990565065749706e-07
1852,1.4192989472583406e-07,1.1067927019325907e-08,2.539112700095103e-07
1853,9.734249228898761e-08,1.7915795513800958e-09,3.06957299134325e-07
1854,1.574286372374445e-07,1.4547860527347467e-08,2.888789305544037e-07
1855,1.5071702108571117e-07,4.192480318465641e-08,4.096955379395695e-07
1856,1.8016618152927322e-07,2.174419488909507e-08,5.151303161810006e-07
1857,1.415637573831674e-07,2.6848300471726816e-08,8.518233488019611e-07
1858,9.493731267795624e-08,2.985142322220469e-08,5.133466203233183e-07
1859,1.5327441182932944e-07,1.527651982691225e-08,3.2131612837105195e-07
1860,1.27703429608772e-07,1.6477862491148798e-08,3.7029416732892173e-07
1861,2.3815616945199736e-07,2.59378009070943e-08,3.343618328877085e-07
1862,1.9969498810112896e-07,1.8975542998012074e-08,3.135482384841737e-07
1863,1.1687412837524391e-07,1.6981710815322515e-08,3.121638061931442e-07
1864,1.2849870634212834e-07,2.5891530142096997e-08,3.1741099038029574e-07
1865,1.4308806850493738e-07,4.189091623585384e-08,2.7770382970970786e-07
1866,7.979604998986645e-08,7.298419646417642e-09,2.5690436555869667e-07
1867,1.1792331733317951e-07,9.7056229719783e-10,2.3487607414551803e-07
1868,9.336361861400633e-08,2.865127013418345e-08,2.9836839932073644e-07
1869,1.31366663436161e-07,4.883519366671862e-09,2.6175662826144475e-07
1870,7.167561166809833e-08,1.2614907340946502e-08,2.60325821344054e-07
1871,4.779529660936532e-08,2.8677177965619194e-08,2.0392660049495248e-07
1872,6.773019789463319e-08,1.088521062175829e-08,2.812012788178109e-07
1873,9.218446894720955e-08,8.97900703789034e-09,2.514121870689223e-07
1874,5.0784177918483664e-08,1.1949218281515073e-09,4.074683399579726e-07
1875,9.95545739179704e-08,3.032409406911185e-08,2.3572692242623816e-07
1876,4.534511055531709e-08,9.673623679873344e-09,4.4256827269606447e-07
1877,4.762308303263296e-08,6.184815992682502e-10,2.529589675503985e-07
1878,7.609251673201811e-08,1.0870359612447089e-08,1.9928992583961858e-07
1879,8.308682053481675e-08,1.4662380642960215e-08,2.358199573393449e-07
1880,8.984984578574995e-08,3.2089231272180996e-09,2.637734850541307e-07
1881,3.2770783919833235e-08,4.8807553554297556e-09,2.370652514294136e-07
1882,7.720246708586842e-08,4.658769592325029e-09,2.189621757242577e-07
1883,7.204046426068089e-08,3.791603475633565e-09,2.167533308394809e-07
