year,aux_ADP yeux_NOUN,aux_ADP dieux_NOUN
1800,3.5525915563994204e-05,6.055660730197587e-06
1801,3.640590210807204e-05,8.8437118819229e-06
1802,3.013923094385973e-05,1.1654671453698029e-05
1803,3.072759488986776e-05,7.92422830642181e-06
1804,3.60321719199419e-05,9.694599469867171e-06
1805,3.384161607300484e-05,5.765356055675852e-06
1806,3.091166399826761e-05,7.140776105529767e-06
1807,2.8720083264488494e-05,5.617042539540762e-06
1808,3.115625190730498e-05,8.00150711910419e-06
1809,3.07928455072215e-05,6.11067731881576e-06
1810,3.9059055211509985e-05,7.764540427501743e-06
1811,2.7114034764963435e-05,8.421271122216467e-06
1812,2.7826983568957075e-05,7.012090367908286e-06
1813,3.295887449894508e-05,6.274868169953152e-06
1814,3.4383739489385334e-05,4.493454930809548e-06
1815,3.430598565046239e-05,3.8192685165583384e-06
1816,3.066421697894839e-05,4.174004551771304e-06
1817,3.429013736422348e-05,6.75683067186128e-06
1818,3.4840833279758954e-05,7.909701309927186e-06
1819,3.736832661616063e-05,7.222962913999709e-06
1820,3.428701131724665e-05,6.798306870337001e-06
1821,3.6753767972186324e-05,7.950331919914788e-06
1822,3.3558745712980453e-05,7.806947067479086e-06
1823,3.2219534261912486e-05,5.186433867265805e-06
1824,3.3167395031341584e-05,6.470782778933426e-06
1825,3.443544648007446e-05,6.702703345240479e-06
1826,3.087462789608253e-05,5.1782138186240445e-06
1827,2.995337223410388e-05,5.574606742442256e-06
1828,3.177927248998458e-05,4.809037363884272e-06
1829,3.303587550362863e-05,4.355173544468016e-06
1830,3.366296937201696e-05,5.229898579983683e-06
1831,3.0487044341498404e-05,6.3347069918506804e-06
1832,3.404005167340074e-05,4.912731995432296e-06
1833,3.230326478842471e-05,6.76483886863366e-06
1834,3.1475105288336636e-05,5.793943543608293e-06
1835,3.2047827744463575e-05,5.652651935861286e-06
1836,3.0221868428270682e-05,4.864478771793301e-06
1837,2.9352557874062768e-05,5.179453879122775e-06
1838,2.8857941060778103e-05,4.527713510782405e-06
1839,3.083310468809941e-05,4.200478485927306e-06
1840,3.2254192888103717e-05,4.496363036565754e-06
1841,3.1049772587721236e-05,4.311398306811043e-06
1842,3.257868797845731e-05,4.868858773932061e-06
1843,3.359850995821034e-05,5.896869168964258e-06
1844,3.509111695620959e-05,4.356819808037926e-06
1845,3.355725880282989e-05,5.153340520536176e-06
1846,3.277408450230723e-05,4.344040043235964e-06
1847,3.189930146163533e-05,3.484022503386086e-06
1848,2.969813203890226e-05,4.2872986973918614e-06
1849,3.090998552579549e-05,3.5025955114065255e-06
1850,3.0018224606465083e-05,6.38844547218298e-06
1851,3.083154251726228e-05,5.134398392669937e-06
1852,3.1054000487529265e-05,4.2839388214588325e-06
1853,3.189130984537769e-05,3.789190797576225e-06
1854,3.408355723877321e-05,3.7299674406909844e-06
1855,3.365500174368208e-05,4.8956492690876985e-06
1856,3.329295111598185e-05,3.685640933781542e-06
1857,3.0984402314970794e-05,4.71114462285982e-06
1858,3.1430612693839066e-05,4.730716689493875e-06
1859,3.4402213714201935e-05,4.837055570305893e-06
1860,3.416867741634633e-05,3.8512424964665115e-06
1861,3.418696246626496e-05,4.4334774642607044e-06
1862,3.222227701371594e-05,4.606990639643982e-06
1863,3.261437313994975e-05,5.554517713335372e-06
1864,3.349500900640123e-05,4.496016309474271e-06
1865,3.231248490465077e-05,4.525160207435874e-06
1866,3.251591886055394e-05,4.4680921860162925e-06
1867,2.998940465204214e-05,3.530905566151432e-06
1868,2.976718781155796e-05,3.6224096255921268e-06
1869,3.214967148323922e-05,3.868235580739565e-06
1870,2.900625997881434e-05,4.451915430081499e-06
1871,2.6847150365938433e-05,3.9362082873140025e-06
1872,2.9111286039551487e-05,3.975520897370188e-06
1873,2.6478492372916662e-05,3.567059948750284e-06
1874,2.5575509198461077e-05,3.8177752728074665e-06
