year,certains_DET yeux_NOUN,certains_DET dieux_NOUN
1800,3.144164395507687e-08,6.288328968651058e-09
1801,9.524730337773235e-09,1.6668278313147766e-08
1802,6.042168365638645e-08,1.1412984690650774e-07
1803,5.460949736857401e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,5.19088700912107e-08
1805,7.675769686521505e-08,2.55858996212055e-08
1806,2.305335300434308e-08,2.881669125542885e-09
1807,5.693910232196231e-09,3.9857372513552036e-08
1808,1.5862518409903714e-08,4.5321479902327155e-09
1809,3.840352036377226e-08,2.9367397402779716e-08
1810,1.1700633351097167e-08,2.574139434941003e-08
1811,3.259199843341776e-08,1.2535383842049441e-08
1812,2.400487453257938e-08,2.6672083208723052e-08
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,2.966945977789237e-08
1816,2.0858434979231788e-08,1.1588019432906549e-08
1817,1.0898113522728181e-08,6.22749374290521e-09
1818,4.410835652279843e-08,2.5034472272977837e-08
1819,5.6930773539853874e-08,1.035105001712111e-08
1820,4.153268395867826e-08,5.22125169766241e-08
1821,2.070912508145284e-08,2.2681422962023134e-08
1822,1.0025615893027862e-08,3.408709403629473e-08
1823,4.5460360809101985e-08,1.680056760378079e-08
1824,4.0421340941065864e-08,2.6105449357771704e-08
1825,7.044354433105582e-09,3.874394982616991e-08
1826,1.145037975547325e-08,1.9377565996236967e-08
1827,1.3825909306319772e-08,1.3825909916942436e-08
1828,2.293075357373553e-08,1.6510142586412258e-08
1829,3.0006116702452346e-08,1.3717081526198882e-08
1830,1.982998831806526e-08,5.218417697960831e-09
1831,7.795603274018958e-09,7.016042502527853e-08
1832,2.705993829010822e-08,1.0823975493678972e-08
1833,1.7375443306377747e-08,8.108539617524002e-09
1834,2.0535967593104942e-08,1.4935249481595747e-08
1835,2.7227116561334697e-08,9.075705520444899e-09
1836,2.688300071440608e-08,1.814602440530777e-08
1837,2.7831564386460172e-08,2.435261770017405e-08
1838,1.830526974444524e-08,1.199310784016916e-08
1839,1.677954131196202e-08,3.076248944466897e-08
1840,1.5287253019025115e-08,1.0191502031187127e-08
1841,1.0272877659645019e-08,2.5040139739473943e-08
1842,1.9453969102301016e-08,1.2074876654111222e-08
1843,1.2404512972352677e-08,4.19390675521214e-08
1844,3.732221598440333e-08,1.646568403845805e-08
1845,3.0691253538606134e-08,1.6182660544927785e-08
1846,2.868705717418152e-08,3.21997570829069e-08
1847,2.2112216946368335e-08,1.77976389181822e-08
1848,4.666228647920434e-08,1.930853293918844e-08
1849,2.5976186535103807e-08,9.217356655710773e-09
1850,2.0366988096043315e-08,1.6972490968214515e-08
