year,nos_DET ans_NOUN,nos_DET dents_NOUN
1800,1.226224086714467e-07,5.973912209356058e-08
1801,7.857902772911984e-08,6.667310969987739e-08
1802,1.2755688771903806e-07,5.594600338554301e-08
1803,1.5212645965156923e-07,2.7304748684287006e-08
1804,1.5819846055364906e-07,1.038177401824214e-07
1805,8.812921237222326e-08,2.2743021688143017e-08
1806,1.3543845511776453e-07,9.509508203109363e-08
1807,1.5088862381773538e-07,2.2775640928784924e-08
1808,1.450287405724282e-07,3.3991110370834576e-08
1809,8.810219243038375e-08,1.581321384946932e-08
1810,1.2168659679900884e-07,6.31834211617388e-08
1811,1.4039629903095374e-07,0.0
1812,5.3344166417446104e-08,1.3069320914382843e-07
1813,1.3803560250380542e-07,8.339650747757332e-08
1814,6.293354459785405e-08,1.1642705644021589e-07
1815,5.124724800076308e-08,2.966945977789237e-08
1816,1.2978581764855335e-07,3.9399267848239106e-08
1817,1.2143612515558289e-07,4.0478710161551135e-08
1818,1.1801965627000754e-07,9.17930667032607e-08
1819,7.452755745873674e-08,3.726378139390363e-08
1820,7.831877635311457e-08,5.102586797534059e-08
1821,1.0058718102889941e-07,6.903042049088981e-08
1822,7.719724237631453e-08,3.909990198280866e-08
1823,1.0475648082319822e-07,8.894418357385803e-08
1824,1.802118072546932e-07,7.326367779114662e-08
1825,1.3296219081304628e-07,9.685987034657728e-08
1826,7.839105875540042e-08,5.725189922145546e-08
1827,9.032927539287527e-08,5.89905464476459e-08
1828,7.613009955775851e-08,4.219258542548232e-08
1829,5.572564276690173e-08,3.772197576523695e-08
1830,5.7402597564149005e-08,5.4271545479878114e-08
1831,4.365537709105638e-08,7.483778574624012e-08
1832,1.0282777063164161e-07,3.788391467196561e-08
1833,1.0888610546544442e-07,6.255159346046923e-08
1834,6.720862222309165e-08,6.534171870242744e-08
1835,6.201732105637348e-08,6.42862474364847e-08
1836,1.1290860263413194e-07,8.602560191972586e-08
1837,4.592208013853849e-08,4.6617869564613557e-08
1838,7.322107919982557e-08,5.491580878924651e-08
1839,3.495737432857027e-08,5.1037769788209175e-08
1840,4.9046602779156956e-08,2.6752692505738196e-08
1841,8.73194618833395e-08,5.8426991245141835e-08
1842,5.702025340781347e-08,6.104520933192248e-08
1843,4.489252369843655e-08,6.202256708220943e-08
1844,3.841992773923053e-08,4.6652770646637975e-08
1845,5.636030275812942e-08,4.0177642213201636e-08
1846,5.0348710534109387e-08,3.6297906902404975e-08
1847,2.534815113364175e-08,4.260646591092154e-08
1848,4.907585093860689e-08,5.792559765183114e-08
1849,1.0306680486849018e-07,4.4410899846525353e-08
1850,6.245876349453283e-08,4.752297400045791e-08
1851,5.868989294555149e-08,2.8377531435808123e-08
1852,4.6224873262445954e-08,2.7995344931142085e-08
1853,3.3442819624696085e-08,3.642878354526147e-08
1854,6.442623751157228e-08,6.390667550704165e-08
1855,5.094659627502551e-08,5.519214596461097e-08
1856,6.678573938323495e-08,7.610468166774353e-08
1857,6.980557848423885e-08,5.906625899498863e-08
1858,5.18729667553508e-08,5.187296614472814e-08
1859,5.194016750031949e-08,5.1940169498720934e-08
1860,6.224970103274607e-08,3.844834592370283e-08
1861,4.6216444282709546e-08,5.046081152926263e-08
1862,8.629353992484212e-08,6.325181090005572e-08
1863,8.34101649416219e-08,6.243276118311769e-08
1864,6.04135705906117e-08,5.274200631788517e-08
1865,5.365802618895188e-08,4.424433797112215e-08
1866,5.3521741094630926e-08,6.519921547099017e-08
1867,7.327745521479301e-08,5.82337378318698e-08
1868,4.2482918516384416e-08,4.2482916740027576e-08
1869,5.46954153080037e-08,9.132180767146281e-08
1870,7.454263339923273e-08,9.23181882050983e-08
1871,6.691341436493303e-08,4.142259157902117e-08
1872,4.233137351761229e-08,5.8659191171095415e-08
1873,4.369783174196229e-08,5.9261445861658046e-08
1874,3.8237498112270174e-08,4.002987985529671e-08
1875,7.437985516389745e-08,5.32102030770254e-08
1876,4.9577319805038655e-08,6.5901563095494e-08
1877,6.246663986075873e-08,6.122967732835605e-08
1878,5.918306911212312e-08,6.099479410437425e-08
1879,4.3376210623335965e-08,6.598071178309795e-08
1880,4.235778638950194e-08,5.455169382884151e-08
1881,6.972507465841105e-08,3.3468037008432816e-08
1882,5.457415808152177e-08,6.122954410159309e-08
1883,4.7395042834796897e-08,6.066565316764638e-08
1884,4.819238963449379e-08,6.337628999375511e-08
1885,4.9631395993010585e-08,3.674012388765746e-08
1886,5.937186853266496e-08,5.2918402104751294e-08
1887,2.7421483750345033e-08,9.989254579068074e-08
1888,3.6775564593583e-08,4.057993474582133e-08
1889,4.51089832154139e-08,4.009687404327167e-08
1890,2.5562107652810084e-08,6.030035493154173e-08
1891,2.549687994068961e-08,4.5256962066808626e-08
1892,3.886477561998447e-08,5.641661182664848e-08
1893,3.325545000487651e-08,3.87980243488073e-08
1894,2.8987081401865566e-08,2.9617234886814003e-08
1895,1.9259566386153892e-08,5.1158224101399696e-08
1896,2.063960063969361e-08,5.5432072154637524e-08
1897,2.3889524691789177e-08,4.486569515904648e-08
1898,2.5462597474934512e-08,3.734514208986184e-08
1899,1.6582735185011188e-08,6.025060450554065e-08
1900,2.6474371694895638e-08,3.426094963288051e-08
1901,2.123720777014171e-08,3.2973560104565536e-08
1902,1.9641135329262482e-08,8.592997069456487e-08
1903,2.5381034607363517e-08,4.1041674725406097e-08
