year,pouvez_VERB écrire_VERB,pouvez_VERB ecrire_VERB,pouvez_VERB décrire_VERB
1800,9.432493897065797e-09,0.0,0.0
1801,2.6193008650921e-08,0.0,0.0
1802,1.7902721083373763e-08,0.0,0.0
1803,1.5602713787643552e-08,0.0,0.0
1804,7.4155526164076946e-09,0.0,0.0
1805,5.685755422035754e-09,0.0,0.0
1806,8.645007376628655e-09,0.0,0.0
1807,3.701041606518629e-08,0.0,0.0
1808,9.064295980465431e-09,0.0,0.0
1809,2.259030518203531e-09,0.0,0.0
1810,0.0,0.0,1.6380887757350138e-08
1811,7.521229861140455e-09,2.5070767684098882e-09,0.0
1812,0.0,0.0,0.0
1813,0.0,0.0,0.0
1814,1.8880061958270744e-08,0.0,0.0
1815,0.0,0.0,2.697223555614414e-09
1816,6.952811659743929e-09,0.0,0.0
1817,4.203558034987509e-08,0.0,0.0
1818,1.4305412854298538e-08,1.1921177378582115e-09,0.0
1819,4.864993385922389e-08,1.035105001712111e-09,0.0
1820,1.779972080839798e-08,0.0,0.0
1821,4.7335142028259725e-08,0.0,0.0
1822,3.208197085768916e-08,0.0,4.010246357211145e-09
1823,2.668325471688604e-08,0.0,0.0
1824,2.3579115548955087e-08,0.0,0.0
1825,8.805443485471187e-09,0.0,0.0
1826,3.3470339388941284e-08,0.0,0.0
1827,1.6591091167583727e-08,0.0,0.0
1828,3.0268594741755805e-08,0.0,0.0
1829,1.8860987438529264e-08,0.0,0.0
1830,2.817945699007396e-08,0.0,6.262101504006523e-09
1831,6.236482619215167e-08,0.0,0.0
1832,2.0294953273491956e-08,1.3529969367098715e-09,0.0
1833,4.054269808762001e-08,0.0,0.0
1834,1.4935249481595747e-08,0.0,0.0
1835,3.403389570166837e-08,0.0,0.0
1836,9.409050427677812e-09,0.0,0.0
1837,3.1310509740478665e-08,0.0,0.0
1838,3.28232410140572e-08,0.0,0.0
1839,3.425822825420255e-08,0.0,0.0
1840,1.0828470564661075e-08,0.0,0.0
1841,8.346713542550788e-09,0.0,0.0
1842,1.542900918138912e-08,0.0,0.0
1843,2.8943864194275193e-08,0.0,0.0
1844,1.1525978393933656e-08,0.0,0.0
1845,3.459741293454499e-08,0.0,0.0
1846,9.952652035849496e-09,0.0,0.0
1847,9.707802561820245e-09,0.0,5.393223645455691e-10
1848,1.528592186161859e-08,0.0,0.0
1849,2.513824526317876e-08,0.0,0.0
1850,3.394497838371535e-08,0.0,0.0
1851,3.0957306051959677e-08,0.0,0.0
1852,1.0416872697760482e-08,0.0,0.0
1853,3.1651239851271384e-08,0.0,0.0
1854,3.3252252507054436e-08,0.0,0.0
1855,2.600399184871094e-08,0.0,0.0
1856,2.2779632402603056e-08,0.0,0.0
1857,1.4156376515472857e-08,0.0,0.0
1858,4.600055447667728e-08,0.0,0.0
1859,2.189634606963864e-08,0.0,0.0
1860,3.661747172145624e-08,0.0,4.577183909670879e-10
1861,4.810283016354333e-08,0.0,0.0
1862,1.7168348520613108e-08,0.0,0.0
1863,2.946826249683454e-08,0.0,4.994620828036034e-10
1864,8.198984602358905e-08,0.0,0.0
1865,3.153585836912498e-08,0.0,0.0
1866,4.184427027098536e-08,0.0,0.0
1867,4.804283548764943e-08,0.0,4.85281148598915e-10
1868,5.878450082263953e-08,0.0,0.0
1869,4.102156125895817e-08,0.0,0.0
1870,2.8670243068518175e-08,0.0,0.0
1871,1.5931766128574054e-08,0.0,0.0
1872,2.0560953828407946e-08,0.0,0.0
1873,3.4718826924518e-08,0.0,0.0
1874,7.766991494406739e-09,0.0,0.0
1875,2.7463329388410784e-08,0.0,0.0
1876,1.874264654588842e-08,0.0,0.0
1877,3.7727378554563984e-08,0.0,0.0
1878,2.1740719446938783e-08,0.0,0.0
1879,2.443730195977878e-08,0.0,0.0
1880,3.144744553651435e-08,0.0,0.0
1881,1.4642266066289267e-08,0.0,0.0
1882,5.257754409626614e-08,0.0,6.655385131892899e-10
1883,2.211768546089843e-08,0.0,1.2638677882037541e-09
1884,7.922036360241691e-09,0.0,0.0
1885,2.2559724754955823e-08,0.0,1.2891271383708158e-09
1886,2.452316216761119e-08,0.0,6.453463874400711e-10
1887,1.9586773092328258e-08,0.0,0.0
1888,2.2192152115962926e-08,1.9021844099853524e-09,0.0
1889,2.380751951136517e-08,0.0,6.265136742733546e-10
1890,3.9326319978272295e-08,0.0,0.0
1891,2.358461337337303e-08,0.0,2.5496880162734215e-09
1892,2.1312942521944933e-08,0.0,0.0
1893,1.2932674486876294e-08,0.0,3.079208221734575e-09
