year,tes_DET oies_NOUN,tes_DET doigts_NOUN
1800,0.0,9.432493897065797e-08
1801,0.0,6.191074786165984e-08
1802,2.2378401354217203e-09,9.84649659585557e-08
1803,0.0,7.801356716186092e-08
1804,0.0,8.898663272915996e-08
1805,0.0,4.264316499913434e-08
1806,0.0,1.0085842205853623e-07
1807,0.0,1.3665384201999586e-07
1808,0.0,1.246340701754889e-07
1809,0.0,4.292158140017932e-08
1810,0.0,1.5678848797051614e-07
1811,0.0,9.025476321866677e-08
1812,0.0,4.5342538612658245e-08
1813,0.0,1.0352669699287276e-07
1814,0.0,3.1466772298927026e-08
1815,0.0,4.5852800667489646e-08
1816,0.0,2.7811246638975717e-08
1817,0.0,5.449056994510926e-08
1818,0.0,4.6492592886693274e-08
1819,0.0,7.349245345622535e-08
1820,0.0,6.407900166038871e-08
1821,8.875339574387908e-09,6.409967356901802e-08
1822,1.0025615893027862e-09,6.51665033046811e-08
1823,0.0,6.127266027888822e-08
1824,0.0,1.4063258468866024e-07
1825,0.0,6.956299758442697e-08
1826,0.0,5.5490302575122996e-08
1827,0.0,4.424291066840169e-08
1828,9.172301140836225e-09,5.503380684501735e-08
1829,0.0,7.03000447299651e-08
1830,0.0,7.82762672457693e-08
1831,0.0,8.107427351689012e-08
1832,0.0,9.876877626879832e-08
1833,0.0,1.5406226561154313e-07
1834,9.334530925997342e-10,1.2414926153780925e-07
1835,7.563087933704082e-10,1.0663953986522756e-07
1836,3.36037508930076e-09,6.7879577847485e-08
1837,0.0,5.28799719567985e-08
1838,0.0,4.607878167917079e-08
1839,2.7965900706306e-09,9.718150595361408e-08
1840,0.0,5.732719676743159e-08
1841,0.0,1.1300165603245205e-07
1842,0.0,9.123240651831566e-08
1843,0.0,7.442708160887435e-08
1844,1.097712254427563e-09,6.202074342986919e-08
1845,5.580227946389016e-10,6.975284672083859e-08
1846,5.854501328173001e-10,6.264316643189716e-08
1847,5.3932236454556914e-09,5.3932236454556914e-08
1848,1.6090443422100975e-09,5.309846329293322e-08
1849,0.0,1.0055297750000136e-07
1850,6.788996032014438e-10,1.0319274057479788e-07
1851,3.2247193804124663e-09,5.93348374877678e-08
1852,0.0,8.463709066930392e-08
1853,5.971931837933653e-10,8.002388796057858e-08
1854,2.0782657816909023e-09,5.871100849930144e-08
1855,5.306937111981824e-10,1.2418233197308837e-07
1856,3.6240324075009767e-09,7.040977401118198e-08
1857,4.881509085841174e-10,1.0055908994388574e-07
1858,0.0,5.921347923099063e-08
1859,1.5276520048956854e-09,9.369599274222651e-08
1860,1.373155145145688e-09,1.3182289460011987e-07
1861,1.4147891747029462e-09,9.243289267324428e-08
1862,9.035972525772706e-10,1.197266366048666e-07
1863,1.4983863039219614e-09,8.341016466406614e-08
1864,4.794727948009836e-10,6.472882885244502e-08
1865,4.706844358715045e-10,6.589582457472432e-08
1866,0.0,9.92585059700346e-08
1867,4.85281148598915e-10,8.977701249079928e-08
1868,0.0,5.7796527008768805e-08
1869,0.0,1.1280928857715367e-07
1870,2.8670243956696595e-09,7.79830617858579e-08
1871,0.0,4.8857414336467286e-08
1872,0.0,4.535504583014216e-08
1873,5.986004469882289e-10,3.831042860724665e-08
1874,0.0,5.3174020520074805e-08
1875,1.1443054281912168e-09,1.1328624083262184e-07
1876,6.04601479992084e-10,6.711076272480909e-08
1877,3.710889595609501e-09,8.844286725206985e-08
1878,0.0,6.824170550867592e-08
1879,0.0,9.530547595559824e-08
1880,1.2835692508872398e-09,5.0700984077778344e-08
1881,6.972507571312292e-10,8.297284126435045e-08
1882,6.655385131892899e-10,9.051323957010027e-08
1883,3.159669414998234e-09,7.204046692521615e-08
1884,7.2618666635548834e-09,1.0364664326800721e-07
1885,0.0,8.379326055241165e-08
1886,1.2906927748801422e-09,8.454037980776263e-08
1887,0.0,9.205783957355607e-08
1888,0.0,9.067078887703417e-08
1889,3.759081934617825e-09,7.33021028320735e-08
1890,1.0487018364813139e-08,7.34091254450675e-08
1891,6.374220040683554e-10,8.159001341212502e-08
1892,6.268512375839919e-10,6.644623073981393e-08
1893,6.158416554491453e-10,6.83584249205893e-08
1894,0.0,8.759139902281277e-08
1895,0.0,9.088107688626224e-08
1896,0.0,8.904513415508575e-08
1897,0.0,9.730611871816564e-08
1898,5.6583548957434e-10,7.978280613940569e-08
1899,6.633094074004475e-09,8.070264634341129e-08
1900,5.19105292084987e-09,1.1939422339679595e-07
1901,5.588738916095792e-10,6.930036322572164e-08
1902,0.0,9.378641863122539e-08
1903,0.0,1.3392546893697954e-07
1904,5.374625189347171e-10,9.781817666976167e-08
1905,0.0,1.2643859714778216e-07
1906,5.144184522798412e-10,1.3117670505380374e-07
1907,0.0,1.141711205576712e-07
1908,2.9468334439286537e-09,1.5667330988122785e-07
1909,1.1001967115120692e-09,1.32573699573868e-07
1910,3.206490406526541e-09,1.822355377711915e-07
1911,2.128149656499545e-09,1.4790640090467377e-07
1912,1.0418842455450772e-09,1.4169625384141682e-07
1913,0.0,1.341656394870938e-07
1914,6.696743715117748e-10,8.638799187110635e-08
1915,0.0,1.0013647855355856e-07
1916,0.0,1.5052822766037366e-07
1917,4.386569774084137e-09,1.1405081412618756e-07
1918,3.44591288836682e-09,1.5621472471138986e-07
1919,2.762354567309444e-09,2.430871939296253e-07
1920,0.0,2.0369302822231816e-07
1921,0.0,2.1506602188026136e-07
1922,1.4755870969551665e-09,1.7190590284599239e-07
1923,0.0,2.622139128050094e-07
1924,0.0,2.4365170059326147e-07
1925,0.0,2.1996356380782345e-07
1926,0.0,1.6942131075836642e-07
1927,0.0,1.8730697881608194e-07
1928,1.1426041224282812e-09,1.5539415532117573e-07
1929,4.4561625500705304e-09,1.6264993263348515e-07
1930,0.0,1.53352605281043e-07
1931,0.0,1.1861570925475462e-07
1932,4.383814644626227e-09,1.0959536655974489e-07
1933,1.1470662197865522e-09,8.947116469926186e-08
1934,3.5944740517379614e-09,1.0304159125951173e-07
1935,0.0,1.2806064653148042e-07
1936,3.6374143697059935e-09,1.115473722279603e-07
1937,1.2591118148108649e-09,1.1457917770130166e-07
1938,0.0,1.5428605149025998e-07
1939,0.0,8.564668174670942e-08
1940,0.0,9.88955315417428e-08
1941,0.0,2.420232085853513e-07
1942,9.102635090130207e-09,1.6384743162234372e-07
1943,2.9032352077962287e-09,2.2064587490433496e-07
1944,0.0,2.2813621924910876e-07
1945,0.0,2.635989932997518e-07
1946,0.0,2.0046390147854254e-07
1947,0.0,1.7762098103446533e-07
1948,0.0,1.6416550363551607e-07
1949,0.0,1.3351131133987337e-07
1950,0.0,1.7441992694600117e-07
1951,0.0,1.343336659687111e-07
1952,1.0544803918932644e-09,1.6660789636802065e-07
1953,0.0,1.422145263774155e-07
1954,0.0,2.0033699676957895e-07
1955,9.385607846468247e-10,1.2952138250810208e-07
1956,0.0,1.953535750942592e-07
1957,0.0,1.7846775435259588e-07
1958,1.6544486891589827e-09,1.7619879066899102e-07
1959,2.325224457422337e-09,1.4571406037333645e-07
1960,1.3841666701708277e-09,1.7440499888721206e-07
1961,6.948159270159238e-10,1.7161952703403927e-07
1962,6.341956404476434e-10,1.8264834178438605e-07
1963,1.939815863494232e-09,2.2113902797826768e-07
1964,6.083968329129164e-10,1.9590378386169505e-07
1965,1.6416130677043839e-09,1.9589914934670105e-07
1966,1.1078149508847446e-09,2.282098803263466e-07
1967,1.9721342336964653e-09,2.3221881129131816e-07
1968,1.3474247273492779e-09,2.7622206388855375e-07
1969,9.083515606356229e-10,2.161876775375049e-07
