year,petites_ADJ âmes_NOUN,petites_ADJ ames_NOUN,petites_ADJ dames_NOUN
1800,5.65949598296811e-08,1.1633408547595536e-07,3.144164439916608e-08
1801,7.143547975374531e-09,3.2145965178642655e-07,4.7623651688866175e-09
1802,4.2518962573012686e-08,1.4098392853156838e-07,3.3567602031325805e-08
1803,6.826187615160961e-08,1.326230716358623e-07,1.950339223455444e-09
1804,2.2246657849223084e-08,2.3235398316501232e-07,1.9774807125116922e-08
1805,4.264316544322355e-08,9.665784261869703e-08,1.1371510844071508e-08
1806,1.2391177506287931e-07,1.4696512096179504e-07,2.881669125542885e-09
1807,3.4163463169534225e-08,1.0533734240425474e-07,1.7081731584767113e-08
1808,4.5321478125970316e-08,1.2236799307174806e-07,1.1330369531492579e-08
1809,2.259030518203531e-09,4.0662548883574345e-08,2.25903047379461e-08
1810,5.616304221689461e-08,5.616304221689461e-08,7.020380277111826e-09
1811,4.512738271955641e-08,4.262030373070047e-08,5.0141535368197765e-09
1812,4.000812481308458e-08,5.067695596494559e-08,0.0
1813,3.163315653864629e-08,8.052076339026826e-08,0.0
1814,4.72001566720337e-08,1.0069366851439554e-07,3.1466771854837816e-08
1815,3.236668177919455e-08,1.0788894400093341e-07,5.394447111228828e-09
1816,6.489290882427667e-08,1.622322720606917e-08,1.3905623319487859e-08
1817,1.5724421587037796e-07,8.562803732736768e-08,0.0
1818,3.4571413953798924e-08,1.0013788909191135e-07,2.2650237241350624e-08
1819,1.3249344021915022e-07,4.45095160728215e-08,1.0351050350188018e-08
1820,1.1273156985680544e-07,4.034603762193001e-08,1.3053129244156025e-08
1821,1.0058718025174329e-07,4.437669787193954e-08,1.97229765852569e-09
1822,6.817418807258946e-08,1.0526896687679255e-07,1.0025615893027862e-09
1823,3.4589404229734555e-08,6.324919610278812e-08,1.4824030003524058e-08
1824,7.915846111927749e-08,5.894779064874456e-08,0.0
1825,1.1359021812040737e-07,6.516027895031584e-08,1.7610886082763955e-09
1826,3.963592831723872e-08,8.807984386294265e-08,6.1655889282974385e-09
1827,8.664236322841745e-08,5.530363722527909e-08,5.530363722527909e-09
1828,9.997808092521154e-08,4.1275356466030644e-08,1.0089530988466322e-08
1829,4.543783305166471e-08,9.601956918459109e-08,1.2002446869718852e-08
1830,1.07499410262335e-07,5.218418053232199e-08,3.1310507520032616e-09
1831,9.198811312671751e-08,5.3010101197514814e-08,9.354723218280014e-09
