year,vos_DET oies_NOUN,vos_DET doigts_NOUN
1800,0.0,1.980823611802407e-07
1801,0.0,2.6193009716735105e-07
1802,2.2378401354217203e-09,1.2531904758361634e-07
1803,3.900678446910888e-09,1.852822233416873e-07
1804,0.0,1.97748079244775e-07
1805,0.0,9.665784261869703e-08
1806,2.305335300434308e-08,2.795219176121577e-07
1807,2.8469551160981155e-09,8.825561081948763e-08
1808,1.1330369531492579e-08,1.9941451512295316e-07
1809,0.0,3.6144489201639374e-07
1810,1.6380887757350138e-08,1.638088744648769e-07
1811,1.504245972228091e-08,1.3036799373367103e-07
1812,1.0668832928217853e-08,1.0935553973467904e-07
1813,0.0,9.489947672136623e-08
1814,1.2586708564299443e-08,1.2272040406102747e-07
1815,0.0,9.979726911524267e-08
1816,0.0,1.5064425440414198e-07
1817,6.227493631882908e-09,1.712560724342893e-07
1818,0.0,1.633201305306642e-07
1819,4.140420006848444e-09,1.2421260020545333e-07
1820,3.5599443393152796e-09,1.6731738128328288e-07
1821,5.9168927535324656e-09,1.4989461838421647e-07
1822,4.010246357211145e-09,9.524335098376469e-08
1823,9.882686891060644e-10,1.6108780054313598e-07
1824,1.6842225392110777e-09,1.5494847982466808e-07
1825,5.283265824829186e-09,1.6818396719742168e-07
1826,9.688783109140786e-09,1.5413972220823524e-07
1827,6.452091305675367e-09,7.742509627872707e-08
1828,0.0,9.906085551847355e-08
1829,0.0,1.2259641446465963e-07
1830,3.1310507520032616e-09,1.241983427213711e-07
1831,0.0,1.2784788849806716e-07
1832,0.0,1.9753755653439953e-07
1833,2.3167257001688313e-09,1.7838787513824172e-07
1834,6.534171426153534e-09,2.109603929323356e-07
1835,1.285724948729694e-08,1.5958115540115614e-07
1836,2.016224964762614e-09,2.0834325303864532e-07
1837,6.957891152126194e-09,1.558567568338276e-07
1838,1.8936485712828244e-09,1.4328606967595192e-07
1839,9.788065469251706e-09,1.8107921073706734e-07
1840,0.0,1.3949618704600653e-07
1841,1.2841097074556274e-09,2.060996129316095e-07
1842,3.3541325272778977e-09,1.5026514033067428e-07
1843,5.906911071384968e-10,2.2269055266477267e-07
1844,2.195424508855126e-09,1.8441566584925795e-07
1845,3.348136878855712e-09,1.1885885253803963e-07
1846,5.854501328173001e-10,1.4987523644371947e-07
1847,3.235934187273415e-09,9.599938088911131e-08
1848,6.43617736884039e-09,1.5366374028769059e-07
1849,4.1897072478036534e-09,1.742918334102228e-07
1850,0.0,1.7990839129566893e-07
1851,1.9993260380601896e-08,1.5285169596701564e-07
1852,3.2552727180501506e-09,2.545623358773952e-07
1853,6.569124799682413e-09,2.0842041514868015e-07
1854,1.558699391779328e-09,1.8236782350911085e-07
1855,3.714855978387277e-09,1.9741806411843754e-07
1856,5.694908100650764e-09,1.6463461238735988e-07
1857,2.4407544874094356e-09,2.0014187507300107e-07
1858,1.9574704079872163e-09,2.2168351687668064e-07
1859,4.073738679721828e-09,1.8790119060696497e-07
1860,2.288591982591015e-09,1.9132628281681718e-07
1861,4.715963730639317e-10,2.3108222046985816e-07
1862,1.3553959066214816e-09,1.897554257057621e-07
1863,9.989241656072068e-10,1.9828645392294675e-07
1864,0.0,2.1624222901195367e-07
1865,1.4120533631256649e-09,1.6709297323558303e-07
1866,4.865612801552288e-09,2.0046324711309182e-07
1867,4.367530337390235e-09,1.7955403031066908e-07
1868,1.4819622196071691e-09,1.6449780959604254e-07
1869,9.767038289254515e-10,1.880154867350825e-07
1870,0.0,1.496586765625807e-07
1871,2.1242354542039266e-09,1.1789506793036253e-07
1872,1.8142017887967654e-09,1.360651298298876e-07
1873,5.986004469882289e-10,2.107073521773195e-07
1874,2.9873046258899194e-09,1.278566414963933e-07
1875,1.1443054281912168e-09,2.09980039356239e-07
1876,6.04601479992084e-10,1.9044947152657699e-07
1877,1.1132669008873108e-08,1.8430751058673422e-07
1878,6.039088673581716e-10,1.3044431479425356e-07
1879,4.887460214320072e-09,1.5395499630699305e-07
1880,1.2835692508872398e-09,1.6301328953360894e-07
1881,1.3945015142624584e-09,1.889549563482973e-07
1882,7.986462158271479e-09,1.4508740253660335e-07
1883,3.159669414998234e-09,1.2638677970855383e-07
1884,0.0,1.848475141841277e-07
1885,3.86738152613475e-09,1.720984706965467e-07
1886,6.4534639854230136e-09,1.3100531404131033e-07
1887,1.3057849246322917e-09,1.5473551062683555e-07
1888,0.0,1.3251884278808745e-07
1889,1.2530273485467092e-09,1.2091714163275924e-07
1890,3.2771931834929546e-09,1.4944000792382894e-07
1891,4.461953917456185e-09,1.3832057543794463e-07
1892,1.2537024751679837e-09,1.4292208549981922e-07
1893,1.847525021858587e-09,1.1393070331600086e-07
1894,3.780923574225881e-09,1.5753848803257142e-07
1895,0.0,1.8236401722049322e-07
1896,0.0,1.5568156896961227e-07
1897,3.4960281336537946e-09,1.9169887721659506e-07
1898,5.6583548957434e-10,1.6239478206614422e-07
1899,9.39688327150634e-09,1.3653119168566263e-07
1900,1.5573159428683425e-09,1.744193829367191e-07
1901,2.794369402536745e-09,1.25187754385081e-07
1902,4.910283735171106e-09,1.4927262936836883e-07
1903,5.400220270956879e-10,1.4148576621408893e-07
1904,0.0,1.0641757786089556e-07
1905,1.0321518084666081e-09,1.739175790049785e-07
1906,5.144184633820714e-09,1.6872925756583612e-07
1907,1.5428529565042481e-09,1.6199956820450723e-07
1908,9.822778146428846e-10,2.3034414819989024e-07
1909,0.0,1.9528491534970271e-07
1910,0.0,1.9987123689446662e-07
1911,3.7242617878519013e-09,2.1707125807957084e-07
1912,1.0418842455450772e-09,1.922276484656038e-07
1913,6.363587878865928e-09,2.0310450254967805e-07
1914,4.68772043404897e-09,1.8416045799440894e-07
1915,3.534228465440492e-09,1.5197183422799299e-07
1916,0.0,1.9118183924859977e-07
1917,1.0966424435210342e-09,1.9739563317244802e-07
1918,0.0,1.9067384382509545e-07
1919,5.524709134618888e-09,1.9152324703952672e-07
