year,auriez_VERB eu_VERB,auriez_VERB dû_VERB
1800,2.263798393187244e-07,3.5529058095562505e-07
1801,2.881230898310605e-07,2.881230898310605e-07
1802,1.8350289110458107e-07,3.1553545909446257e-07
1803,1.9503391968100914e-07,2.9840191473340383e-07
1804,2.4718508484511403e-07,6.772871756766108e-07
1805,2.6723051860244595e-07,3.7241699146761675e-07
1806,3.4580028795971884e-07,3.4580028795971884e-07
1807,1.3095993267597805e-07,2.6761378535411495e-07
1808,2.1074488643080258e-07,2.6966279165208107e-07
1809,1.5361408145508904e-07,3.6596293284674175e-07
1810,3.205973655440175e-07,3.7442026723510935e-07
1811,1.8301660986708157e-07,1.9555199060050654e-07
1812,2.453831484672264e-07,3.1473058470510296e-07
1813,3.0482860324809735e-07,3.134558426154399e-07
1814,1.4160046646338742e-07,4.531215154202073e-07
1815,1.5643897199879575e-07,3.0478625490104605e-07
1816,1.668674798338543e-07,2.549364239712304e-07
1817,2.319741412293297e-07,4.561639173061849e-07
1818,2.2769448548842774e-07,4.2439390313120384e-07
1819,2.3703904616922955e-07,5.051312541581865e-07
1820,1.578242034838695e-07,4.6160610622791864e-07
1821,4.2404400346640614e-07,4.772960551235883e-07
1822,2.456275751683279e-07,5.764729280599568e-07
1823,2.9153926561775734e-07,5.257589350549097e-07
1824,2.0800148092803283e-07,3.28423396922517e-07
1825,2.025251859549826e-07,3.9448383404305787e-07
1826,1.788020824733394e-07,3.5936577091888466e-07
1827,2.1568419583672949e-07,3.8251684486567683e-07
1828,1.7610818758839741e-07,3.8798833656983334e-07
1829,1.8003669310928672e-07,2.580526086148893e-07
1830,2.1812986972236104e-07,4.95749702622561e-07
1831,2.4945930476860667e-07,3.617159904933942e-07
1832,3.3824923661995854e-07,3.612501870975393e-07
1833,2.4557292022109323e-07,3.6835939454249456e-07
1834,1.7455572276503517e-07,3.715143179761071e-07
1835,2.4504404905201227e-07,5.642063456434698e-07
1836,1.6465837404666672e-07,3.3603751603550336e-07
1837,1.982998867333663e-07,3.4789454161909816e-07
1838,1.590664737705083e-07,3.023525607659394e-07
1839,1.4891841715325427e-07,2.9783683430650854e-07
1840,1.2994165388136025e-07,3.745377057384758e-07
1841,1.3483152372373297e-07,3.0818631557849585e-07
1842,1.6234001520842867e-07,4.4542881028064585e-07
1843,1.4176586660141766e-07,3.124756062788947e-07
1844,1.6026598359530908e-07,3.3535110333104967e-07
1845,1.3838965173817996e-07,3.180730061558279e-07
1846,1.7153688247617538e-07,3.015068159584189e-07
1847,1.1703295399456692e-07,3.370764716237318e-07
1848,2.534244742946612e-07,3.684711487039749e-07
1849,2.1535096550451271e-07,4.1813279949565185e-07
1850,1.9212858148875966e-07,3.2587180953669304e-07
1851,1.3543821353323438e-07,3.57943861217791e-07
1852,1.5495098182327638e-07,2.597707577933761e-07
1853,1.606449728797088e-07,2.884443119910429e-07
1854,1.0858938992441836e-07,3.0082895818850375e-07
