year,chères_ADJ âmes_NOUN,chères_ADJ ames_NOUN,chères_ADJ dames_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09,4.475680270843441e-09
1803,0.0,1.3652374342143503e-08,1.7553053011098996e-08
1804,0.0,0.0,4.943701892301533e-09
1805,0.0,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0,5.187004603612877e-08
1807,0.0,0.0,2.2775640928784924e-08
1808,0.0,0.0,0.0
1809,0.0,0.0,2.710836710662079e-08
1810,0.0,3.7442028144596406e-08,7.020380277111826e-09
1811,0.0,0.0,0.0
1812,0.0,0.0,6.668020802180763e-08
1813,0.0,0.0,3.4508900625951355e-08
1814,0.0,0.0,9.440030979135372e-09
1815,0.0,5.394447111228828e-09,5.3944471112288284e-08
1816,6.952811659743929e-09,2.3407798721564177e-07,6.025770105111405e-08
1817,6.227493631882908e-09,1.8682481006671026e-08,0.0
1818,1.1921177378582115e-09,0.0,0.0
1819,1.035105001712111e-09,1.035105001712111e-09,4.140420006848444e-09
1820,0.0,0.0,0.0
1821,1.972297702934611e-08,1.577838126820552e-08,4.536284592404627e-08
1822,1.2030739071633434e-08,2.3058916553964082e-08,1.303330066093622e-08
1823,8.894418535021487e-09,9.289725966254991e-08,1.1859224269272772e-08
1824,2.5263338088166165e-09,0.0,2.5263338088166165e-09
1825,1.7610886082763955e-09,1.937197424695114e-08,3.522177216552791e-09
1826,2.6423953025656033e-09,3.5231937367541377e-09,1.7615968683770689e-09
1827,0.0,9.217273055917019e-10,2.7651819167751057e-09
1828,1.1006761724274838e-08,0.0,4.586150570418113e-09
1829,2.571952872898464e-09,3.429270423183084e-09,1.028781115852695e-08
1830,3.1310507520032616e-09,2.0873671680021744e-09,9.39315203396518e-09
1831,2.182768810143898e-08,3.1182412207897414e-09,1.870944643656003e-08
1832,0.0,2.705993873419743e-09,9.470978667991403e-09
1833,8.68772147555319e-08,9.266902800675325e-09,3.4750886612755494e-09
1834,2.249621893213316e-07,9.334531370086552e-09,9.334530925997342e-10
1835,5.294161553592858e-09,3.025235173481633e-09,8.31939672707449e-09
1836,2.8227150394855016e-08,4.5701099793404865e-08,6.72075017860152e-09
1837,9.741046969047318e-09,5.5663127440652715e-09,1.530736071231331e-08
1838,1.1361891205652341e-08,1.8936485712828244e-09,3.787297142565649e-09
1839,9.788065469251706e-09,6.012668762878093e-08,1.2584655095793096e-08
1840,3.184844388215424e-08,6.369688665408546e-10,7.643626342979104e-09
1841,3.338685417020315e-08,2.0545755319290038e-08,5.1364388298225094e-09
1842,2.4149754640490073e-08,1.341653010911159e-09,1.2074877098200432e-08
1843,5.906911015873817e-09,1.1813822142769936e-09,1.6539351332944818e-08
1844,2.3710584096114928e-07,8.232841963717874e-09,1.2623690648361219e-08
1845,2.287893430263921e-08,2.7901139176833567e-09,8.370341864072373e-09
1846,5.093416022283748e-08,1.7563503984519002e-09,4.0981508409032585e-08
1847,2.2651539310913904e-08,1.0786447290911383e-09,1.1865092020002521e-08
1848,3.218088551193432e-08,0.0,1.287235473768078e-08
1849,1.843471353346615e-08,3.3517659758786067e-09,3.016589289472904e-08
1850,1.425689166723032e-08,4.073397619208663e-09,1.6293590476834652e-08
1851,7.223371767395292e-08,1.9993260380601896e-08,5.159551008659946e-09
1852,2.7995344931142085e-08,0.0,4.557381805270211e-09
1853,2.5679306459025497e-08,1.7915795513800958e-09,1.6721409146214228e-08
1854,1.9743525037085874e-08,0.0,3.636965217879151e-08
1855,1.3798036491152743e-08,3.767925349507095e-08,3.714855978387277e-09
1856,2.7439103433835044e-08,1.9673319417989887e-08,3.727576292078538e-08
1857,5.418475002016976e-08,1.4644527812635033e-09,2.4895696171256532e-08
1858,3.034079165686876e-08,0.0,1.565976326389773e-08
1859,3.513599589055616e-08,5.092173349652285e-10,8.14747758148826e-09
1860,8.833964768029112e-08,9.154367819341758e-10,1.785101666484934e-08
1861,1.509108331632092e-07,3.9142497521016395e-08,1.4619487231914974e-08
1862,1.296662048844155e-07,4.517986429419807e-09,1.8523744538256892e-08
1863,5.4940828331240255e-08,4.295374012031061e-08,1.1987090431375691e-08
1864,3.979624163541473e-08,3.404256787575832e-08,2.9727313943794798e-08
1865,6.071829150577912e-08,9.41368871743009e-10,9.88437331983505e-09
1866,6.714546013641964e-08,1.9462451650298362e-09,2.1408696593283594e-08
1867,6.114542294710645e-08,0.0,2.5719900875742496e-08
1868,6.125443718918433e-08,3.803702952609456e-08,1.6301584082611953e-08
1869,7.66712484612242e-08,4.883519144627257e-10,3.516133761927165e-08
1870,7.110220368033993e-08,0.0,1.3188312664169644e-08
1871,2.2304472935275044e-08,2.1242354542039266e-09,2.3366590440332402e-08
1872,2.842249446910472e-08,7.256807155187062e-09,1.330414689526549e-08
1873,5.926144569512459e-08,3.591602570907071e-09,2.1549616646687753e-08
1874,3.8237499555560106e-08,0.0,1.1949218503559678e-08
1875,4.1194994082616176e-08,2.8607636259891933e-09,2.860763570478042e-09
1876,3.264848147388477e-08,6.04601479992084e-10,6.650616057868319e-09
1877,4.638611983409646e-08,0.0,1.1132669008873108e-08
1878,6.03908887342186e-08,1.2078177347163432e-09,2.4760263062084675e-08
1879,6.475885072632082e-08,0.0,5.376206324569921e-08
1880,3.0163877839939346e-08,6.417846254436199e-10,2.1820677931216892e-08
1881,3.974329487732575e-08,0.0,2.0220271124138378e-08
1882,4.991539026555358e-08,6.655385131892899e-10,2.1297232422057277e-08
1883,4.423537092179686e-08,3.159669414998234e-09,8.215140623324402e-09
1884,5.0833065756705764e-08,0.0,1.5183903023796574e-08
1885,3.480643157027785e-08,1.2891271383708158e-09,1.6114088952079442e-08
1886,4.130216779696383e-08,1.2906927748801422e-09,2.3877815502615363e-08
1887,3.3297516854879916e-08,6.528924623161458e-10,1.1752064210668323e-08
1888,4.7554610915767626e-08,1.268122939990235e-09,6.34061447790657e-09
1889,4.886806664883281e-08,0.0,1.816889694250534e-08
1890,5.767860100647226e-08,6.554386366985909e-09,4.588070645628051e-09
1891,4.52569608455633e-08,0.0,6.374220151705856e-09
