year,plusieurs_DET essais_NOUN,plusieurs_DET décès_NOUN
1800,6.099679019655468e-07,0.0
1801,1.0405768335886023e-06,0.0
1802,5.236545916886826e-07,0.0
1803,6.065554813972085e-07,1.950339223455444e-09
1804,5.265042588575852e-07,0.0
1805,4.889749547487554e-07,0.0
1806,6.973639230523077e-07,0.0
1807,5.665440498958674e-07,0.0
1808,5.211970233176544e-07,0.0
1809,6.664139888812315e-07,0.0
1810,6.809768819948658e-07,0.0
1811,6.292762684267927e-07,2.5070767684098882e-09
1812,9.548605248710373e-07,0.0
1813,5.492666801387713e-07,2.8757416448144113e-09
1814,4.562681716890893e-07,0.0
1815,5.070780204619041e-07,2.697223555614414e-09
1816,3.963102557236198e-07,0.0
1817,5.589175664511004e-07,0.0
1818,5.674480476614008e-07,0.0
1819,4.264632664785495e-07,0.0
1820,3.9871377133238184e-07,0.0
1821,3.8755650066946146e-07,0.0
1822,3.779657333780051e-07,0.0
1823,4.1408458528735537e-07,1.9765373782121287e-09
1824,4.833718634245088e-07,0.0
1825,5.159989768799278e-07,0.0
1826,4.474456094527568e-07,0.0
1827,4.894372089836452e-07,0.0
1828,4.953042704869404e-07,0.0
1829,4.723819984064903e-07,8.57317605795771e-10
1830,5.625454626567716e-07,1.0436835840010872e-09
1831,5.347783798015371e-07,3.1182412207897414e-09
1832,5.16844824716145e-07,2.1647950987357945e-08
1833,5.988735765072306e-07,2.3167257001688313e-09
1834,3.901833878217076e-07,3.733812370398937e-09
1835,3.8420485992674003e-07,8.31939672707449e-09
1836,3.777061579057772e-07,2.016224964762614e-09
1837,4.1538608286373346e-07,2.5048406904204512e-08
1838,3.642117434310421e-07,1.2624323808552163e-09
1839,4.887041171741657e-07,1.3982950353153e-09
1840,4.1530369898623576e-07,1.592422149698791e-08
1841,4.545748275575079e-07,4.494383976094696e-09
1842,4.964116051553447e-07,4.024959032733477e-09
1843,3.815864673128999e-07,7.678984337289307e-09
1844,3.8859013073988535e-07,3.2931368743049916e-09
1845,3.8782584255159236e-07,7.254296274794569e-09
1846,3.9810608498669353e-07,5.269051195355701e-09
1847,3.300652764437473e-07,2.1572894581822766e-09
1848,4.3363746016211735e-07,1.6090443422100975e-09
1849,3.9215662717140276e-07,2.6814126918850434e-08
1850,3.116149045467864e-07,8.146795238417326e-09
1851,3.58588792437331e-07,8.384270389072412e-09
1852,4.238365036712821e-07,4.557381805270211e-09
1853,3.4995521858149914e-07,7.763511389313749e-09
1854,3.4551168681673516e-07,6.234797400583858e-09
1855,3.587489558753987e-07,8.491099379170919e-09
1856,3.359995872642685e-07,1.1389816201301528e-08
1857,3.3584782954676484e-07,3.4170564155999728e-09
1858,3.4059986120382746e-07,1.6149131365494895e-08
1859,2.861801462472613e-07,3.055304009791371e-09
1860,3.689210288371214e-07,1.373155145145688e-09
1861,2.7965666049567517e-07,5.187560159214399e-09
1862,2.6294680210980914e-07,5.873382252774562e-09
1863,2.8769017390573026e-07,8.490855685217014e-09
1864,3.246030786385745e-07,3.835782358407869e-09
1865,2.66407386817491e-07,6.589582213223366e-09
1866,2.5252530377883886e-07,2.2868380966656332e-08
1867,3.7997513402387995e-07,1.844068364675877e-08
1868,3.8185225292863834e-07,1.531360993567432e-08
1869,2.6273332132120686e-07,1.12320943657096e-08
1870,3.067716036753154e-07,6.307453670473251e-09
1871,3.3244285546629726e-07,1.911811908783534e-08
1872,3.3562733747771745e-07,7.861540751719076e-09
1873,3.406036626074638e-07,1.4965011230216874e-08
1874,3.070948970673726e-07,1.6728905372076497e-08
1875,2.5861302432872435e-07,1.2587359599081083e-08
1876,3.446228404868634e-07,1.3301232559825849e-08
1877,3.1851801551852077e-07,1.4843558382438005e-08
1878,3.3033816038141595e-07,4.831270938865373e-09
1879,3.341800791645255e-07,1.1607718120032473e-08
1880,2.6762419125248016e-07,7.059631101924424e-09
1881,2.677442942911057e-07,8.367009307619355e-09
1882,2.795261853094644e-07,1.9966156061812512e-08
1883,3.608342638017348e-07,2.2749620187667574e-08
1884,3.934611463307647e-07,2.0465260597291035e-08
1885,4.473271317806393e-07,4.7697705396476664e-08
1886,3.4203358367790315e-07,1.6779006406508756e-08
1887,3.4799167636379025e-07,2.2198344051815866e-08
1888,3.3795475218312276e-07,1.3949352339892584e-08
1889,3.35184800803745e-07,2.4434033463194282e-08
1890,4.4111020258696954e-07,2.0974036729626278e-08
1891,3.837280537766219e-07,2.358461470564066e-08
1892,3.3160431200940366e-07,1.504442992406041e-08
1893,3.818218274886931e-07,3.6334658393144537e-08
1894,3.1696742297526725e-07,2.520615716150587e-08
1895,2.9731954853673415e-07,1.7453982037451965e-08
1896,3.095940215303017e-07,2.4767521367152767e-08
1897,3.560121939472083e-07,2.6220210780358855e-08
1898,3.57608033851875e-07,2.0370077291609334e-08
1899,3.2281058537364515e-07,1.9899282222013426e-08
1900,3.934818408879437e-07,1.0901211489056095e-08
1901,4.018303272346202e-07,1.1177477721169282e-08
1902,3.329172493238275e-07,1.9641135384773634e-08
1903,3.2347318423830984e-07,2.3760969636299478e-08
1904,4.3050747677852996e-07,2.6873125058557434e-08
1905,3.4577086083231734e-07,2.47716436252432e-08
1906,4.2799613808597314e-07,2.7264177582253524e-08
1907,3.2965625962333434e-07,2.0571373937627868e-08
1908,3.320099075665439e-07,3.1432890956750725e-08
1909,3.6581540641122956e-07,2.3654228797909127e-08
