year,ayons_VERB eu_VERB,ayons_VERB dû_VERB
1800,2.2323567350213125e-07,2.2009151834367913e-08
1801,1.2144030847593967e-07,1.1905912700171939e-08
1802,1.969299319171114e-07,3.3567602031325805e-08
1803,1.7553053055507917e-07,3.510610468993036e-08
1804,2.669599155069591e-07,0.0
1805,1.648869130121966e-07,2.842877711017877e-09
1806,1.0085842205853623e-07,0.0
1807,2.562259737715067e-07,8.540865792383556e-09
1808,1.11037628869326e-07,4.5321479902327155e-09
1809,1.197286110254936e-07,4.518061036407062e-09
1810,1.0764583180389309e-07,4.680253518074551e-09
1811,2.3315813280078146e-07,2.757784400841956e-08
1812,1.0935553973467904e-07,2.6672083208723052e-08
1813,2.8469841595324397e-07,2.8757416448144113e-09
1814,2.1397404736944736e-07,5.664018942752591e-08
1815,1.537417375629957e-07,0.0
1816,2.062667476820934e-07,2.3176038865813098e-09
1817,2.2574664626517915e-07,1.71256075987003e-08
1818,2.777634335870971e-07,7.152706427149269e-09
1819,1.531955433620169e-07,3.001804671498576e-08
1820,1.281579926626364e-07,4.746592452420373e-09
1821,2.2977268088197889e-07,1.7750679148775816e-08
1822,2.3660453507545753e-07,3.0076847679083585e-09
1823,1.7690010167825676e-07,2.075364236020505e-08
1824,2.39159589909832e-07,1.7684335773537896e-08
1825,1.514536194235916e-07,4.4027217427355936e-09
1826,2.078684246953344e-07,1.145037931138404e-08
1827,1.7236300209333422e-07,5.530363722527909e-09
1828,1.9445278098828567e-07,9.172301140836225e-09
1829,2.3061843990035413e-07,1.457439946506156e-08
1830,2.4526565312044113e-07,2.1917355041978226e-08
1831,2.1671776551102084e-07,7.795603274018958e-09
1832,2.54363413887404e-07,2.705993829010822e-08
1833,2.2472239891158097e-07,2.89590715851773e-08
1834,2.2869600968533632e-07,4.2005389389032644e-08
1835,2.0344705831121246e-07,2.3445572594482655e-08
1836,1.371032993802146e-07,2.688300071440608e-08
1837,2.2126093313090678e-07,3.339787468803479e-08
1838,2.202944529017259e-07,2.840472923537618e-08
1839,2.544896915424033e-07,2.7266752411492234e-08
1840,1.9172762222297024e-07,2.165694112932215e-08
1841,2.3563413265037525e-07,3.531301828729738e-08
1842,1.784398477866489e-07,3.219967226186782e-08
1843,2.1855571219475678e-07,4.3120451209688326e-08
1844,1.65205690905168e-07,2.5796238034558883e-08
1845,2.3102143131836783e-07,3.459741293454499e-08
1846,1.639260318597735e-07,2.2247105491146613e-08
1847,1.7905502147641528e-07,3.55952778363644e-08
1848,2.300933346077727e-07,5.792559676365272e-08
1849,2.220544956799131e-07,4.357295679824347e-08
1850,1.9212858148875966e-07,1.0862393651223101e-08
1851,1.5220675209093315e-07,3.224719336003545e-08
1852,2.161501129194221e-07,2.9948509450150596e-08
1853,1.911018188138769e-07,2.6873692604567623e-08
1854,1.9795481875917176e-07,3.3771819119010615e-08
1855,2.1811511885516666e-07,1.751289246954002e-08
1856,2.334912352353058e-07,3.675804194358534e-08
1857,2.269901671070329e-07,1.1715622250108026e-08
1858,2.2657719966900913e-07,2.104280660830682e-08
1859,2.2049110270927486e-07,2.8516170758052795e-08
1860,1.7576385857864807e-07,2.9293977021893625e-08
1861,2.1457634602484177e-07,2.6880993431177558e-08
1862,2.1731513299982907e-07,1.2198563048571032e-08
1863,1.9528967243331863e-07,1.9479021062807078e-08
1864,2.152832792035042e-07,1.102787461348953e-08
1865,2.1604415678666555e-07,3.435996376310868e-08
1866,2.243047561023559e-07,1.0704348518686402e-08
