year,soixante - dix hivers
1800,0.0
1801,0.0
1802,0.0
1803,2.14285567068373e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.9564175552110328e-09
1816,0.0
1817,0.0
1818,2.606645788105766e-09
1819,0.0
1820,0.0
1821,3.2400966354373395e-09
1822,0.0
1823,0.0
1824,9.187538507759996e-10
1825,0.0
1826,3.844236484695784e-09
1827,2.0121309063370063e-09
1828,7.016175640472966e-09
1829,0.0
1830,3.424176275856894e-09
1831,0.0
1832,2.965254486397839e-09
1833,1.3941157561703221e-08
1834,3.068623133373194e-09
1835,1.4939288917048543e-08
1836,1.1015234946398778e-08
1837,1.5181975676625825e-09
1838,1.3764486217482386e-09
1839,4.5855470531819265e-09
1840,0.0
1841,4.913853324239881e-09
1842,0.0
1843,8.390431460725267e-09
1844,2.9919868804739735e-09
1845,2.4401618503588907e-09
1846,2.562641876480143e-09
1847,5.890599674707175e-10
1848,8.809016294186733e-10
1849,0.0
1850,1.4860133124017239e-09
1851,4.235141126684994e-09
1852,4.993472302317059e-09
1853,1.307408403761201e-09
1854,1.1366367846932235e-09
1855,0.0
1856,1.1342280448189968e-09
1857,5.349697351775262e-10
1858,1.0721975529648375e-09
1859,2.787130304326979e-09
1860,1.0035964281840393e-09
1861,5.163843574962357e-09
1862,1.4853255292379686e-09
1863,7.127397338990704e-09
1864,5.249539691831728e-10
1865,1.5478816006719853e-09
1866,5.339306219376283e-10
1867,1.5969995326159392e-09
1868,7.032884941082784e-09
1869,1.6071937114503498e-09
1870,6.283288334074655e-10
1871,3.499477596591305e-09
1872,1.3267023035723469e-09
1873,1.3120848851855271e-09
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,5.317470019861048e-09
1879,0.0
1880,7.066983109815794e-10
1881,7.684392566709164e-10
1882,3.6638168054992093e-09
1883,6.966609511493971e-10
1884,1.454968479031038e-09
1885,1.4204167841924686e-09
1886,7.111462529962864e-10
1887,1.440524810547572e-09
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,6.917188488664294e-10
1893,0.0
1894,2.7835238558537867e-09
1895,0.0
1896,0.0
1897,0.0
1898,6.242592553995507e-10
1899,1.830123053103705e-09
1900,1.7208012792480076e-09
1901,0.0
1902,0.0
1903,0.0
1904,1.187045350903304e-09
1905,2.279158417550775e-09
1906,3.4053941888601003e-09
1907,5.683689630053834e-10
1908,0.0
1909,6.066065427745571e-10
1910,2.3593433873259073e-09
1911,5.871810260238419e-10
1912,0.0
1913,1.7553301034922697e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,4.171688328113987e-09
1921,0.0
1922,8.143886676137413e-10
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,1.1625793661096395e-09
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,1.4344111454178687e-09
1939,0.0
1940,0.0
1941,3.2809635008845817e-09
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.5397358943403106e-09
1947,0.0
1948,1.2032065344058651e-09
1949,0.0
1950,1.176276409609045e-09
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,1.7148831243929408e-09
1960,7.653365718951477e-10
1961,0.0
1962,0.0
1963,7.132183177382956e-10
1964,6.711313171869904e-10
1965,0.0
1966,6.110574823914305e-10
1967,5.43188660717675e-10
1968,0.0
1969,0.0
1970,0.0
1971,5.666332403286845e-10
1972,3.957103089646807e-09
1973,6.093281434971232e-10
1974,1.24385801658633e-09
1975,0.0
1976,6.311368094813474e-10
1977,0.0
1978,0.0
1979,0.0
1980,1.2523334591563184e-09
1981,6.962825871426048e-10
1982,0.0
1983,6.941931474102603e-10
1984,0.0
1985,0.0
1986,6.58354371019243e-10
1987,1.3427359224493784e-09
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,6.035035804430322e-10
1993,1.8198214046805106e-09
1994,1.154674023062796e-09
1995,0.0
1996,1.7500596527497692e-09
1997,1.5702721345434156e-09
1998,0.0
1999,4.985142854074809e-10
2000,4.81735262791716e-10
2001,9.554933511068953e-10
2002,1.909338465111432e-09
2003,1.3613796756573038e-09
2004,9.593307259692097e-10
2005,4.904935346772277e-10
2006,1.3462255754603802e-09
2007,8.726048217333471e-10
2008,0.0
2009,5.21569676337208e-10
2010,0.0
2011,4.19642653959329e-10
2012,1.4998260411402953e-09
2013,1.2320777731389398e-09
2014,4.311279333535367e-09
2015,2.941699772662787e-09
2016,9.169952019938421e-10
2017,2.5101178913189415e-09
2018,2.291995038206096e-09
2019,1.1330004712206687e-09
