year,ces_DET ans_NOUN,ces_DET dents_NOUN
1800,6.288328968651058e-09,1.5532172454868487e-06
1801,2.3811825844433088e-09,9.95334318076857e-07
1802,2.2378401354217203e-08,2.5757539674486907e-06
1803,7.801356893821776e-09,1.9015807311006938e-06
1804,4.943701892301533e-09,1.6759149730205536e-06
1805,1.1371510844071508e-08,2.2799878252044437e-06
1806,2.0171682990621775e-08,1.3457395056093446e-06
1807,5.693910232196231e-09,6.718813949646574e-07
1808,2.7192887053217873e-08,9.494849919633452e-07
1809,1.581321384946932e-08,7.545161793132138e-07
1810,4.680253518074551e-09,4.1420244656364957e-07
1811,2.2563691359778204e-08,4.938941202681235e-07
1812,1.0668832928217853e-08,2.104427238691642e-06
1813,1.1502966579257645e-08,2.789469348840612e-07
1814,6.293354282149721e-09,8.621895233318355e-07
1815,3.776112933451259e-08,5.070780382254725e-07
1816,4.6352077731626196e-09,1.1309906824408245e-06
1817,1.71256075987003e-08,2.4660875794779713e-06
1818,1.1921177378582115e-09,1.3435167005582116e-06
1819,1.0351050350188018e-08,1.0030167345576047e-06
1820,1.0679833017945839e-08,5.862041518867045e-07
1821,2.1695273910715684e-08,8.086420208996969e-07
1822,5.413832582235045e-08,1.0978049544974056e-06
1823,7.510842370272997e-08,1.3499750366463559e-06
1824,1.2631669044083083e-08,8.665325168522031e-07
1825,4.402721520690989e-09,2.739373343274565e-06
1826,1.7615968683770689e-09,7.337050718092542e-07
1827,6.452091305675367e-09,9.678136621005251e-07
1828,1.0089531543577834e-08,1.208909296224192e-06
1829,8.57317605795771e-10,1.2319653990289225e-06
1830,3.7572609246083744e-08,9.810625698492004e-07
1831,1.5591206103948707e-09,1.0336969751278957e-06
1832,2.3000947813045514e-08,9.443918429496989e-07
1833,1.50587169400751e-08,2.393177567228122e-06
1834,1.1201437333241415e-08,1.6391436474805232e-06
1835,3.2521278114927554e-08,1.9089233376234915e-06
1836,1.6801875613037254e-08,1.579376259996934e-06
1837,1.1132625044041333e-08,1.107696220969956e-06
1838,6.122797135965641e-08,9.739665642882755e-07
1839,3.845311480343838e-08,1.4682097457807686e-06
1840,1.5287252685958208e-08,5.688131992087619e-07
1841,1.8619591202195807e-08,7.884433586013984e-07
1842,4.293289501688946e-08,5.601401511512449e-07
1843,5.316220019757623e-09,1.0602905291534626e-06
1844,1.152597861597826e-08,1.0115418547229638e-06
1845,1.0044410192477926e-08,8.018787411856465e-07
1846,1.3465352610708692e-08,9.835562480020599e-07
1847,1.1325769655456952e-08,6.417936191382978e-07
1848,7.401603796530765e-08,7.353332875936758e-07
1849,9.217356433666168e-09,8.714591643865788e-07
1850,1.0862393651223101e-08,6.592114942804983e-07
1851,1.6768540778144825e-08,5.946382444221854e-07
1852,2.864639925270751e-08,8.841320635610828e-07
1853,1.7915795735845563e-08,1.3156165721284196e-06
1854,1.7665259477439577e-08,8.744303130470144e-07
1855,2.0697054736729115e-08,7.328880400336857e-07
1856,1.5013848608802505e-08,7.42408914788939e-07
1857,2.0990488958094744e-08,5.545394259343084e-07
1858,1.6638498356869036e-08,5.965391096651729e-07
1859,1.680417249794175e-08,7.348006079155311e-07
1860,1.1900678331677739e-08,1.0468019411291607e-06
1861,1.1789909160064838e-08,5.31960715477453e-07
1862,2.2589932147099034e-08,4.644489877136948e-07
1863,1.1487627959994029e-08,4.015675187929446e-07
1864,1.5343129544653777e-08,8.721609958683985e-07
1865,8.943004337069738e-09,5.864728223059501e-07
1866,3.1139921974343565e-08,5.24999620665767e-07
