year,deux_DET oies_NOUN,deux_DET doigts_NOUN
1800,3.458580932758082e-08,2.2858076285103834e-06
1801,5.23860170797974e-08,2.157351438825117e-06
1802,1.1860552717735118e-07,2.1841319437498896e-06
1803,9.751696339321825e-09,2.086863033268216e-06
1804,7.4155528384522995e-09,2.4916256435858486e-06
1805,5.970043304159844e-08,2.2117588569514623e-06
1806,5.76333825108577e-09,1.4033728348294972e-06
1807,0.0,1.5060392577481707e-06
1808,2.039466551195801e-08,1.2168817846713864e-06
1809,4.518061036407062e-09,1.6242429161650307e-06
1810,2.3401266702194334e-08,1.4906607770370783e-06
1811,0.0,1.358835552522919e-06
1812,7.468182872116813e-08,1.3442729622781258e-06
1813,2.8757416448144113e-09,1.038142760423355e-06
1814,9.440031423224582e-09,1.2712575188089659e-06
1815,2.697223555614414e-09,1.1571088505135663e-06
1816,1.622322720606917e-08,1.789190168466348e-06
1817,7.784366928831332e-09,2.4629737360726267e-06
1818,9.536941902865692e-09,1.6892308103422238e-06
1819,1.6561680027393777e-08,1.7079233014527517e-06
1820,3.322614805512103e-08,1.5129763610843838e-06
1821,1.577838126820552e-08,1.4210404577497115e-06
1822,1.604098542884458e-08,1.6682624703889815e-06
1823,3.95307486744656e-09,1.5051331754278863e-06
1824,1.2631669044083083e-08,1.3423253628630505e-06
1825,1.1447076175841175e-08,1.9178255001861544e-06
1826,1.8496766784892316e-08,1.3969463026342055e-06
1827,9.217273166939322e-09,1.3236003949534947e-06
1828,0.0,1.510678036886759e-06
1829,2.914879759785549e-08,1.5800363000195716e-06
1830,1.982998831806526e-08,1.4726374963913713e-06
1831,6.236482441579483e-09,1.3985311859698868e-06
1832,2.1647950210201827e-08,1.637126342046713e-06
1833,2.548398292390175e-08,1.3077916971582226e-06
1834,1.7735608537350345e-08,1.3105681206937447e-06
1835,2.2689263801112247e-09,1.7652247592536696e-06
1836,4.099657546774438e-08,1.6459117109235422e-06
1837,1.5307360268224102e-08,1.5321276300994668e-06
1838,2.651107999795954e-08,1.4088745832196992e-06
1839,1.2584655206815398e-08,1.497573983044731e-06
1840,1.2102408297742784e-08,1.5414646625799833e-06
1841,3.980740226339208e-08,1.556983026063108e-06
1842,2.4149754196400863e-08,1.3906233551352898e-06
1843,6.497602011990011e-09,1.2953856312059031e-06
1844,3.293136902060567e-08,1.3748845826278e-06
1845,2.678509469777879e-08,1.3794323607818626e-06
1846,8.781752214304106e-09,1.4548435842698382e-06
1847,2.8044763844548015e-08,1.0775660914674745e-06
1848,8.84974404868899e-09,1.129549139444741e-06
1849,1.5920887941334172e-08,1.3256233986069788e-06
1850,5.431196825611551e-09,1.2206614465881671e-06
1851,1.3543821175687754e-08,1.1776675075125809e-06
1852,1.5625309490729933e-08,1.3196875103815842e-06
1853,9.555090940693844e-09,1.7378321111038986e-06
1854,2.4419623212423858e-08,1.288005175403839e-06
1855,2.1227748447927297e-08,1.4450790004616465e-06
