year,des_DET eaux_NOUN,des_DET do_NOUN
1800,1.2161627836348998e-05,1.5720821977538435e-08
1801,1.0810568916497232e-05,9.52473055981784e-09
1802,1.0750584408469877e-05,4.475680270843441e-09
1803,1.2193521158110343e-05,7.801356893821776e-09
1804,1.1934096463050992e-05,9.887403784603066e-09
1805,1.0493061409988513e-05,2.842877755426798e-08
1806,8.725694257805117e-06,2.305335211616466e-08
1807,1.0451171831959982e-05,3.9857372513552036e-08
1808,9.442730757314166e-06,9.064295980465431e-09
1809,1.143069447095968e-05,1.129515236897305e-08
1810,9.154575806746834e-06,1.1700633351097167e-08
1811,1.0775416043884434e-05,1.0028307073639553e-08
1812,1.0788856940280311e-05,2.9339291440777515e-08
1813,9.303023773554742e-06,3.738464116054274e-08
1814,7.325464238761015e-06,1.2586708564299443e-08
1815,9.127404766218206e-06,8.091670444798638e-09
1816,8.081484850208653e-06,1.3905623319487859e-08
1817,7.968077664344264e-06,1.8682481006671026e-08
1818,8.528410489816451e-06,7.152706427149269e-09
1819,8.172153641794466e-06,5.175524897538253e-09
1820,7.181594508409717e-06,1.4239777357261119e-08
1821,6.7215905588113856e-06,1.3806083720702134e-08
1822,8.149823329972605e-06,9.023054303725075e-09
1823,6.7113327801848754e-06,1.3835761869529506e-08
1824,7.527632703840936e-06,9.263223965660927e-09
1825,7.487268231187727e-06,1.0566531649658373e-08
1826,8.103345280119356e-06,2.0258364430425502e-08
1827,7.783987014065019e-06,1.2904182333794978e-08
1828,7.69739506267797e-06,1.651014225334535e-08
1829,8.64176151793572e-06,3.0006116702452346e-08
1830,8.167867537878237e-06,1.8786305178153384e-08
1831,8.966502967666656e-06,3.118241287403123e-08
1832,8.223515258976022e-06,1.894195655882669e-08
1833,9.679280147167901e-06,1.8533806156462163e-08
1834,8.237723786663764e-06,1.68021550006614e-08
1835,8.491078808958719e-06,1.5882484660778573e-08
1836,6.8820482610476574e-06,2.4866775305554256e-08
1837,7.70795137583491e-06,9.045257765016856e-09
1838,7.458450674846517e-06,1.830526885626682e-08
1839,6.9446324175714835e-06,1.747868882961967e-08
1840,7.442981001304361e-06,9.554533331179726e-09
1841,7.3110786047436704e-06,1.3483152372373297e-08
1842,6.6042869377724855e-06,2.2808102073668124e-08
1843,7.415536231292208e-06,2.3036953678001737e-08
1844,7.332169111862186e-06,1.0977122322231025e-08
1845,7.733079932847886e-06,8.37034175305007e-09
1846,7.986125666548105e-06,1.5807153141977892e-08
1847,6.925438384541849e-06,1.887628275909492e-08
1848,6.943831074579521e-06,8.045221766561639e-09
1849,7.152668619170299e-06,1.3407063903514427e-08
1850,6.721785084096155e-06,1.6972489191857676e-08
1851,7.5155312018182485e-06,2.3217978650791338e-08
1852,8.450037128682197e-06,1.6927418133860783e-08
1853,7.715138671926525e-06,1.1346670270029335e-08
1854,8.09380572519558e-06,1.2989160858012383e-08
1855,8.42688534419267e-06,1.2736649068756378e-08
1856,7.945431899969435e-06,1.6049285789243584e-08
1857,8.011532955265466e-06,1.7573433541695493e-08
1858,7.1614053993585e-06,1.3702292633865909e-08
1859,8.112850899522073e-06,1.3748867822016564e-08
1860,7.203114428477875e-06,1.2816115280145368e-08
