year,vingt - deux années
1800,9.645351894960186e-08
1801,9.675436452027952e-08
1802,2.2171538383020106e-08
1803,2.5714268048204758e-08
1804,2.4465649062221928e-08
1805,2.8100116011842147e-08
1806,1.2323732789809583e-07
1807,3.4264434844999414e-08
1808,5.976355055281601e-08
1809,2.718055114314666e-08
1810,1.3334309301171743e-07
1811,4.414885523829071e-08
1812,5.841833683462028e-09
1813,2.0455925664464303e-07
1814,1.1006011768621704e-07
1815,1.4486446087147442e-07
1816,7.092794174212713e-08
1817,6.653881845508636e-08
1818,1.6943197067575966e-07
1819,1.582852604542495e-07
1820,8.416672159228256e-08
1821,1.026030531647848e-07
1822,8.662162542805163e-08
1823,7.988945593950803e-08
1824,7.901282983446833e-08
1825,5.093673394185316e-08
1826,9.995014682573355e-08
1827,1.448734270326213e-07
1828,6.715482303576437e-08
1829,1.601499408643292e-07
1830,9.016997859490061e-08
1831,1.043983388626657e-07
1832,1.0081865464695028e-07
1833,1.2800517446009962e-07
1834,8.899007086782262e-08
1835,7.635636967151527e-08
1836,9.179362159272841e-08
1837,1.2297400253657997e-07
1838,8.809271045961964e-08
1839,1.406234533263273e-07
1840,8.906930082375197e-08
1841,9.617112839421793e-08
1842,9.829178893028256e-08
1843,8.261348405369517e-08
1844,1.2207307364953124e-07
1845,1.0614704137879016e-07
1846,1.531178526192889e-07
1847,1.360728574262282e-07
1848,1.3742065885224974e-07
1849,1.0275117112712451e-07
1850,1.6048944484481353e-07
1851,1.7364078902515345e-07
1852,2.104391976232023e-07
1853,1.1766675900304335e-07
1854,1.1309536218639948e-07
1855,1.890781102797945e-07
1856,8.166441889390086e-08
1857,1.406970362438642e-07
1858,1.0346706424968488e-07
1859,1.0200896438661289e-07
1860,1.8466174722675532e-07
1861,8.985088140178732e-08
1862,1.3268907839147914e-07
1863,1.0910400538577392e-07
1864,1.5906105677032656e-07
1865,9.442078408028465e-08
1866,1.1372722097391375e-07
1867,1.0061096711311279e-07
1868,2.1747844225483703e-07
1869,1.7036254007507523e-07
1870,3.185627324153728e-07
1871,1.0801720735642562e-06
1872,3.495860649849192e-07
1873,4.4742095051120145e-07
1874,3.2448061615397705e-07
1875,2.986311034014477e-07
1876,1.394574620228184e-07
1877,1.9537697237836937e-07
1878,1.5088321703160545e-07
1879,1.4785164470509926e-07
1880,1.4557985283936148e-07
1881,8.606519585896422e-08
1882,1.8978571281191847e-07
1883,2.2432482627010586e-07
1884,1.549541475132088e-07
1885,1.0724146703999793e-07
1886,1.372512317132646e-07
1887,1.3180801694545607e-07
1888,1.2999576459726825e-07
1889,1.1961327411880163e-07
1890,1.0988041443393826e-07
1891,1.0681355000485837e-07
1892,1.4941126735834587e-07
1893,1.1683859879596525e-07
1894,1.2108329006110807e-07
1895,9.09948201233135e-08
1896,8.065399476064883e-08
1897,8.825322961314441e-08
1898,1.0737258904214286e-07
1899,8.845594579032223e-08
1900,9.464407457748791e-08
1901,8.140897023167781e-08
1902,6.542654573671314e-08
1903,5.06684330603413e-08
1904,8.665430961674048e-08
1905,9.287570224003616e-08
1906,1.169185366300951e-07
1907,1.0799010485840199e-07
1908,6.835329280363567e-08
1909,5.277476944343107e-08
1910,6.370227367824555e-08
1911,8.572842991050322e-08
1912,8.73653716038092e-08
1913,9.420271362969856e-08
1914,1.0267364825011782e-07
1915,6.494048676586317e-08
1916,7.618817221555219e-08
1917,6.392342033478826e-08
1918,6.571602284566325e-08
1919,5.878268893866334e-08
1920,4.088254601519736e-08
1921,6.518428641300034e-08
1922,4.0719435157043904e-08
1923,8.563932807348351e-08
1924,6.269584718054944e-08
1925,7.432963577969076e-08
1926,6.049394585261325e-08
1927,6.171340105609602e-08
1928,4.93414376023793e-08
1929,7.529002532535856e-08
1930,5.347865084104342e-08
1931,4.6725620705956317e-08
1932,5.821833615193839e-08
1933,5.836469441078407e-08
1934,6.504346350411083e-08
1935,5.968682659229785e-08
1936,6.174254973956295e-08
1937,6.136939889600512e-08
1938,3.586027830237981e-08
1939,5.2520743309969475e-08
1940,8.443845089800561e-08
1941,5.577637907094868e-08
1942,6.392351536987917e-08
1943,1.1239804864615621e-07
1944,6.743956149080077e-08
1945,8.65066347444099e-08
1946,5.081128495731946e-08
1947,5.662166069342334e-08
1948,5.7753912763303106e-08
1949,8.003895057839827e-08
1950,4.705105682845101e-08
1951,8.967285225480737e-08
1952,5.022521332165297e-08
1953,7.264039414422996e-08
1954,4.97109264863127e-08
1955,7.167599758162169e-08
1956,4.4375699004284286e-08
1957,5.378327205818323e-08
1958,4.757437466196279e-08
1959,4.287207866493503e-08
1960,4.438951961560633e-08
1961,5.9044592326529255e-08
1962,6.364774968181663e-08
1963,5.848390172147333e-08
1964,6.442860600586187e-08
1965,5.5511542917940915e-08
1966,4.521825247572053e-08
1967,5.7034811096201565e-08
1968,5.138571723684038e-08
1969,5.841506744985736e-08
1970,6.423504705921346e-08
1971,4.646392515184061e-08
1972,5.2007637751927405e-08
1973,3.595035957815185e-08
1974,5.0376248783567945e-08
1975,5.115609269523702e-08
1976,4.3548438188878436e-08
1977,5.130782243512044e-08
1978,5.10390648633674e-08
1979,5.0887415614653264e-08
1980,2.7551335546327493e-08
1981,4.1080673529592104e-08
1982,5.3185972959113315e-08
1983,3.6098043665333535e-08
1984,4.9034613702758634e-08
1985,5.3528151688908565e-08
1986,4.8059867641114806e-08
1987,4.095344463550532e-08
1988,3.424623196135457e-08
1989,4.641410944472568e-08
1990,4.4177966840308613e-08
1991,6.30132657164495e-08
1992,4.9487295150640875e-08
1993,5.7021070531959595e-08
1994,5.369234246099808e-08
1995,4.209489301576497e-08
1996,4.200143033372683e-08
1997,5.1295553582519915e-08
1998,3.173561613500908e-08
1999,4.586331336930982e-08
2000,5.25091441438974e-08
2001,4.251945329158957e-08
2002,5.537081460005311e-08
2003,5.218622245450888e-08
2004,4.988519730630969e-08
2005,3.482504218332849e-08
2006,5.923392354389989e-08
2007,4.8429567023333675e-08
2008,4.044488999266349e-08
2009,5.476481712562986e-08
2010,4.7109452783189454e-08
2011,5.077676168419032e-08
2012,4.986921675609324e-08
2013,4.558687649591775e-08
2014,6.035791155767356e-08
2015,5.123460811162772e-08
2016,4.8371496363941446e-08
2017,7.084110098531937e-08
2018,4.154241084464161e-08
2019,4.333726932870263e-08
