year,gros_ADJ dommages_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,1.5602713787643552e-08
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,1.4234775136401367e-08
1808,3.3991110370834576e-08
1809,2.4849335034105025e-08
1810,2.3401267590372754e-09
1811,1.2535384286138651e-08
1812,1.0668832928217853e-08
1813,4.888760685162197e-08
1814,0.0
1815,1.3486118000116676e-08
1816,4.6352077731626196e-09
1817,2.0239355080775567e-08
1818,2.384235475716423e-09
1819,1.1386155129855524e-08
1820,8.306536791735653e-09
1821,2.2681422962023134e-08
1822,3.0076847679083585e-09
1823,1.087095569118901e-08
1824,9.263223965660927e-09
1825,1.0566531649658373e-08
1826,0.0
1827,1.6591091167583727e-08
1828,3.944089499441361e-08
1829,2.571952872898464e-09
1830,9.39315203396518e-09
1831,2.6505050598757407e-08
1832,2.1647950987357945e-08
1833,1.0425265983826648e-08
1834,1.5868701908061666e-08
1835,1.0588323107185715e-08
1836,2.688300027031687e-09
1837,1.0436836284100082e-08
1838,9.468243078458727e-09
1839,1.3283802502428443e-08
1840,8.917564464638872e-09
1841,3.852329122366882e-09
1842,1.341653010911159e-09
1843,1.5357969118667825e-08
1844,1.1525978393933656e-08
1845,5.580227835366713e-09
1846,6.439951683034906e-09
1847,2.1572894581822766e-09
1848,6.43617736884039e-09
1849,8.379414939696517e-10
1850,9.504594444820214e-09
1851,2.579775504329973e-09
1852,3.906327261660181e-09
1853,8.360704129017904e-09
1854,1.558699302961486e-08
1855,4.2455496895854594e-09
1856,1.4496129630003907e-08
1857,7.322263684272912e-09
1858,1.1744822003834088e-08
1859,7.129042689513199e-09
1860,8.238931314963338e-09
1861,6.6023493339173456e-09
1862,1.3553959066214816e-09
1863,6.99246927027275e-09
1864,2.8768367688059016e-09
1865,5.6482134525026595e-09
1866,1.9462451650298362e-09
1867,3.396968040192405e-09
1868,4.44588676984381e-09
1869,5.860222973552709e-09
1870,7.454262984651905e-09
1871,7.434824311758348e-09
1872,3.628403577593531e-09
1873,1.7958012854535355e-09
1874,1.0754296120296658e-08
1875,1.5448122780981066e-08
1876,6.04601479992084e-09
1877,7.421779191219002e-09
1878,1.0266450800600069e-08
1879,9.163987790827832e-09
1880,6.417846254436199e-09
1881,2.022027167924989e-08
1882,1.3976308999019693e-08
1883,5.687405213450347e-09
1884,3.300848483434038e-09
1885,2.5782542767416317e-09
1886,1.2261581083805595e-08
1887,5.876032105334161e-09
1888,2.4728397107764977e-08
1889,1.3156786771162388e-08
1890,7.865263995654459e-09
1891,2.358461337337303e-08
1892,4.387958441043338e-09
1893,1.3548516086814288e-08
1894,6.9316934414587195e-09
1895,1.8657704714541978e-08
1896,1.2973464080801023e-08
1897,1.2818770045441852e-08
1898,5.6583546736987955e-09
1899,1.8241008703512307e-08
1900,1.5054054003371675e-08
1901,7.265360757457984e-09
1902,9.820567470342212e-09
