year,tes_DET ans_NOUN,tes_DET dents_NOUN
1800,3.45858084394024e-08,6.288329146286742e-08
1801,5.0004833385131064e-08,5.238601841206503e-08
1802,2.0140561218795483e-08,2.2378401354217203e-08
1803,2.7304748684287006e-08,6.826187393116356e-08
1804,6.92118238276862e-08,4.943701981119375e-08
1805,5.685755510853596e-08,4.5486043376286034e-08
1806,1.498467980809437e-07,6.339671898558663e-08
1807,1.1387820464392462e-08,3.131650672116848e-08
1808,6.798221985349073e-09,3.6257183921861724e-08
1809,3.6144488291256494e-08,3.840352036377226e-08
1810,3.978215445954447e-08,4.44624070894406e-08
1811,3.760615285841595e-08,1.0780430415024966e-07
1812,7.20146218213813e-08,3.200649700829672e-08
1813,4.6011867427253605e-08,6.901780125190271e-08
1814,5.97868634599763e-08,2.5173417128598885e-08
1815,4.8550024445148665e-08,2.4275012222574333e-08
1816,3.708166040894412e-08,1.1588019432906549e-08
1817,5.449056961204235e-08,3.89218364205135e-08
1818,2.8610826152686286e-08,1.9073883805731384e-08
1819,7.659776724011635e-08,6.314140854613015e-08
1820,1.0561168295453172e-07,5.933240476707624e-08
1821,3.8459806006585495e-08,9.269798972866283e-08
1822,3.709477880420309e-08,8.321261191213125e-08
1823,3.557767347395213e-08,4.4472090898750594e-08
1824,6.989523360090288e-08,5.221090049190025e-08
1825,3.698286188402733e-08,6.339919011999484e-08
1826,3.8755132436563144e-08,2.7304751348822265e-08
1827,3.2260455640198415e-08,5.530363783590175e-08
1828,4.402704451011985e-08,7.246118016723813e-08
1829,3.257806824308318e-08,3.429270378774163e-08
1830,1.1480518979922749e-08,4.5922078140137046e-08
1831,1.7150327380477393e-08,5.6128342862393765e-08
1832,4.735489356200162e-08,6.088486292910034e-08
1833,6.023486831541192e-08,4.517614948795767e-08
1834,3.080395205579123e-08,2.987049962932531e-08
1835,3.1764969321557146e-08,4.0840674842002045e-08
1836,3.22596004909137e-08,7.392825462915198e-08
1837,3.1310509740478665e-08,5.566312721860811e-08
1838,3.3454458758797045e-08,5.302215999591908e-08
1839,2.7965900262216792e-08,6.571986688186371e-08
1840,2.930056863803543e-08,4.904660427795804e-08
1841,2.760835826620678e-08,3.7239180628034774e-08
1842,3.4212152222323766e-08,4.561620325915783e-08
1843,1.5357968674578615e-08,4.902736128187257e-08
1844,1.701454005464953e-08,3.787107161201675e-08
1845,2.17628883802945e-08,7.031087534414837e-08
1846,2.2247105713191218e-08,3.454155717008689e-08
1847,1.887628275909492e-08,2.534815113364175e-08
1848,1.2067832455553429e-08,3.539897619475596e-08
1849,2.262441967104678e-08,2.1786479287300153e-08
