year,fus_VERB en_ADP,fus_VERB dans_ADP
1800,3.301372828445892e-07,2.955514730729192e-07
1801,2.928854598849284e-07,2.7859834972332465e-07
1802,3.3791386044867977e-07,3.088219386881974e-07
1803,1.677291692203653e-07,1.7553053055507917e-07
1804,2.3482583344502928e-07,2.71903616066993e-07
1805,3.9231713344634045e-07,1.5920115004064428e-07
1806,2.9104859322615084e-07,2.3917854719002207e-07
1807,2.306033621835013e-07,1.1387820109121094e-07
1808,1.8128591250388126e-07,1.1330369886763947e-07
1809,2.3268013649158092e-07,1.9427662323323602e-07
1810,3.6739990605383355e-07,2.7613495490186324e-07
1811,1.1281845502253418e-07,1.2284675676710322e-07
1812,1.893717893608482e-07,1.600324992523383e-07
1813,2.0705340375570813e-07,2.645682286583906e-07
1814,2.0138733702879108e-07,1.1013369771717407e-07
1815,1.8610842289490392e-07,8.90083740046066e-08
1816,1.0892738089296472e-07,1.0660977523002657e-07
1817,2.1796228111270466e-07,1.1987924608547473e-07
1818,2.4319200520039885e-07,2.1577331210664852e-07
1819,2.4946029952843674e-07,1.3042323132594902e-07
1820,1.7562392429226747e-07,1.1510486785937246e-07
1821,3.2838755714692525e-07,1.1044866710108181e-07
1822,4.2408356648593326e-07,2.4261990461127425e-07
1823,5.890081524739799e-07,1.4626377264903567e-07
1824,5.549513275582285e-07,1.8610658969464566e-07
1825,4.81657707496197e-07,4.3146670236637874e-07
1826,2.748091105786443e-07,2.0698763592008618e-07
1827,1.6591091878126463e-07,9.217273344575005e-08
1828,2.7058288765147154e-07,1.733564971573287e-07
1829,3.214940988982562e-07,1.9203913836918218e-07
1830,3.600708282647247e-07,2.1708618191951246e-07
1831,2.0268568334813608e-07,1.6994414409055025e-07
1832,2.8007036689814413e-07,1.5965363786563103e-07
1833,3.3245012787119776e-07,1.7954624809135566e-07
1834,2.4176435431400023e-07,1.1294782353843402e-07
1835,3.327758690829796e-07,1.6790055212823063e-07
1836,2.6815791898116004e-07,1.4046368335129955e-07
1837,3.7503031080632354e-07,1.3011255362016527e-07
1838,3.964037773585005e-07,2.09563779662858e-07
1839,2.6917180662167084e-07,1.2514740888036613e-07
1840,2.592463204109663e-07,1.1592833715212691e-07
1841,1.3804179843646125e-07,1.0658110483063865e-07
1842,1.7038993860296614e-07,9.324488559059319e-08
1843,1.7543526098506845e-07,1.169568406567123e-07
1844,1.5642399375792593e-07,7.79375710635577e-08
1845,1.6573277150655485e-07,8.760957825870719e-08
1846,1.574860846176307e-07,9.542836920672926e-08
1847,1.3483058580732177e-07,1.3159466050183255e-07
1848,1.432049430150073e-07,8.608387247477367e-08
1849,1.0893239732467919e-07,1.0725651122811541e-07
1850,1.9077079116414097e-07,9.300924830313306e-08
1851,1.2769888257935236e-07,7.352360142931502e-08
1852,1.894568697480281e-07,1.1784086950683559e-07
1853,2.1498954083654098e-07,1.1645266795312637e-07
1854,2.031504777733062e-07,9.819805768529477e-08
1855,2.281983029206458e-07,1.0666943239812099e-07
1856,2.0242809739556833e-07,8.852993715890989e-08
1857,2.5627923605497926e-07,1.322888891763796e-07
1858,2.53981795594882e-07,1.6393815371884557e-07
1859,2.612284788483521e-07,1.3901633622026566e-07
1860,1.7484842373960419e-07,6.728460277827253e-08
1861,2.329686026314448e-07,8.960331143725853e-08
1862,2.1641153580276296e-07,1.3147339927854773e-07
1863,1.4734131070781586e-07,6.642845562510047e-08
1864,2.047348885980682e-07,1.2226556123096088e-07
1865,1.920392520560199e-07,9.884373497470733e-08
1866,1.7710830491068918e-07,8.514822269489741e-08
1867,1.7906874916207016e-07,5.677789260971622e-08
1868,1.60051925490734e-07,1.0521931415041763e-07
1869,1.8215526154108375e-07,1.015771999846038e-07
1870,1.8004912760716252e-07,9.518520727169744e-08
1871,1.4763436695375276e-07,1.0514965254060371e-07
1872,1.5844028666833765e-07,8.103434367967566e-08
1873,1.6581232387125056e-07,6.644464889404844e-08
1874,2.2942498389966204e-07,6.811054475974743e-08
1875,1.8652178823685972e-07,6.579756473001908e-08
1876,2.1826113538736536e-07,5.9250943706956605e-08
1877,1.7131939955561393e-07,8.225805459005642e-08
1878,1.4916548707333277e-07,6.824170384334138e-08
1879,1.4967847050684213e-07,8.919614913338592e-08
1880,1.752072051885989e-07,1.1744658934276231e-07
1881,1.624594290206005e-07,9.761510710859511e-08
1882,1.257867836557125e-07,6.855047018916594e-08
1883,1.3649771801738098e-07,8.783881355611811e-08
1884,1.4523733682381135e-07,6.733731083841121e-08
1885,1.1408775435484131e-07,5.5432465728699754e-08
1886,1.3358669548324542e-07,4.711028722681476e-08
1887,1.2666113491377473e-07,9.009915657998135e-08
1888,1.2237386215474544e-07,8.559830178000993e-08
1889,1.014952175637518e-07,5.951880055476977e-08
1890,1.3633123785439238e-07,8.25852666253013e-08
1891,1.4788190583203686e-07,8.413970675746896e-08
1892,1.1972858260378416e-07,6.456567547274972e-08
1893,1.1762575269358422e-07,8.560198949680853e-08
1894,1.6257970969490998e-07,7.939939195011902e-08
1895,1.3842813473274873e-07,8.004757034996146e-08
1896,1.2737582721911167e-07,8.668632744956994e-08
1897,1.241089933046169e-07,5.710179351581246e-08
1898,1.0581123888186994e-07,7.469028417972368e-08
1899,1.1663190235822185e-07,7.241127519819202e-08
1900,1.1316495829305495e-07,5.606337438734954e-08
1901,8.438995990900366e-08,5.47696430430733e-08
1902,1.0262493077561885e-07,4.517461249520238e-08
1903,9.396383404691733e-08,4.590187074882124e-08
1904,9.244355680948502e-08,4.5146851590516235e-08
1905,1.0115087434314773e-07,2.7352022868853965e-08
1906,7.253299827425508e-08,5.0927425832014706e-08
1907,1.0902827796144265e-07,5.708556116701402e-08
1908,1.1639992436585089e-07,7.219741604558294e-08
1909,1.2817291406008735e-07,7.206288188399412e-08
1910,9.459146355084158e-08,7.1077202790093e-08
1911,1.0800359717677566e-07,7.129301593522541e-08
1912,1.0470936473438996e-07,5.678269232589628e-08
1913,8.909022852776616e-08,6.893886705938712e-08
1914,1.1920203490944914e-07,6.696743781731129e-08
1915,5.419150639340842e-08,3.534228554258334e-08
1916,8.570220444426013e-08,4.504859418830165e-08
1917,9.321460936462245e-08,6.579854527899442e-08
1918,8.385054428572403e-08,5.972916028440522e-08
1919,1.243059557509696e-07,9.668240608107226e-08
1920,9.692456615084666e-08,6.587841738792122e-08
1921,1.0829028695980014e-07,6.058198209757393e-08
1922,1.0845565157069359e-07,7.304156213194801e-08
1923,1.3057616854439402e-07,7.855801698042342e-08
1924,1.3149457345207338e-07,6.316896161706609e-08
1925,1.418764981053755e-07,6.488924952918751e-08
1926,1.370975013514908e-07,7.690835701623655e-08
1927,1.6277869008263224e-07,7.358488574027433e-08
1928,1.199734356305271e-07,7.769708076921233e-08
1929,1.1920234754825287e-07,9.023729319324048e-08
1930,1.0293531715888093e-07,9.768351105776674e-08
1931,1.585344620025353e-07,7.071321306284517e-08
1932,1.0849941389778905e-07,8.438843224212178e-08
1933,1.1355955820135932e-07,5.276504566609219e-08
1934,1.0543790551764687e-07,5.870974462141021e-08
1935,8.138432860960165e-08,8.976213194955562e-08
1936,1.0184760412812466e-07,4.607391446143083e-08
1937,1.3598408088455471e-07,2.5182236740306507e-08
1938,1.0890779833516717e-07,6.741911562357927e-08
1939,7.188203454688846e-08,5.047036566452334e-08
1940,8.368083825871508e-08,3.0429394115571995e-08
1941,1.1806010036252701e-07,5.9030050181263505e-08
1942,1.3047110769548453e-07,7.888950648293758e-08
1943,1.4225852851268428e-07,7.548411673496958e-08
1944,7.390327994016843e-08,1.0282195717081777e-07
1945,1.285317381416462e-07,6.753362669087437e-08
1946,1.4617160104535287e-07,6.960551957035932e-08
1947,1.2278496797080152e-07,8.583027266695353e-08
1948,1.239395146512834e-07,5.544662684542345e-08
1949,1.4234662160106382e-07,7.755436826073492e-08
1950,1.3932323383869516e-07,5.7430952438153327e-08
1951,1.247384062708079e-07,6.290227361205325e-08
1952,1.2653764258629963e-07,5.2724018928529404e-08
1953,1.3682760879873967e-07,4.201792691560513e-08
1954,1.3974727153254207e-07,7.622578124255597e-08
1955,9.667176215089057e-08,7.039206195713632e-08
1956,9.418833002428073e-08,4.883839466174322e-08
1957,1.0160293584249303e-07,6.626278548083064e-08
1958,1.1581141023953023e-07,7.362296372548371e-08
1959,1.0463509880764832e-07,6.743150748889093e-08
1960,9.273916390384329e-08,7.405292024031951e-08
1961,1.0144312767579322e-07,8.407272389376885e-08
1962,1.0210549561406879e-07,6.659054463398206e-08
