year,vos_DET essais_NOUN,vos_DET décès_NOUN
1800,3.144164573143371e-08,0.0
1801,7.143547753329926e-09,0.0
1802,6.042168365638645e-08,0.0
1803,1.950339267864365e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,1.0234359981708963e-07,0.0
1806,1.152667650217154e-08,0.0
1807,3.985737118128441e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.25903047379461e-08,0.0
1810,3.510190182964834e-08,0.0
1811,4.262030550705731e-08,0.0
1812,3.467370657261881e-08,5.3344164641089264e-09
1813,3.163315831500313e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,2.6972235112054932e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,2.0239354192597148e-08,0.0
1818,3.2187177367859476e-08,0.0
1819,1.6561680249438382e-08,0.0
1820,2.8479555602700657e-08,0.0
1821,3.254291058851777e-08,0.0
1822,1.804610860745015e-08,0.0
1823,2.3718448205478637e-08,0.0
1824,3.536867243525421e-08,0.0
1825,1.7610886082763955e-08,0.0
1826,1.5854371593349015e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,1.926183179623564e-08,0.0
1829,1.9718305044325035e-08,0.0
1830,4.487839455613596e-08,0.0
1831,1.4032085271509231e-08,0.0
1832,4.058990932254147e-08,0.0
1833,4.170106393530659e-08,0.0
1834,3.080395227783583e-08,0.0
1835,5.8235777089521434e-08,0.0
1836,2.4194700465329788e-08,0.0
1837,2.852735292435682e-08,0.0
1838,3.282324345654786e-08,0.0
1839,2.2372721120156314e-08,0.0
1840,2.1656942184034023e-08,0.0
1841,1.9903699577383804e-08,0.0
1842,2.2137275568212544e-08,0.0
1843,2.008349753168659e-08,0.0
1844,3.293136713322653e-08,0.0
1845,2.6227071736606433e-08,5.580227946389016e-10
1846,2.8101607263408823e-08,0.0
1847,1.240441438454809e-08,0.0
1848,1.930853166243196e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,2.7155984128057753e-08,0.0
1851,3.611685728266423e-08,0.0
1852,1.3021090872200602e-08,0.0
1853,1.4929829594834132e-08,0.0
1854,2.0263091649042053e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,3.520488700559099e-08,0.0
1857,2.1966791163841037e-08,0.0
1858,1.7617232839217678e-08,0.0
1859,1.4258085156981792e-08,0.0
1860,2.6089948867991097e-08,1.373155145145688e-09
1861,4.385846380516867e-08,4.715963730639317e-10
1862,1.7168348520613108e-08,4.517986262886353e-10
1863,1.5483325122023217e-08,0.0
1864,2.013785826981973e-08,0.0
1865,2.400490711762515e-08,0.0
1866,1.897588974841824e-08,0.0
1867,2.9602150064533816e-08,9.7056229719783e-10
1868,1.0373735537250184e-08,0.0
1869,1.9534076356464425e-08,0.0
1870,1.0894693147633916e-08,1.1468097582678638e-09
1871,3.3987767267262825e-08,0.0
1872,2.4189358072135292e-08,6.047339295989218e-10
1873,1.0774807879254666e-08,0.0
1874,1.1949218503559678e-08,0.0
1875,2.231395634932909e-08,0.0
1876,1.5115036333668286e-08,0.0
1877,1.2988114028722464e-08,2.4739263970730008e-09
1878,1.2078177569208037e-08,0.0
1879,2.8102896787451925e-08,0.0
1880,1.4119262203848848e-08,0.0
1881,2.300927476328596e-08,0.0
1882,1.8635078369300118e-08,0.0
1883,1.8326082817932132e-08,0.0
1884,1.5844072720483382e-08,0.0
