year,moins_ADV étendu_VERB,moins_ADV etendu_VERB,moins_ADV détendu_VERB
1800,7.514553317378159e-07,0.0,0.0
1801,8.905622621568909e-07,0.0,0.0
1802,9.689847502158955e-07,0.0,0.0
1803,1.0278287163600908e-06,0.0,0.0
1804,9.739093229654827e-07,0.0,0.0
1805,1.1428368225097074e-06,0.0,0.0
1806,6.916005759194377e-07,0.0,0.0
1807,1.0220568356089643e-06,0.0,0.0
1808,8.04456249170471e-07,2.2660739951163578e-09,0.0
1809,8.04214892013988e-07,0.0,0.0
1810,6.996979209361598e-07,0.0,0.0
1811,5.816418138238078e-07,0.0,0.0
1812,1.1122258456452983e-06,0.0,0.0
1813,9.029828902384907e-07,0.0,0.0
1814,8.684829140293004e-07,3.1466771410748606e-09,0.0
1815,8.631115520074673e-07,0.0,0.0
1816,1.105497062781069e-06,0.0,0.0
1817,9.387946420247317e-07,0.0,0.0
1818,8.440193823844311e-07,0.0,0.0
1819,9.92665718513308e-07,0.0,0.0
1820,8.46080126848392e-07,1.1866481131050932e-09,0.0
1821,7.879328904891736e-07,0.0,0.0
1822,7.950313261062547e-07,0.0,0.0
1823,8.014858963178995e-07,9.882686891060644e-10,0.0
1824,8.741114925214788e-07,8.421112696055388e-10,0.0
1825,7.317323138522625e-07,0.0,0.0
1826,8.261889092864294e-07,0.0,1.7615968683770689e-09
1827,6.553481171067688e-07,9.217273055917019e-10,0.0
1828,1.1447032193245832e-06,0.0,0.0
1829,1.0510714218980866e-06,8.57317605795771e-10,0.0
1830,8.860873776939115e-07,0.0,0.0
1831,9.074082072402234e-07,0.0,0.0
1832,8.808009965832753e-07,4.058990921151917e-09,0.0
1833,9.417490218766034e-07,0.0,0.0
1834,8.811797442831448e-07,0.0,9.334530925997342e-10
1835,9.393355071551923e-07,0.0,1.285724948729694e-08
1836,6.81484038977942e-07,6.720750067579218e-10,3.36037508930076e-09
1837,8.676490210746124e-07,6.957890930081589e-10,0.0
1838,8.527730983587389e-07,0.0,0.0
1839,9.368576456836308e-07,0.0,0.0
1840,8.720103892301267e-07,0.0,0.0
1841,8.526488386451092e-07,0.0,6.420548537278137e-10
