year,les_DET hivers_NOUN,les_DET divers_ADJ
1800,1.7858854732821783e-06,2.6420414997119224e-05
1801,1.381085915852509e-06,2.217833497297761e-05
1802,1.8730722217696893e-06,2.2347071649164718e-05
1803,2.2526417637891427e-06,2.1482986312548746e-05
1804,2.2370250007952563e-06,2.192531701439293e-05
1805,1.8080702375300461e-06,2.4363461193388503e-05
1806,1.3832012086822942e-06,2.381699471243337e-05
1807,1.4832635741868216e-06,2.4381324124078674e-05
1808,1.63383940332551e-06,2.2080625285525457e-05
1809,3.336588008551189e-06,2.0362901523185428e-05
1810,1.3713142976712334e-06,2.1451941961458942e-05
1811,2.9483223045190243e-06,2.0492845123953884e-05
1812,1.170904415204177e-06,2.619465169573232e-05
1813,1.6017881421248603e-06,2.4892419560273993e-05
1814,8.905096464673079e-07,2.353399759158492e-05
1815,1.07888939737677e-06,2.456361426084186e-05
1816,1.761378925380086e-06,2.6983861744156457e-05
1817,1.4914847810132414e-06,2.240496473859821e-05
1818,1.4055067936169507e-06,2.1177971916586102e-05
1819,9.35734931317711e-07,2.4105526108542108e-05
1820,1.1190091555590698e-06,2.3182358177109563e-05
1821,1.1301266056307213e-06,2.157397818791651e-05
1822,1.0647203794178495e-06,2.1318469748621283e-05
1823,1.0811659478804359e-06,2.2555255782208405e-05
1824,8.926379493345848e-07,2.450627994221577e-05
1825,1.0786667274942374e-06,2.2819305172561144e-05
1826,8.816792345101021e-07,2.2591599076804414e-05
1827,8.876233721366589e-07,2.3163928176472837e-05
1828,1.086000430916556e-06,2.523483533423132e-05
1829,1.064788442306508e-06,2.5540348246977373e-05
1830,1.0259409357615823e-06,2.6677595656110498e-05
1831,1.1100938550612227e-06,2.5388720018781896e-05
1832,7.22500381300506e-07,2.603166069548024e-05
1833,1.151412618582981e-06,2.5977445716307557e-05
1834,1.078138325283362e-06,2.729696905134915e-05
1835,1.1450514989519434e-06,2.4254823188130104e-05
1836,9.214148484204543e-07,2.2828372607364145e-05
1837,1.0812562862838604e-06,2.5040057607839117e-05
1838,1.0048961520681132e-06,2.4682446110091405e-05
1839,9.662218829475933e-07,2.6443855972502206e-05
1840,1.0127805403215007e-06,2.5718892743498145e-05
1841,8.622796734414351e-07,2.670113440217392e-05
1842,7.54009008119283e-07,2.5967694682549336e-05
1843,7.590380555200227e-07,2.826161551183759e-05
1844,9.539119716350797e-07,2.6088777872246283e-05
1845,8.057849321119193e-07,2.7253832513451925e-05
