year,faux_ADJ yeux_NOUN,faux_ADJ dieux_NOUN
1800,0.0,3.9302055654388823e-07
1801,2.1430643926123594e-08,4.5956825545090396e-07
1802,0.0,4.386166665426572e-07
1803,2.7304748684287006e-08,3.530114014438368e-07
1804,2.4718509461507665e-09,6.154908618327681e-07
1805,0.0,6.85133528577353e-07
1806,2.881669125542885e-09,4.495403942428311e-07
1807,2.2775640928784924e-08,7.259735497200381e-07
1808,0.0,8.089883891670979e-07
1809,8.132509776714869e-08,9.759011589949296e-07
1810,0.0,1.2613282933671144e-06
1811,0.0,7.621513304911787e-07
1812,0.0,5.254400292642458e-07
1813,0.0,5.435151777533065e-07
1814,0.0,7.614958406065853e-07
1815,2.697223555614414e-09,7.525253664653064e-07
1816,2.3176038865813098e-08,6.535642853577883e-07
1817,0.0,7.410717302036574e-07
1818,0.0,8.130243180914931e-07
1819,7.24573512300708e-09,1.057877263122009e-06
1820,1.1866481131050932e-09,7.642013564179706e-07
1821,2.9584463767662328e-09,9.506474789588992e-07
1822,6.015369535816717e-09,1.3424299396547212e-06
1823,1.2847492847356534e-08,9.082189507125804e-07
1824,8.421112696055388e-10,7.696896773268236e-07
1825,8.805443041381977e-10,1.0205508189642387e-06
1826,0.0,8.878448340965406e-07
1827,3.6869092223668076e-09,7.622684918828782e-07
1828,9.172301251858528e-10,8.245898968084475e-07
1829,1.714635211591542e-09,7.184321582087705e-07
1830,1.0436835840010872e-09,7.180543235563164e-07
1831,0.0,8.403660096689691e-07
1832,0.0,7.644432429287917e-07
1833,0.0,8.328628702258811e-07
1834,0.0,7.46762456316219e-07
1835,6.806779140333674e-09,1.0837904511618035e-06
1836,2.016224964762614e-09,1.1929330909765667e-06
1837,5.5663127440652715e-09,8.808689990758012e-07
1838,1.2624323808552163e-09,9.910094380671808e-07
1839,1.3982950353153e-09,7.431938033874985e-07
1840,0.0,8.369771027361139e-07
1841,5.778493683550323e-09,8.23114341130804e-07
1842,0.0,8.546329830494415e-07
1843,5.906911071384968e-10,1.4513280657268979e-06
1844,1.097712254427563e-09,9.901364919073785e-07
1845,1.674068439427856e-09,1.1210678110273875e-06
1846,3.5127007969038004e-09,1.2001728286747948e-06
1847,5.393223645455691e-10,8.413428602693784e-07
1848,0.0,8.624477665364338e-07
1849,8.379414939696517e-10,9.00787124891167e-07
1850,2.0366988096043315e-09,9.389181343522068e-07
1851,6.449438760824933e-10,1.2776337730002751e-06
1852,2.6042181744401205e-09,1.2526289552283743e-06
1853,4.180352064508952e-09,9.477456046624866e-07
1854,0.0,1.0251045878817422e-06
1855,0.0,1.5092929430693403e-06
1856,0.0,1.1286271970334383e-06
1857,4.881509085841174e-10,1.222329871097827e-06
1858,2.936205500958522e-09,1.0237570045035227e-06
1859,4.582956236731661e-09,1.1212965382867424e-06
1860,1.8308735638683515e-09,8.948394594199272e-07
1861,0.0,1.0346824694806855e-06
1862,9.035972525772706e-10,9.804029961202332e-07
1863,4.994620828036034e-10,1.0533655476763215e-06
1864,4.794727948009836e-10,1.0284690930006946e-06
1865,4.23615986733239e-09,9.244242065165054e-07
1866,2.432806400776144e-09,7.561162647107267e-07
1867,0.0,7.895524447576463e-07
1868,0.0,7.14799796242005e-07
1869,0.0,8.17989443291367e-07
1870,0.0,7.465731783895535e-07
1871,2.1242354542039266e-09,6.659478026804777e-07
1872,1.2094678591978436e-09,8.139718801203344e-07
1873,4.788803575905831e-09,7.614197556904401e-07
1874,0.0,5.68782797749634e-07
1875,1.2015206607429718e-08,5.641425726565785e-07
1876,0.0,8.07142965797425e-07
1877,0.0,7.285713312654707e-07
1878,0.0,6.177987899036452e-07
1879,0.0,6.420900984238642e-07
1880,0.0,4.3577176711551147e-07
1881,0.0,5.069012907199522e-07
1882,1.9966155395678697e-09,6.249406894198728e-07
1883,5.687405213450347e-09,4.031738214393954e-07
1884,0.0,4.0996537897797225e-07
1885,6.445635691854079e-10,4.3056845910882657e-07
1886,1.936039106809062e-09,4.4851575253801457e-07
1887,0.0,3.7671894936863737e-07
1888,0.0,5.040788586541112e-07
1889,8.771191772893872e-09,4.6236709394520403e-07
1890,1.3108772956016423e-09,4.679831979714777e-07
1891,0.0,4.2962243185229454e-07
1892,0.0,3.974236957304811e-07
1893,3.079208221734575e-09,3.3255449327640463e-07
1894,0.0,3.768320597785646e-07
1895,0.0,2.491706503349178e-07
1896,0.0,3.2079837897214247e-07
1897,4.078699600285063e-09,2.3947792726630723e-07
1898,5.6583548957434e-10,2.331242265896094e-07
1899,7.185851913504848e-09,4.035132121771312e-07
1900,1.038210628578895e-09,3.1146319123820376e-07
1901,5.588738916095792e-10,3.5264942077617434e-07
1902,1.9641135384773634e-09,2.4404110199327533e-07
1903,5.400220270956879e-10,2.4354993932718116e-07
1904,1.0749250378694342e-09,2.6550647191925236e-07
1905,0.0,2.8229350590436297e-07
1906,0.0,2.8807432350674844e-07
1907,5.142843373384665e-10,2.3605650767422048e-07
1908,1.964555629285769e-09,2.868251218757223e-07
1909,0.0,2.3709238927693832e-07
1910,1.068830135508847e-09,2.1109395387242103e-07
1911,5.320374141248863e-10,3.075176273625857e-07
1912,1.0418842455450772e-09,2.6411766285150406e-07
1913,0.0,2.02574211183304e-07
1914,0.0,3.0537150319531747e-07
1915,0.0,1.7317720191201147e-07
1916,2.197492410260793e-09,2.285392119993901e-07
1917,0.0,2.4893782413215604e-07
1918,0.0,1.5851198842398162e-07
1919,0.0,2.937303555938797e-07
1920,0.0,2.6199921743241816e-07
1921,7.572747429129834e-10,2.2263877141881494e-07
1922,0.0,2.412584914068816e-07
1923,3.1847844361720945e-09,2.2293490609115452e-07
1924,0.0,3.184231278652305e-07
1925,1.0998177923937646e-09,1.913682892151769e-07
1926,1.1146138456652466e-09,2.4075658622280116e-07
1927,1.1149224876660924e-09,2.397083314065185e-07
1928,4.570416489713125e-09,2.605137483513431e-07
1929,4.4561625500705304e-09,2.0164135605682532e-07
1930,2.100720708497761e-09,2.111224284284674e-07
1931,1.1405356659111021e-09,1.9389105698763842e-07
1932,2.1919073223131136e-09,2.465895745373814e-07
1933,2.2941324395731044e-09,2.4088390482290833e-07
1934,0.0,1.9050712118939828e-07
1935,3.590485242455088e-09,2.944197845522467e-07
1936,0.0,3.1281764112378596e-07
1937,1.2591118148108649e-09,2.1404901451305136e-07
1938,1.2965214457594243e-09,2.06146903103388e-07
1939,1.5294050470515685e-09,3.3188089787472563e-07
1940,0.0,2.1807732597523e-07
1941,0.0,5.371734648207394e-07
1942,0.0,3.0342118395587647e-07
1943,0.0,3.745173278169034e-07
1944,3.2131861615880553e-09,3.8558235004870767e-07
1945,0.0,3.202400846724629e-07
1946,1.3921104269343232e-09,3.299301809533972e-07
1947,1.1920870957027319e-09,2.7298793314756153e-07
1948,4.348755133776194e-09,3.7073137360010833e-07
1949,3.9268033269479474e-09,2.1695587726355825e-07
1950,1.0635361480382244e-09,2.2653320641552455e-07
1951,0.0,2.7399801183491945e-07
1952,0.0,1.9613335666690546e-07
1953,1.0773827385790469e-09,2.079348666583769e-07
1954,9.772536113672459e-10,2.746082747862033e-07
1955,5.631364707880948e-09,2.477800427058696e-07
1956,0.0,2.1715642084529918e-07
1957,1.7670075402875796e-09,2.871387341230047e-07
1958,6.617794756635931e-09,2.4982175084176106e-07
