year,aux_ADP âmes_NOUN,aux_ADP ames_NOUN,aux_ADP dames_NOUN
1800,3.961647352390685e-07,1.0973134383363004e-06,1.2450891127002706e-06
1801,2.3573707363944152e-07,1.5906299517531863e-06,1.4287095464471378e-06
1802,2.394488944901241e-07,1.0808767569869815e-06,1.5754394837586005e-06
1803,3.3740867766418603e-07,8.75702314884208e-07,1.170203539402337e-06
1804,2.84262853256223e-07,1.3743491287243614e-06,1.3199683512876703e-06
1805,3.5251684948889306e-07,1.2991951148233483e-06,1.4043815514952485e-06
1806,5.388721522336937e-07,8.039856602692907e-07,2.1381984547375055e-06
1807,1.4804166426074516e-07,1.0989246348458437e-06,1.4889575070675676e-06
1808,3.2404858529844205e-07,9.585492963815057e-07,1.6361053889468735e-06
1809,2.0557177826674433e-07,8.222871201724047e-07,1.906621795555452e-06
1810,4.4228396722800767e-07,1.5678849396572048e-06,2.241841492445218e-06
1811,3.108775299409672e-07,5.089365755495123e-07,1.8401943533419285e-06
1812,4.214188962237131e-07,5.734497818821183e-07,2.024411106305024e-06
1813,6.700478252241737e-07,6.757992849770744e-07,2.0331493570946435e-06
1814,4.405347908686963e-07,6.8282894227778e-07,2.589715271561488e-06
1815,5.502336080098758e-07,8.442309864520325e-07,1.92851480917966e-06
1816,6.674699033482057e-07,8.459254328130328e-07,1.5342537995621797e-06
1817,8.158016662207501e-07,1.133403864428395e-06,2.045731622324354e-06
1818,5.674480640927015e-07,8.082558289324027e-07,1.6069747119651367e-06
1819,7.421702594712087e-07,5.972555729982787e-07,1.3963566702912544e-06
1820,1.0667966705568688e-06,9.766113793219233e-07,2.4100823132755522e-06
1821,1.4654172151296052e-06,9.595227870029532e-07,2.0758432963674522e-06
1822,1.0336409985711725e-06,7.519211777662349e-07,2.104376775946548e-06
1823,8.24216103367803e-07,9.171133177332536e-07,2.4904371080936016e-06
1824,7.68005466333932e-07,6.223202282384932e-07,2.1296994177077977e-06
1825,1.060175293332577e-06,7.422988226313265e-07,3.5195355803097073e-06
1826,7.240163171218228e-07,6.465060695681757e-07,3.698472667679198e-06
1827,7.991375792215649e-07,6.479742958864776e-07,1.572466781674109e-06
1828,9.319058258405732e-07,6.759985904380983e-07,2.3077510000746315e-06
1829,6.121247896340165e-07,5.804040381085507e-07,2.5222283648318466e-06
1830,8.756505325280273e-07,7.211853323418893e-07,2.1061533894695117e-06
1831,6.033796660087631e-07,5.971431904505664e-07,1.844439640574791e-06
1832,5.398457894045805e-07,6.724394601143047e-07,2.317683685415517e-06
1833,7.992703796588785e-07,8.108539802931247e-07,1.881181306728763e-06
1834,8.970484159931402e-07,7.766330012426437e-07,1.8510374482083591e-06
1835,8.735366563428215e-07,8.939570008692499e-07,1.936906826927043e-06
1836,1.1216931445900968e-06,1.1552968834926958e-06,1.910037175978374e-06
1837,9.65059488322595e-07,5.427154676773682e-07,2.1687746025733645e-06
1838,1.1216711568451387e-06,4.5005713777968026e-07,2.7994437683531714e-06
1839,9.522389099458906e-07,3.642558432659371e-07,1.6485898175488956e-06
1840,1.4446453526772984e-06,3.006493027868373e-07,1.687330579258628e-06
1841,1.4099525031951998e-06,3.1717508885975576e-07,1.6134838451975497e-06
1842,1.6240710021264704e-06,3.4145069349733603e-07,1.6234001574133572e-06
1843,1.6356236738346297e-06,2.1855570359052834e-07,1.4560535297469812e-06
1844,1.977528654606431e-06,3.029685744504462e-07,1.3617119978270864e-06
1845,1.9435933111822123e-06,1.6461672436296482e-07,1.3654817880848213e-06
1846,1.7844520066034875e-06,2.207146940769178e-07,1.3892731498543753e-06
1847,1.6120344961123578e-06,1.466956831563948e-07,1.4038561468865396e-06
1848,1.4312448879394424e-06,2.6307875744535636e-07,1.7425950016303204e-06
1849,1.4772907981353e-06,1.2401533822092858e-07,1.1915527977635065e-06
1850,1.5315975581131624e-06,1.7651389150330488e-07,1.3387899961969651e-06
1851,1.6626653200901842e-06,1.3414832356062334e-07,1.3550270576700996e-06
1852,2.095744665808752e-06,2.5781759482867983e-07,1.5749009616428111e-06
1853,1.8680202931165013e-06,6.808002517288969e-08,1.953418876432522e-06
1854,2.514182043000801e-06,1.5431123384646028e-07,2.157239835653968e-06
1855,2.1546165704933173e-06,1.2471302568428655e-07,1.9492380154417788e-06
1856,2.7760088805450778e-06,1.4703217021683201e-07,2.206518098901711e-06
1857,2.026802468080291e-06,1.4595711750331475e-07,2.224503787395804e-06
1858,2.196281718269688e-06,1.7078930070191234e-07,2.002002871037689e-06
1859,2.1178349278727637e-06,9.01314711754253e-08,2.0750606211095146e-06
1860,2.067971582420114e-06,9.932489186681437e-08,1.972766282776206e-06
1861,2.3556238595290324e-06,1.188422871223338e-07,1.7604692672534838e-06
1862,2.2964924433210854e-06,1.5993671320657654e-07,2.0647197613854473e-06
1863,2.446864829863671e-06,1.3835099554881936e-07,2.2740507610308214e-06
1864,2.5479183278775963e-06,2.4453112668076926e-07,1.7165125556495298e-06
1865,2.3896648357890626e-06,1.1202289323941628e-07,2.0135880030025533e-06
1866,2.2571579236796424e-06,7.055138806499883e-08,2.0888075749070367e-06
1867,2.0153726403293604e-06,8.540948215340904e-08,1.6829550073538257e-06
1868,1.9033334925921963e-06,8.002595763834108e-08,2.105868276203182e-06
1869,2.2161409027887657e-06,4.297496825067526e-08,1.8288779077835216e-06
1870,2.085473525426096e-06,4.9312819605518143e-08,2.0275596464003343e-06
1871,1.497585939702617e-06,5.629224064662708e-08,1.4327968660410306e-06
1872,1.988969991373324e-06,7.559173764715155e-08,1.6581804080928464e-06
1873,1.7922097885758603e-06,7.243065630602175e-08,1.8412949724933014e-06
1874,1.538461853911599e-06,5.496640564928157e-08,1.863480580510668e-06
1875,1.616903617218668e-06,1.0985331799773235e-07,1.8388988536344186e-06
1876,1.5858696666981587e-06,7.07383716047616e-08,1.9492352212324704e-06
1877,1.6402131848280987e-06,3.710889440178278e-08,1.9148190020246147e-06
1878,1.5894881144618012e-06,3.7442350941940816e-08,1.8805721815340348e-06
1879,1.6904503059578246e-06,3.971061446339519e-08,2.2622832034358e-06
1880,1.6006107994570584e-06,2.2462462112571302e-08,1.616013667771199e-06
1881,1.507456106608629e-06,3.277078564067892e-08,1.951604883032587e-06
1882,1.4934684653411523e-06,5.45741594137894e-08,1.9753182645132483e-06
1883,1.513481649340065e-06,2.3381554137280602e-08,1.8136502450971648e-06
1884,1.4074818075471285e-06,3.3668655419205606e-08,1.7540708618923873e-06
1885,1.4850745131411713e-06,4.576401235745209e-08,1.6365468811230244e-06
1886,1.4997850250608735e-06,5.29184023267959e-08,1.76760376846552e-06
1887,1.49185930276019e-06,5.288428783778443e-08,1.7628096169453045e-06
1888,1.6105160831614285e-06,2.0924028509838877e-08,1.8229267038094576e-06
1889,1.4522586759824208e-06,2.9446143023914573e-08,1.715394450485519e-06
1890,1.5474906458479154e-06,3.6704564720935196e-08,1.7002078456229697e-06
1891,1.3959541718122637e-06,2.1034926467322634e-08,1.6260635780085408e-06
1892,1.6605288877258317e-06,3.3223115369906964e-08,1.7263482643414818e-06
1893,1.6442971872976386e-06,5.4809906668840114e-08,1.576554625515314e-06
1894,1.5117392617725045e-06,3.906954448851252e-08,1.70960766610051e-06
1895,1.5317374213452695e-06,4.393588692863659e-08,1.647294790352305e-06
1896,1.6706283378908893e-06,2.889544237216768e-08,1.6051713442877258e-06
1897,1.5936062052190891e-06,5.477110776030969e-08,1.462505077931553e-06
1898,1.6641221503022052e-06,5.941272696041722e-08,1.5260583343668088e-06
1899,1.557118839201621e-06,2.65323762960179e-08,1.5178729686482484e-06
1900,1.685534963158375e-06,2.751258176836302e-08,1.6170130496817592e-06
1901,1.6581787853908736e-06,2.5708199125062947e-08,1.5033707843059574e-06
1902,1.2565416813714592e-06,2.897067519214147e-08,1.372424333290212e-06
1903,1.4764201665684595e-06,3.726151920346865e-08,1.365715693424363e-06
