year,devons_VERB écrire_VERB,devons_VERB décrire_VERB
1800,4.7162465932615305e-08,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,8.528632911009026e-09,1.250866148438945e-07
1806,0.0,0.0
1807,3.9857372513552036e-08,0.0
1808,1.1330369531492579e-08,1.3596443970698147e-08
1809,0.0,1.129515236897305e-08
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.5070768572277302e-08,0.0
1812,4.000812481308458e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,3.244645441213834e-08
1817,1.0898113522728181e-08,3.89218364205135e-08
1818,1.0729059418679299e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,2.3732962262101864e-09
1821,1.7750679148775816e-08,1.676452932031225e-08
1822,1.303330066093622e-08,6.015369535816717e-09
1823,2.9648061783404955e-09,5.929612356680991e-09
1824,5.052667617633233e-09,8.421112696055388e-10
1825,5.283265824829186e-09,8.805443485471187e-09
1826,7.927186018719112e-09,0.0
1827,9.217273166939322e-09,3.410390903013649e-08
1828,9.172301251858528e-10,2.109629271274116e-08
1829,2.571952872898464e-09,1.800366966620004e-08
1830,1.3567886369969528e-08,1.878630406793036e-08
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,1.6235963684607668e-08,1.3529969367098715e-09
1833,6.950177322551099e-09,2.20088942626262e-08
1834,4.667265685043276e-09,1.120143711119681e-08
1835,8.31939672707449e-09,1.5126175867408165e-08
1836,1.2097349788575684e-08,2.016225053580456e-08
1837,6.957891152126194e-09,3.896418832027848e-08
1838,1.2624323808552163e-08,2.1461350030449466e-08
1839,3.4957374772659477e-09,1.957613093850341e-08
1840,6.3696887764308485e-09,1.3376346252869098e-08
1841,1.4125206782011901e-08,2.0545755319290038e-08
1842,9.391571076378114e-09,2.5491406319133603e-08
1843,2.3627644285539873e-09,1.1813821920725331e-08
1844,3.841992946007622e-09,2.5796238034558883e-08
1845,9.48638767539478e-09,8.928364714222425e-09
1846,3.5127007969038004e-09,1.6978054517835517e-08
1847,7.550513103637968e-09,3.182001862001016e-08
1848,1.367687652020777e-08,2.815827571112095e-08
1849,4.1897072478036534e-09,2.5976186535103807e-08
1850,3.394498016007219e-09,3.326607966869233e-08
1851,1.0319102017319892e-08,1.6123596680017727e-08
1852,8.463708844885787e-09,1.7578472011337e-08
1853,7.763511611358354e-09,2.8665272822081533e-08
1854,5.7152309551611324e-09,1.0391328686409906e-08
1855,9.021793090369101e-09,1.326734277995456e-08
1856,1.1907535402144731e-08,3.986435714864456e-08
1857,5.369659827891837e-09,2.001418764052687e-08
1858,8.808616946964776e-09,3.76813069635773e-08
1859,7.638259802433822e-09,8.147477359443656e-09
1860,7.781213007262977e-09,2.70053845952134e-08
1861,5.187560159214399e-09,1.2733101684148096e-08
1862,8.584174260306554e-09,1.355395884417021e-08
1863,1.548332484446746e-08,2.3474717281146695e-08
1864,5.274200631788517e-09,2.0617330065419992e-08
1865,1.3179164426446732e-08,2.3063536858103362e-08
1866,1.4596839292835284e-09,2.3841502994059738e-08
1867,1.0190904120577216e-08,7.76449837758264e-09
1868,1.9265508299781686e-08,5.9278488784286765e-09
1869,7.813630631403612e-09,2.9789466893248573e-08
1870,1.548193218070537e-08,1.3188312664169644e-08
1871,2.1242354542039266e-09,1.1683295220166201e-08
1872,3.628403577593531e-09,1.1489944995446422e-08
1873,1.7958012854535355e-09,2.1549615425442425e-08
1874,4.182226565063729e-09,3.644511537004291e-08
1875,5.149374260327022e-09,2.460256709468922e-08
1876,8.464420275799966e-09,3.083467703390852e-08
1877,6.184816214727107e-09,1.793596560162314e-08
1878,1.509772218355465e-08,3.01954443671093e-08
1879,7.331190321480108e-09,1.2829582729523281e-08
1880,6.417846254436199e-09,3.4656370218044685e-08
1881,5.5780060570498335e-09,1.4642266066289267e-08
1882,5.989846840748214e-09,2.728707926280549e-08
1883,8.21514056781325e-09,1.7694148368718743e-08
1884,8.582206056928499e-09,2.2445769687351458e-08
1885,1.0313017106966527e-08,1.933690718658454e-08
1886,1.871504551331782e-08,1.097088819790315e-08
1887,4.570247291724172e-09,2.0239665943222462e-08
1888,4.4384300679212174e-09,1.775372027168487e-08
1889,1.2530273707511697e-08,7.51816386923565e-09
1890,4.5880703680722945e-09,8.520702365899524e-09
1891,6.3742202627281586e-09,1.3385862196457765e-08
1892,8.775916882086676e-09,1.5044429702015805e-08
1893,1.23168328869383e-08,2.4017824173938607e-08
1894,3.780923574225881e-09,1.071261657159539e-08
1895,4.814891596538473e-09,7.824199066419624e-09
1896,1.0614652268259306e-08,2.299841384001411e-08
1897,1.3401440845939305e-08,2.0976168357833558e-08
1898,1.640922953072277e-08,3.904265000187479e-08
1899,1.2713430308508578e-08,2.819064981451902e-08
1900,1.142031713641245e-08,1.453494924419374e-08
1901,1.5089595351014395e-08,1.7883964531506535e-08
1902,1.6203935970793282e-08,9.820567470342212e-09
1903,1.1880484152015924e-08,1.7820726228023887e-08
1904,1.3436562973367927e-08,2.8485512615361586e-08
1905,1.2901897328276846e-08,7.741138396966107e-09
1906,1.6461390472954918e-08,1.2346042410626978e-08
1907,1.902852098112362e-08,2.0571373937627868e-08
1908,1.3260750719723546e-08,1.3260750719723546e-08
1909,8.251475058784763e-09,6.60118004702781e-09
1910,1.4429207162436342e-08,1.0153886620400954e-08
1911,2.0217422402879492e-08,9.044636151145369e-09
1912,5.053138707467042e-08,3.646594803896619e-09
1913,2.1742257771961704e-08,9.015082902408267e-09
1914,1.2723813114234872e-08,1.6741859454327823e-08
1915,2.1205371680821372e-08,3.534228465440492e-09
1916,1.538244731591476e-08,1.648119329900055e-08
1917,7.676496771580332e-09,1.973956464951243e-08
1918,1.033773866510046e-08,2.1824114071478107e-08
1919,1.4732557396257562e-08,9.207848372660976e-10
1920,1.665890891899835e-08,8.329454459499175e-09
1921,2.3475516641724425e-08,6.815472630705699e-09
1922,3.6889677090812256e-08,2.2133805899215986e-09
1923,1.8047112249064412e-08,5.307974060286824e-09
1924,2.1915761649893284e-08,6.445812328337297e-09
1925,9.898360353588487e-09,3.299453377181294e-09
1926,3.343841470382358e-08,3.343841648018042e-09
1927,2.0068604555945058e-08,6.689535148041159e-09
1928,1.2568645679778001e-08,1.2568645679778001e-08
1929,1.2254447234738564e-08,6.684243825105796e-09
1930,1.7856125467119455e-08,6.302162347537887e-09
1931,9.124285327288817e-09,9.124285327288817e-09
1932,2.6302888755935783e-08,6.575722188983946e-09
1933,1.8353059516584835e-08,2.2941324395731044e-09
1934,3.354842448288764e-08,9.585264137967897e-09
1935,2.992070946561398e-08,7.180970484910176e-09
1936,7.274828739411987e-09,2.424942913137329e-09
1937,1.888667711114067e-08,2.5182236296217297e-09
1938,7.779128452511941e-09,1.0372171566075394e-08
1939,1.2235240376412548e-08,3.058810094103137e-09
1940,7.607348528892999e-09,0.0
1941,1.1806010391524069e-08,2.9515025090631752e-08
1942,2.4273694165799498e-08,9.102635090130207e-09
1943,3.4838823381733164e-08,8.709705845433291e-09
1944,1.2852744646352221e-08,1.2852744646352221e-08
1945,2.6142048525912287e-08,6.535512131478072e-09
1946,2.5057987684817817e-08,9.744772988540262e-09
1947,2.622591566137089e-08,9.536696765621855e-09
1948,3.370285384107774e-08,9.784699273041042e-09
1949,1.9634017078828947e-08,1.0798709482173763e-08
1950,4.3604980959344175e-08,1.1698897850465073e-08
1951,1.3859822622919182e-08,0.0
1952,2.2144087452602434e-08,4.2179215675730575e-09
1953,3.016671712430252e-08,1.0773827163745864e-08
1954,1.3681550115052232e-08,5.863521668203475e-09
1955,2.0648336374051723e-08,6.569925492527773e-09
1956,1.2209598665435806e-08,2.616342476002842e-09
1957,1.3252556385623393e-08,7.068030161150318e-09
1958,2.0680609225109947e-08,1.6544486891589827e-09
1959,9.300897829689347e-09,6.975672928177801e-09
1960,1.314958364417862e-08,2.7683333403416555e-09
1961,1.528595028332802e-08,8.33779090214648e-09
1962,2.5367825173816527e-08,6.976152100435229e-09
1963,2.5217607557692645e-08,6.466053470433053e-09
1964,1.764350798794112e-08,9.125952438182594e-09
1965,1.2585699593614663e-08,4.924839203113152e-09
1966,2.326411419062424e-08,1.0524241922382771e-08
1967,1.3311906243984595e-08,5.423369309198733e-09
1968,1.122853987567396e-08,6.287982134978165e-09
1969,9.991866889436096e-09,1.1354394757745467e-08
1970,1.1496812390987543e-08,1.0577067222072856e-08
1971,7.707596338946132e-09,4.1107179882260425e-09
1972,9.234264020108185e-09,7.69522046084603e-09
1973,1.4885650045926013e-08,4.410563025913916e-09
1974,1.1251143128276908e-08,3.937900228123681e-09
1975,9.709516746170266e-09,5.711480177694739e-09
1976,1.085570122683066e-08,3.9994687561772935e-09
1977,9.402850942308305e-09,5.876781727920388e-09
1978,1.128712323605896e-08,2.970295565063452e-09
1979,5.266775904289034e-09,4.096381456264453e-09
1980,1.0801786132219604e-08,5.116635559687666e-09
1981,9.488323904349727e-09,3.795329828193417e-09
1982,1.1794254461960918e-08,4.966001831974154e-09
1983,1.0104505676622466e-08,8.209910973278056e-09
1984,1.3917620833581168e-08,6.958810416790584e-09
1985,1.2031115659283387e-08,6.617113967877231e-09
1986,1.1988970705090196e-08,7.1933827783254856e-09
1987,1.099947066762752e-08,7.944062296871834e-09
1988,1.0793796967334401e-08,4.197587610832443e-09
1989,1.1525056464734007e-08,6.036934507847036e-09
1990,1.0352437129768077e-08,3.2691906959314565e-09
1991,9.37834432335194e-09,1.4067516929117119e-08
1992,9.91789939064347e-09,4.958949695321735e-09
1993,7.754890063438324e-09,7.200969598386564e-09
1994,6.329911705904578e-09,2.637463358823311e-09
1995,8.675921314704738e-09,3.795715741716776e-09
1996,1.1209993822092201e-08,8.540947504798169e-09
1997,8.151320507465698e-09,5.274384040632185e-09
1998,6.675381136744818e-09,6.675381136744818e-09
1999,8.226361813967742e-09,4.113180906983871e-09
2000,7.068850393920911e-09,7.95245647111642e-09
2001,1.095302959441824e-08,8.324302136486494e-09
2002,1.2267419968736704e-08,7.009954394732176e-09
2003,7.083769126836614e-09,3.7502307925763034e-09
2004,1.3654853248112886e-08,1.0131019578807354e-08
2005,8.106749049829887e-09,6.305249655724765e-09
2006,9.471146533712727e-09,5.7650457740976435e-09
2007,1.7176262190332636e-08,5.991719120856942e-09
2008,1.3198063086861112e-08,4.257439734089985e-09
2009,1.43045770784056e-08,7.629108011997232e-09
2010,1.9367551118421034e-08,7.085689368580006e-09
2011,1.5678285336662157e-08,4.971163480860241e-09
2012,1.736168897537027e-08,6.808505315092361e-09
2013,1.2272150407000026e-08,6.693900100884775e-09
2014,1.1043770342666903e-08,1.7323561474213989e-09
2015,1.4851055496478693e-08,3.768178213903184e-09
2016,1.4499380363020009e-08,4.142679976837371e-09
2017,1.4338984222206363e-08,6.5405894034142875e-09
2018,1.858655984676716e-08,3.0977600484760615e-09
2019,1.2754938438774843e-08,3.5713827450933877e-09
