year,des_DET années_NOUN,des_DET damnés_NOUN
1800,4.4175512385891125e-06,3.144164395507687e-08
1801,3.593204500162983e-06,4.0480102825313224e-08
1802,5.1246539101157396e-06,2.0140561218795483e-08
1803,4.240037585034884e-06,7.801356893821776e-09
1804,3.898109092403956e-06,3.460591457837836e-08
1805,3.894742398369289e-06,4.264316544322355e-08
1806,3.7980398062131826e-06,7.204172902675055e-08
1807,2.946598461228689e-06,2.2775640928784924e-08
1808,3.7072969440998804e-06,3.172503681980743e-08
1809,4.574537001644785e-06,2.4849335034105025e-08
1810,3.498489572706376e-06,2.3401266702194334e-08
1811,3.6227259805343692e-06,9.025476321866677e-08
1812,3.843446975793086e-06,1.8670457180292033e-08
1813,3.4652687403990967e-06,5.751483289628823e-09
1814,4.225987495942718e-06,5.664018942752591e-08
1815,3.910973997101053e-06,2.6972236000233352e-08
1816,3.912115538184935e-06,9.270415546325239e-08
1817,3.7738610529913785e-06,7.7843672841027e-08
1818,3.88391951844369e-06,3.9339884239097955e-08
1819,3.963417107399891e-06,6.83169290027763e-08
1820,4.0156171365879345e-06,4.153268307049984e-08
1821,3.97122149564666e-06,4.141825016290568e-08
1822,4.019269567834272e-06,3.909990198280866e-08
1823,3.3443011773215403e-06,3.458940478484607e-08
1824,2.909494414282676e-06,7.747424035642325e-08
1825,3.4948804383816423e-06,5.547429182684027e-08
1826,3.2933053777384202e-06,3.52319382557198e-08
1827,3.631605611786881e-06,2.488663675137559e-08
1828,3.46529537331719e-06,5.13648868438743e-08
1829,4.899569995941988e-06,5.3153691226270894e-08
1830,4.484708476582e-06,3.444155893816969e-08
1831,4.646179284861773e-06,1.091384405071949e-07
1832,4.774726413359076e-06,1.312406965325863e-07
1833,4.362394582457796e-06,4.6334513115198206e-08
1834,4.144531942529284e-06,4.013848342587778e-08
1835,4.8381073511905015e-06,5.672315950278062e-08
1836,4.33421191736727e-06,7.728862633227251e-08
1837,4.942885876602077e-06,5.357576071673975e-08
