year,vous_PRON irez_VERB,vous_PRON direz_VERB
1800,7.38878682682298e-07,1.3457023442242644e-06
1801,8.143644123492777e-07,1.4263283958371176e-06
1802,7.384872731108771e-07,1.3068986390862847e-06
1803,6.884697540954221e-07,1.2989258948437055e-06
1804,8.404293083685843e-07,1.0332337012641801e-06
1805,1.0632362688056674e-06,1.319095247254154e-06
1806,9.423057889534903e-07,1.8269782344759733e-06
1807,6.007075299407916e-07,7.601370271004271e-07
1808,5.597202701324022e-07,7.206115242297528e-07
1809,6.754501313821493e-07,1.6784596823526954e-06
1810,9.032889067839278e-07,1.6568097862545983e-06
1811,6.443187317017873e-07,7.947433289245964e-07
1812,6.774708936063689e-07,1.0295423749084875e-06
1813,6.125329718997818e-07,9.432432932499069e-07
1814,5.097616906368785e-07,1.076163613333847e-06
1815,7.282503702299437e-07,9.008726635784114e-07
1816,8.204317936133521e-07,1.1819779786037543e-06
1817,8.640647592983441e-07,1.1365175680566608e-06
1818,8.511720608339601e-07,1.5545215319434647e-06
1819,7.432054047740166e-07,1.492621379384218e-06
1820,9.74238133721883e-07,1.4061780007068592e-06
1821,1.5019046486486332e-06,2.2158764068080927e-06
1822,1.4216323620530602e-06,2.100366486956773e-06
1823,9.862921785952494e-07,1.29463194298296e-06
1824,1.0181125276176317e-06,1.3776940477328026e-06
1825,1.0408033546127626e-06,1.3789323816126853e-06
1826,8.050497939393608e-07,1.1476803649657086e-06
1827,7.668771218050097e-07,9.954655126875878e-07
1828,8.768720221041804e-07,1.1988198025392194e-06
1829,1.0022042573609724e-06,1.121371411727523e-06
1830,1.0864746116112656e-06,1.2492892267346178e-06
1831,9.853642239932014e-07,1.1225668004044564e-06
1832,1.067514588726226e-06,1.1351644388923887e-06
1833,9.869251300642645e-07,1.2799909541172383e-06
1834,9.325196117515588e-07,1.1948199585276598e-06
1835,1.185135886316857e-06,1.4581633251964377e-06
1836,1.0591902253054286e-06,1.5014155678727548e-06
1837,9.093963200257349e-07,1.2287635513530404e-06
1838,8.67291021222627e-07,1.2996741247661703e-06
1839,8.669429263363782e-07,1.1507968054047524e-06
1840,9.153242359616343e-07,1.0656488882432313e-06
1841,7.85233062572388e-07,1.1980743863659882e-06
1842,1.0766765399239375e-06,1.5153970593928534e-06
1843,9.20887430311268e-07,1.1908333021892759e-06
1844,9.517165437955555e-07,1.3523815027838282e-06
1845,1.0027669503642755e-06,1.1294381465631886e-06
1846,9.074476849946223e-07,1.2581323574067937e-06
1847,7.129841463893172e-07,8.408035796492186e-07
1848,8.672748776916706e-07,1.3548153106057725e-06
1849,7.491196925002441e-07,1.194904569956634e-06
1850,8.737437724448682e-07,1.2559642641463142e-06
1851,8.158539799296705e-07,1.05577314002403e-06
1852,8.03401306370688e-07,1.1764555551962985e-06
1853,8.462227185646043e-07,1.0432964643314335e-06
1854,9.471696529317342e-07,1.042769866899107e-06
1855,1.1197637093118828e-06,1.2248410712345503e-06
1856,9.500142255092214e-07,1.1275918438968802e-06
1857,8.503589015163016e-07,1.108102537727973e-06
