year,pourrais_VERB écrire_VERB,pourrais_VERB décrire_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,4.7623651688866175e-09,1.904946067554647e-08
1802,4.2518962573012686e-08,0.0
1803,0.0,1.5602713787643552e-08
1804,2.4718509461507665e-09,3.213406074564773e-08
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,1.1387820464392462e-08
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,2.106114038724627e-08,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,4.405347908686963e-08
1815,1.0788894222457657e-08,0.0
1816,1.622322720606917e-08,0.0
1817,6.227493631882908e-09,7.784366928831332e-09
1818,3.695565098382758e-08,4.768470951432846e-09
1819,8.280840013696888e-09,1.449147024601416e-08
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,1.8736827200882544e-08,2.1695274909916407e-08
1822,2.0051231786055723e-08,1.804610860745015e-08
1823,3.360113609574e-08,5.929612356680991e-09
1824,2.0210670470532932e-08,1.8526447931321854e-08
1825,8.805443485471187e-09,1.937197424695114e-08
1826,2.642395191543301e-09,7.927186018719112e-09
1827,7.373818444733615e-09,1.6591091167583727e-08
1828,1.4675682002973645e-08,1.1923991571904935e-08
1829,1.1145129263923081e-08,9.430493719264632e-09
1830,2.400472176589119e-08,1.2524203008013046e-08
1831,2.494592976631793e-08,6.236482441579483e-09
1832,6.088486514954639e-08,8.117981842303834e-09
1833,2.4325620628928846e-08,3.01174338801502e-08
1834,1.0267983796552471e-08,6.534171426153534e-09
1835,2.4201881387853064e-08,1.9664028627630614e-08
1836,1.8146025126952736e-08,2.016225053580456e-08
1837,1.948209416013924e-08,5.5663127440652715e-09
1838,1.5149188570262595e-08,1.009945904684173e-08
1839,2.3771015378315496e-08,3.4957374772659477e-09
1840,1.7835128929277744e-08,1.1465439264668476e-08
1841,1.1556987367100646e-08,2.1829865914924085e-08
1842,2.683306021822318e-08,1.9453969102301016e-08
1843,3.1306630177141415e-08,2.1855571574747046e-08
1844,1.0977122322231025e-08,1.3172547497219966e-08
1845,1.3392547515422848e-08,7.812318791877715e-09
1846,1.3465353276842507e-08,9.367202125076801e-09
1847,6.47186837454683e-09,1.0786447290911383e-09
1848,1.045878850192139e-08,1.528592186161859e-08
1849,1.9272654583346593e-08,1.6758828991214614e-08
1850,1.968808760466345e-08,1.6293590476834652e-08
1851,2.1283147688677673e-08,7.094382858952031e-09
1852,5.208436348880241e-09,9.765818376195057e-09
1853,4.777545470346922e-09,9.555090940693844e-09
1854,2.338049043260071e-08,8.832629738719788e-09
1855,3.449509122788186e-08,1.2205955357558196e-08
1856,1.9155599773057475e-08,1.0354378465748937e-09
1857,1.122747050885664e-08,4.881509085841174e-10
1858,1.1744822003834088e-08,2.936205500958522e-09
1859,1.018434669930457e-08,1.884104072757964e-08
1860,4.165237399433863e-08,2.3801355553132453e-08
1861,3.3483342321005694e-08,6.6023493339173456e-09
1862,1.400575744270327e-08,3.6143890103090826e-09
1863,1.4983863039219614e-08,1.3485475847119233e-08
1864,2.0617330065419992e-08,1.342523781033833e-08
1865,1.0825742080555756e-08,1.6003271596787272e-08
1866,2.968023871119385e-08,1.4596839292835284e-09
1867,2.717574432153924e-08,6.79393608038481e-09
1868,1.975949714960734e-08,4.44588676984381e-09
1869,3.271957993433716e-08,1.2208797528501236e-08
1870,1.4335121534259088e-08,5.734048791339319e-10
1871,1.911811864374613e-08,1.0621176826930423e-08
1872,3.688877114882416e-08,6.047339518033823e-09
1873,4.42964314117944e-08,1.7958012854535355e-09
1874,3.823749850084823e-08,5.377148060148329e-09
1875,2.9751941355016243e-08,9.7265964171811e-09
1876,1.813804395567331e-08,1.209202959984168e-08
1877,3.3398006138440905e-08,1.793596560162314e-08
1878,1.9325083755461492e-08,6.6429977074733415e-09
1879,9.163987790827832e-09,6.109325489944695e-09
1880,3.0805662021293756e-08,3.8507077526617195e-09
1881,4.811030152040985e-08,3.4862537301449947e-09
1882,3.3276926103553706e-08,8.652000893505374e-09
1883,2.7173157945981075e-08,5.687405213450347e-09
1884,3.762967182296961e-08,3.9610181801208455e-09
1885,2.900535989169839e-08,3.2228177904158883e-09
1886,3.1621972595985426e-08,4.5174246565693466e-09
1887,2.285123557044244e-08,3.9173548849191775e-09
1888,3.1703073943845084e-08,1.9021844099853524e-09
1889,2.8819629349641218e-08,6.265136742733546e-10
1890,3.080561583601593e-08,1.9663159989136147e-09
1891,1.2748440525456317e-08,5.736798147637501e-09
1892,2.3193495124473884e-08,5.014809900671935e-09
1893,2.0938616174248637e-08,1.847525021858587e-09
1894,2.7726773765834878e-08,1.8904617871129403e-09
1895,1.9861428057765806e-08,6.018614495673091e-10
1896,2.5946928161602045e-08,1.1204354777305525e-08
1897,2.0393496669157685e-08,4.661370844871726e-09
1898,2.4896761985360172e-08,2.26334195829736e-09
1899,2.3215829259015663e-08,1.6582735185011188e-09
1900,2.9589003247565415e-08,5.19105292084987e-09
1901,2.6267072072982955e-08,8.38310842965484e-09
1902,2.0623192042990013e-08,4.419255628107521e-09
1903,2.9161189019077938e-08,6.480264325148255e-09
1904,1.9886112312406112e-08,2.1498500757388683e-09
1905,3.612531429553201e-08,7.2250627702885595e-09
1906,2.5206503551089554e-08,6.173021205313489e-09
1907,2.108565766434367e-08,2.057137349353866e-09
1908,2.357466755142923e-08,7.367083831866239e-09
1909,2.8055016088046614e-08,1.4302557360679202e-08
1910,3.847788576649691e-08,9.619471441624228e-09
1911,3.298632123005518e-08,1.4365010514438836e-08
1912,2.81308754068732e-08,1.0418842677495377e-08
1913,3.7651226136858895e-08,1.060597942803554e-09
1914,3.147469485043075e-08,2.678697486047099e-09
1915,3.062998032987707e-08,5.890381071793627e-09
1916,1.4283700444650549e-08,0.0
1917,3.180263163926611e-08,2.4126133979507358e-08
1918,2.412139110674616e-08,3.44591288836682e-09
1919,4.051453217357448e-08,1.8415696745321952e-09
1920,2.1959472462640406e-08,3.028892692213958e-09
1921,2.7261890522822796e-08,3.0290989716519334e-09
1922,2.5084981203349344e-08,1.2542490601674672e-08
1923,3.6094224498128824e-08,2.1231896241147297e-09
1924,3.480738541838946e-08,5.156649773851996e-09
1925,4.5092530598367375e-08,5.499089184013428e-09
1926,3.566764306128789e-08,6.687683296036084e-09
1927,4.1252132376712325e-08,4.4596899506643695e-09
1928,3.6563331917705e-08,3.4278122562625413e-09
1929,5.124586976990031e-08,1.1140406375176326e-09
1930,2.4158287814657342e-08,5.2518016602221e-09
1931,3.649714130915527e-08,7.983749661377715e-09
1932,2.7398842306070037e-08,1.3151444377967891e-08
1933,1.4911860191091364e-08,6.882397318719313e-09
1934,3.9539216345474415e-08,1.4377896206951846e-08
1935,4.188899538348778e-08,5.98414207075848e-09
1936,2.9099314957647948e-08,8.487299751891442e-09
1937,4.1550688223424004e-08,2.5182236296217297e-09
1938,3.3709557811789637e-08,2.2040865133021725e-08
1939,5.6587985852729616e-08,7.647025235257843e-09
1940,2.2822046474857416e-08,7.607348528892999e-09
1941,8.264207451702532e-08,2.9515025978810172e-09
1942,4.247896612241675e-08,2.1239483061208375e-08
1943,5.516146828199453e-08,0.0
1944,5.462416652335378e-08,2.2492303131116387e-08
1945,2.3963544037997053e-08,8.714016175304096e-09
1946,3.201854070766785e-08,6.960552134671616e-09
1947,5.602809238780537e-08,2.5033829231801974e-08
1948,4.022598432129598e-08,1.0871888278529696e-08
1949,3.5341230386620737e-08,2.945102384188658e-09
1950,5.317680873417885e-08,8.508289184305795e-09
1951,4.477788806411809e-08,9.595261474260042e-09
1952,4.112473561690422e-08,3.1634410646574906e-09
1953,4.417269394707546e-08,1.4005975934594517e-08
1954,4.10446503451567e-08,3.127211556375187e-08
1955,4.598947711542678e-08,1.595553378308523e-08
1956,6.54085638984725e-08,8.72114114258693e-09
1957,3.799066305987253e-08,4.417518795207798e-09
1958,4.218844296133284e-08,4.1361216673863055e-09
1959,3.100299039715537e-08,8.525822714489095e-09
1960,3.944875004435744e-08,8.997083078554624e-09
1961,4.099414141478519e-08,1.111705483225478e-08
1962,5.390662849436012e-08,9.512934440181198e-09
1963,5.302163685882988e-08,1.0345685197421517e-08
1964,6.023128662491217e-08,1.0951143103454797e-08
1965,4.54179591713455e-08,6.5664522708175355e-09
1966,4.431259981174662e-08,1.38476865529924e-08
1967,4.3879985867079085e-08,9.367637332502454e-09
1968,5.5244413488253485e-08,4.491415683816058e-09
1969,5.359274268812442e-08,7.2668124850849836e-09
1970,3.678979965116014e-08,7.817832603507213e-09
1971,4.367637984614703e-08,4.624557625731995e-09
1972,4.771036543615992e-08,2.0520587451500205e-09
1973,3.859242525550144e-08,8.269805285010534e-09
1974,4.1629231617434925e-08,5.06301445213353e-09
1975,2.9699696924012642e-08,1.0851811893530794e-08
1976,3.7709277478370495e-08,1.0284348483935446e-08
1977,4.407586473575975e-08,2.938390863960194e-09
1978,4.81187889533885e-08,7.72276909088987e-09
1979,4.7986180362613595e-08,1.1703946256602649e-08
1980,4.8892296433677984e-08,8.527726080842513e-09
1981,5.060439534076977e-08,6.325549417596221e-09
1982,4.6556266397601576e-08,1.8622506203769262e-08
1983,5.3680185629900734e-08,8.841442245000053e-09
1984,4.6392067076794774e-08,6.378909400694965e-09
1985,5.654624501971739e-08,7.820225356169885e-09
1986,6.29420995323926e-08,4.196139880008332e-09
1987,4.6442206524943686e-08,6.110816741511371e-09
1988,5.037105310634615e-08,3.597932174415064e-09
1989,5.7625282323670035e-08,8.232182935330457e-09
1990,4.2499475938484466e-08,4.358920779878872e-09
1991,5.1580894222524876e-08,1.1722930182145319e-08
1992,4.1324582866764104e-08,7.713921945651236e-09
1993,5.760775678709251e-08,9.970573700002205e-09
1994,5.1694279079583794e-08,1.0549853435293244e-08
1995,5.2055526111871586e-08,1.1929391696696712e-08
1996,6.405710450962943e-08,9.074756945892659e-09
1997,5.22643510691978e-08,6.233362714880286e-09
1998,4.243635132183954e-08,7.629006759657386e-09
1999,5.0272213059088244e-08,1.0968483010742602e-08
2000,6.671227481547248e-08,1.2370488633450805e-08
2001,6.265133123406486e-08,1.0514908055370142e-08
2002,4.381221430094229e-08,1.0514931148009055e-08
2003,5.0419767916309866e-08,8.750538071922165e-09
2004,6.651234940591166e-08,1.2773894830786503e-08
2005,7.386149292187838e-08,1.261049931144953e-08
2006,8.235780057930242e-08,5.7650457740976435e-09
2007,7.269952817523517e-08,9.18730247434496e-09
2008,7.833688897562752e-08,1.4475294740634581e-08
2009,8.105926951884612e-08,1.0013204487790972e-08
2010,8.077685720309091e-08,1.5588517143783065e-08
2011,8.833374920413917e-08,1.3383901986685487e-08
2012,1.0757438673181241e-07,1.8042539906559796e-08
2013,1.160275999723126e-07,2.0081699858565116e-08
2014,1.3035979407050036e-07,2.533570864216017e-08
2015,1.1681352418690949e-07,2.5047301122071985e-08
2016,1.2096626278434996e-07,2.5891750965456595e-08
2017,1.2678681571287598e-07,2.0628013075452145e-08
2018,1.3139666066308564e-07,2.349134753387716e-08
2019,1.2168212037977355e-07,3.086695343768042e-08
