year,trois_DET âmes_NOUN,trois_DET ames_NOUN,trois_DET dames_NOUN
1800,0.0,6.288328968651058e-09,1.6035239314149408e-07
1801,2.3811825844433088e-09,4.7623650800687756e-08,1.0239085068697307e-07
1802,0.0,1.7902721083373763e-08,2.4840025503181096e-07
1803,3.900678446910888e-09,1.755305234496518e-08,9.361628094950447e-08
1804,1.2359254952798437e-08,3.460591280202152e-08,1.3595179626513243e-07
1805,8.528632911009026e-09,3.695740957709859e-08,2.3595885201288525e-07
1806,6.627838899930794e-08,2.881669125542885e-09,1.8154515846191543e-07
1807,0.0,1.4234775136401367e-08,9.110256060651523e-08
1808,2.2660739062985158e-08,6.571614363792833e-08,1.7901984605828147e-07
1809,0.0,9.036122072814123e-09,5.647576384326669e-08
1810,2.3401267590372754e-09,2.8081521108447305e-08,2.6209419345946117e-07
1811,2.0056614147279106e-08,1.0028307073639553e-08,4.512738271955641e-08
1812,5.3344164641089264e-09,4.800974906515876e-08,1.0402111838558881e-07
1813,5.751483289628823e-09,2.8757416448144113e-09,8.052076738707115e-08
1814,0.0,6.293354282149721e-09,1.5418717858040054e-07
1815,2.966945977789237e-08,5.394447111228828e-09,9.44028244465045e-08
1816,3.7081662185300956e-08,9.270415546325239e-09,2.9201810036738607e-07
1817,1.5568733857662664e-08,1.2454987263765815e-08,1.105380116328547e-07
1818,1.3113295338484932e-08,7.152706427149269e-09,7.748765007420388e-08
1819,3.2088255608186955e-08,2.070209959015301e-08,1.0972112995943917e-07
1820,3.797273961936298e-08,2.1359666035891678e-08,7.831877546493615e-08
1821,5.325203744632745e-08,2.7612166775270452e-08,7.49473095806863e-08
1822,6.015369535816717e-09,9.023054303725075e-09,2.1956098805731017e-07
1823,2.4706716672540097e-08,1.3835761869529506e-08,1.1068609040432165e-07
1824,3.3684450784221553e-08,2.947389443619386e-08,1.4400103509615292e-07
1825,1.1447076175841175e-08,1.4088708644166559e-08,1.6994505358525203e-07
1826,1.145037931138404e-08,8.80798456392995e-09,9.68878284268726e-08
1827,2.3043183361437514e-08,3.226045625082108e-08,9.493790997794349e-08
1828,1.1923991571904935e-08,1.3758451489209733e-08,1.192399159966051e-07
1829,1.971830521085849e-08,3.086343269842473e-08,1.4231471806569473e-07
1830,9.39315203396518e-09,1.461157062010443e-08,1.0645572556811089e-07
1831,6.080570358335535e-08,3.274153215215847e-08,9.354723751187066e-08
1832,1.0823975604701275e-08,3.247192659205922e-08,1.718306066322839e-07
1833,3.822597527403104e-08,3.243415847009601e-08,1.552206219113117e-07
1834,2.7070139907436896e-08,1.5868701908061666e-08,1.7268881524756807e-07
1835,1.739510224751939e-08,9.075705520444899e-09,1.497491481927682e-07
1836,4.906147416106066e-08,1.5457725766054864e-08,8.400937834274202e-08
1837,2.1569462660409044e-08,1.3915782304252389e-08,1.127178310689203e-07
1838,3.408567295082321e-08,1.641162095111781e-08,1.3255540665113585e-07
1839,1.5381245721535208e-08,6.292327547896548e-09,8.180025812265512e-08
1840,4.522479102320176e-08,1.0828470564661075e-08,1.076477391670494e-07
1841,6.934192242624704e-08,7.0626033910059505e-09,8.475124202433904e-08
1842,4.024958855097793e-08,1.0062397137744483e-08,1.3550695365793786e-07
1843,6.3794637128467e-08,1.0632439872981791e-08,7.856191519550748e-08
1844,6.75093048130293e-08,1.0428266250528395e-08,7.354671893722298e-08
1845,4.296775557577348e-08,3.90615950696116e-09,6.361460069825853e-08
1846,5.093416177714971e-08,4.6836012845830055e-09,1.2411542549273236e-07
1847,3.55952778363644e-08,1.0786447290911383e-09,8.359496916909848e-08
1848,4.103063133698015e-08,9.65426583121598e-09,1.673406053726012e-07
1849,7.709061833338637e-08,4.1897072478036534e-09,1.0977033415571213e-07
1850,1.0522943938440221e-07,2.7155984128057753e-09,8.757804970116467e-08
1851,5.095056465620473e-08,2.579775504329973e-09,8.513259475151358e-08
1852,4.9480144648228475e-08,3.2552727180501506e-09,1.0221556689948841e-07
1853,3.58315901394235e-08,1.1943863675867306e-09,1.0092564917130176e-07
1854,6.130883889454708e-08,4.156531618892956e-09,1.7301561960891831e-07
1855,4.617035287424187e-08,3.1841622671890946e-09,1.5018631671637195e-07
1856,6.005539504583268e-08,9.3189408967298e-09,2.1744194578232623e-07
1857,7.712784461100242e-08,2.9289055625270066e-09,1.8744994378927515e-07
1858,7.193703766006365e-08,4.404308417971237e-09,1.3408672039361136e-07
1859,7.485494535330872e-08,2.5460866748261424e-09,1.3647024754703807e-07
1860,7.00309130685639e-08,1.373155145145688e-09,1.450967244132073e-07
1861,1.669451110686282e-07,2.357981809808507e-09,1.2780261871014886e-07
1862,1.8704463400354143e-07,1.8071945051545413e-09,1.6942448288759238e-07
1863,1.6781925293862798e-07,1.4983863039219614e-09,1.648224912109697e-07
1864,8.486668434670719e-08,3.835782358407869e-09,1.0644296288830901e-07
1865,7.719224459634688e-08,1.882737743486018e-09,1.5720860147006022e-07
1866,4.670988573707291e-08,1.9462451650298362e-09,1.3039842683415515e-07
1867,5.871901720411188e-08,5.338092634588065e-09,8.201251411321664e-08
1868,7.16281718382561e-08,4.939874287401835e-09,7.656804967837161e-08
1869,6.446245492952585e-08,2.9301114867763545e-09,1.0743741962748743e-07
1870,5.6193677266946906e-08,1.7202146374017957e-09,1.3302993417951825e-07
1871,5.8416475212652585e-08,1.0621177271019633e-09,9.452848037660999e-08
1872,6.833493415570047e-08,0.0,1.1973731628422968e-07
1873,5.8662843471779524e-08,1.1972008939764578e-09,1.0475508194218719e-07
1874,3.7042575229406793e-08,4.779687201583727e-09,1.660941379988401e-07
1875,5.778742462325681e-08,5.721527140956084e-10,1.24157139680392e-07
1876,6.650616257708464e-08,0.0,1.4087214239566492e-07
1877,3.958282235316801e-08,2.4739263970730008e-09,1.4905406175991232e-07
1878,5.918306911212312e-08,0.0,8.81706965216722e-08
1879,2.6270098985037293e-08,6.10932526790009e-10,1.5823152565985765e-07
1880,4.6208491255583795e-08,0.0,9.819304902514148e-08
1881,6.135806757123774e-08,0.0,1.4990890817578872e-07
1882,4.6587697255517924e-08,0.0,1.1646923869790271e-07
1883,3.6652167523243406e-08,6.319338941018771e-10,1.5229606997735345e-07
1884,1.7164411225678577e-08,0.0,1.1751020601025175e-07
1885,3.867381448419138e-08,1.2891271383708158e-09,1.3149096855791242e-07
1886,5.2918402104751294e-08,0.0,1.3100531592868947e-07
1887,3.395040826248419e-08,0.0,1.1556196621853587e-07
1888,3.7409627395845746e-08,2.53624587998047e-09,9.320703830972832e-08
1889,3.696430539434914e-08,0.0,1.2091714163275924e-07
1890,2.0318597915292003e-08,2.6217545912032847e-09,1.0290387031375303e-07
1891,2.2309770031370135e-08,0.0,1.1027400903529383e-07
