year,petits_ADJ essais_NOUN
1800,1.320549074534938e-07
1801,9.048493621044429e-08
1802,4.923248297927785e-08
1803,8.776526527753958e-08
1804,7.415552971679062e-08
1805,4.264316544322355e-08
1806,5.187004603612877e-08
1807,9.11025637151397e-08
1808,6.798221985349073e-09
1809,8.132509776714869e-08
1810,5.8503168531842675e-08
1811,4.011322829455821e-08
1812,1.600324850414836e-08
1813,5.176335093892703e-08
1814,6.293354282149721e-09
1815,2.1577788444915313e-08
1816,4.4034473845044886e-08
1817,4.3592454090912724e-08
1818,6.556647491606782e-08
1819,3.829888639561574e-08
1820,5.933240565525466e-09
1821,1.2819934447350079e-08
1822,2.606660132187244e-08
1823,2.9648061783404955e-09
1824,2.6947560627377243e-08
1825,4.3146670236637874e-08
1826,8.80798456392995e-09
1827,2.8573547083965423e-08
1828,2.935136400594729e-08
1829,4.6295149047637096e-08
1830,3.8616291719861806e-08
1831,4.053713453799901e-08
1832,5.547287429408243e-08
1833,4.40177885252524e-08
1834,2.333632664885954e-08
1835,3.1764969321557146e-08
1836,2.8227150394855016e-08
1837,2.435261770017405e-08
1838,2.209256599883247e-08
1839,4.194885172559282e-08
1840,1.9109066329292546e-08
1841,2.247191943638427e-08
1842,2.4149754196400863e-08
1843,4.252976060215019e-08
1844,2.5247382018367404e-08
1845,2.287893430263921e-08
1846,2.4588905134237393e-08
1847,1.0786447290911383e-08
1848,3.298540818263973e-08
1849,3.4355601030711114e-08
1850,2.0366988096043315e-08
1851,3.2892137236117946e-08
1852,4.6875927361966774e-08
1853,5.5538966314827576e-08
1854,3.948705151746168e-08
1855,3.661786607267459e-08
1856,1.6567005267642543e-08
1857,3.807576925973777e-08
1858,1.565976326389773e-08
1859,3.76820823433377e-08
1860,5.217989790251565e-08
1861,4.433005784676425e-08
1862,1.6264750657413174e-08
1863,3.296449690992631e-08
1864,2.9727313943794798e-08
1865,3.671338666411117e-08
1866,2.8707116683790446e-08
1867,3.202855580752839e-08
1868,4.544684273355415e-08
1869,1.7580668254524312e-08
1870,3.1537268796455464e-08
1871,1.911811864374613e-08
1872,3.205089837976516e-08
1873,1.5563610844537834e-08
1874,1.7923827311250307e-08
1875,9.154443147973979e-09
1876,2.4184059865817176e-08
1877,2.7831672189115864e-08
1878,3.6838439854136595e-08
1879,1.3440515367335593e-08
1880,2.952209299245112e-08
1881,1.3247764385493355e-08
1882,4.1263388705914394e-08
1883,2.7805092117638708e-08
1884,2.1125430293977843e-08
1885,2.9005360224765298e-08
1886,2.7104547717371474e-08
1887,2.219834294159284e-08
1888,1.4583413365798492e-08
1889,2.6940088382332306e-08
1890,3.015017702168166e-08
1891,2.995883363610119e-08
1892,1.5671280939599797e-08
1893,1.7859408230069818e-08
1894,1.7014156306061068e-08
