year,derniers_ADJ doutes_NOUN
1800,2.829747991484055e-08
1801,2.6193008650921e-08
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509905596875e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,1.3596443970698147e-08
1809,0.0
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,1.1588019432906549e-08
1817,3.7364962679475866e-08
1818,1.1921177378582115e-09
1819,0.0
1820,0.0
1821,2.2681422962023134e-08
1822,4.010246357211145e-09
1823,1.8777104315859106e-08
1824,0.0
1825,2.641632912414593e-09
1826,2.642395191543301e-09
1827,5.530363722527909e-09
1828,8.255071293206129e-09
1829,6.001223074036943e-09
1830,1.878630406793036e-08
1831,1.7150327380477393e-08
1832,4.058990654698391e-08
1833,1.3900354645102198e-08
1834,3.173740381612333e-08
1835,9.075705520444899e-09
1836,8.064899859050456e-09
1837,2.5048407792382932e-08
1838,1.64116205070286e-08
1839,3.2859933440931854e-08
1840,1.9746034141121527e-08
1841,1.9903700021473014e-08
1842,2.0795621225033756e-08
1843,2.4218335781256428e-08
1844,3.841993034825464e-08
1845,4.687391452762313e-08
1846,6.088681203664237e-08
1847,4.368511241636952e-08
1848,3.378993085334514e-08
1849,6.703531596485846e-08
1850,4.5486274302675156e-08
1851,2.0638204034639784e-08
1852,5.5339636872986375e-08
1853,4.777545470346922e-08
1854,3.065441944727354e-08
1855,4.192480318465641e-08
1856,4.866558001026533e-08
1857,3.758761835115365e-08
1858,3.7191938417890924e-08
1859,8.249320870845622e-08
1860,5.950339243554481e-08
1861,4.998921454557603e-08
1862,4.608346060308577e-08
1863,5.394190338847693e-08
1864,4.411149845395812e-08
1865,7.76629320853317e-08
1866,3.843834051053818e-08
1867,6.017486242626546e-08
1868,7.261614598519373e-08
1869,6.983432143670143e-08
1870,4.816600807089344e-08
1871,3.186353225714811e-08
1872,7.740594298866199e-08
1873,6.70432527272169e-08
1874,8.782675564589226e-08
1875,8.353429592489192e-08
1876,7.557518699741195e-08
1877,1.1132668475966057e-07
1878,7.307297522629597e-08
1879,7.758843167948726e-08
1880,8.086486502634216e-08
1881,6.066081681410651e-08
1882,7.254369904785563e-08
1883,7.709593319304986e-08
1884,7.261866841190567e-08
1885,6.639005079023264e-08
1886,7.486018205327127e-08
1887,8.291734587828614e-08
1888,1.0779044856690234e-07
1889,8.771191772893872e-08
1890,7.996351314432104e-08
1891,7.712806393556093e-08
1892,1.0719156051663958e-07
1893,8.252278149711856e-08
1894,1.3359263562051638e-07
1895,7.583454220139174e-08
1896,1.0260830407560206e-07
1897,7.866063356232189e-08
1898,7.186110906332033e-08
1899,6.190887802404177e-08
1900,9.811090251332644e-08
1901,7.544797853142882e-08
1902,1.0802624217376433e-07
1903,8.532347806067264e-08
1904,7.148251768285263e-08
1905,6.657379003627284e-08
1906,6.944649300066885e-08
1907,7.86855025580735e-08
1908,7.6126532633225e-08
1909,6.491160320365452e-08
1910,7.80245983378336e-08
1911,7.18250490194805e-08
1912,7.866226070518678e-08
1913,1.03408297036367e-07
1914,8.705767129413289e-08
1915,1.0956108553727972e-07
1916,5.6036057571873243e-08
1917,5.3735480065597585e-08
1918,7.121553124989077e-08
1919,9.57616208552281e-08
1920,5.7548959375708364e-08
1921,6.815472630705699e-08
1922,5.3121134158118366e-08
1923,6.369568694708505e-08
1924,7.86389122708897e-08
1925,5.719052609265418e-08
1926,6.687682940764716e-08
1927,5.686104742608222e-08
1928,5.141718517620575e-08
1929,4.67897081080082e-08
1930,5.566909777598994e-08
1931,5.1324104077821175e-08
1932,7.452484851455665e-08
1933,7.11181087353907e-08
1934,6.470052937856963e-08
1935,8.018750463634206e-08
1936,4.122403041151301e-08
1937,7.176937089070634e-08
1938,7.90878047496335e-08
1939,5.964679417047591e-08
1940,6.339457314652464e-08
1941,6.198155233505531e-08
1942,8.192371581117186e-08
1943,3.774205836748479e-08
1944,1.2210107058763242e-07
1945,9.367567344042982e-08
1946,7.9350293447078e-08
1947,5.364391952866754e-08
1948,6.414413888933268e-08
1949,5.792034940554913e-08
1950,6.062155932795577e-08
1951,6.076999170545605e-08
1952,5.483298082253896e-08
1953,6.572035005092403e-08
1954,6.840775057526116e-08
1955,5.443652639769425e-08
1956,7.500181453679033e-08
1957,8.1282344410738e-08
1958,6.783239570040678e-08
1959,5.1930008737599564e-08
1960,5.6750835142338474e-08
1961,7.504011989567516e-08
1962,6.088278325933061e-08
1963,4.9142006020019835e-08
1964,6.08396817369794e-08
1965,6.128688312401209e-08
1966,5.81602854765606e-08
1967,6.853166212295037e-08
1968,5.7939264053175066e-08
1969,6.176790634526697e-08
1970,5.702419159092642e-08
1971,4.059333846839763e-08
1972,5.7457643976022155e-08
1973,4.520827090459534e-08
1974,3.994155761688489e-08
1975,5.483020970586949e-08
