year,deux_DET essais_NOUN,deux_DET décès_NOUN
1800,7.545994629154507e-08,0.0
1801,1.0477203682413005e-07,0.0
1802,8.503792514602537e-08,0.0
1803,5.070882025393075e-08,1.950339223455444e-09
1804,8.404293261321527e-08,2.4718509461507665e-09
1805,3.695741046527701e-08,0.0
1806,2.0171683878800195e-08,2.881669125542885e-09
1807,9.394952105168386e-08,0.0
1808,3.6257184810040144e-08,0.0
1809,1.061744367980566e-07,2.259030518203531e-09
1810,6.318342204991723e-08,0.0
1811,6.016984377410495e-08,0.0
1812,1.386948245141184e-07,0.0
1813,6.039057431905803e-08,2.8757416448144113e-09
1814,1.7306724231502812e-07,0.0
1815,8.0916705780254e-08,2.697223555614414e-09
1816,9.733936323641501e-08,0.0
1817,6.07180652423267e-08,0.0
1818,7.391129663858464e-08,1.668964877410417e-08
1819,7.866798079625426e-08,1.035105001712111e-09
1820,9.49318508247643e-08,1.4239777357261119e-08
1821,1.1044866621290339e-07,1.97229765852569e-09
1822,5.6143449000956025e-08,2.0051231786055723e-09
1823,6.720227263556922e-08,9.882686891060644e-10
1824,6.905312588401102e-08,1.6842225392110777e-09
1825,6.868245527869021e-08,0.0
1826,6.077509362434341e-08,1.7615968683770689e-09
1827,9.770309361556428e-08,9.217273055917019e-10
1828,3.8523664702694305e-08,1.8344602503717056e-09
1829,7.201468188444693e-08,0.0
1830,1.8890672848215218e-07,4.174734336004349e-09
1831,1.418799691066397e-07,1.2472964883158966e-08
1832,1.4612366872057692e-07,5.817886972181441e-08
1833,9.035229986409377e-08,1.853380560135065e-08
1834,8.214386992833056e-08,2.24028733342152e-08
1835,7.714349692378164e-08,1.4369867074037757e-08
1836,5.712637651811292e-08,8.06490002558391e-09
1837,5.775049594092252e-08,2.852735292435682e-08
1838,1.0920040027784239e-07,2.2723781967215473e-08
1839,1.265456975874102e-07,5.5931801412612e-09
1840,7.898414189355663e-08,1.0191501864653674e-08
1841,7.768863596879783e-08,1.3483152372373297e-08
1842,7.647422117784686e-08,1.1404051036834062e-08
1843,9.1557123438335e-08,1.7130042329061013e-08
1844,1.2513919589451916e-07,2.6893950177964143e-08
1845,7.589109946026795e-08,2.845916197147247e-08
1846,1.2118817815931493e-07,1.5807153141977892e-08
1847,1.0786446846822173e-07,1.240441438454809e-08
1848,8.045221910890632e-08,1.367687652020777e-08
1849,8.882179791669387e-08,3.854530916669319e-08
1850,1.0590833543488998e-07,1.3577992064028876e-08
1851,1.2124944781533031e-07,1.999326104673571e-08
1852,1.0742400391450246e-07,1.2370035884501362e-08
1853,2.0364287678376058e-07,1.5527023222716707e-08
1854,9.871762191027145e-08,1.6626126253527218e-08
1855,1.0666943239812099e-07,1.1675261646360013e-08
1856,7.921099731689196e-08,3.002769738413846e-08
1857,1.3082444638712332e-07,3.075350557546486e-08
1858,1.0619277057699605e-07,2.936205589776364e-08
1859,9.878816342734353e-08,1.0693564256314403e-08
1860,1.0802154326583491e-07,2.1055046039997194e-08
1861,1.230866525370189e-07,1.4147891302940252e-08
1862,1.5767772734709418e-07,1.3102160273392727e-08
1863,7.44198501156923e-08,1.398493809645629e-08
1864,1.2801923743310795e-07,1.8699438664171453e-08
1865,1.7744802605079713e-07,2.8711750810206382e-08
