year,mieux_ADV doté_VERB
1800,0.0
1801,0.0
1802,0.0
1803,9.751696339321825e-09
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,1.4234775136401367e-08
1808,6.798221985349073e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,2.8320094713762956e-08
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,1.1921177378582115e-09
1819,5.175524897538253e-09
1820,2.3732962262101864e-09
1821,8.875339574387908e-09
1822,3.0076847679083585e-09
1823,5.929612356680991e-09
1824,2.5263338088166165e-09
1825,3.522177216552791e-09
1826,7.0463874735082754e-09
1827,5.530363722527909e-09
1828,1.3758452155343548e-08
1829,2.0575622983187714e-08
1830,1.1480519646056564e-08
1831,0.0
1832,8.117981842303834e-09
1833,3.4750886612755494e-09
1834,2.240287422239362e-08
1835,2.4958190181223472e-08
1836,9.409050427677812e-09
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,6.292327547896548e-09
1840,1.0828470564661075e-08
1841,3.852329122366882e-09
1842,8.720745015011744e-09
1843,7.678984559333912e-09
1844,6.586273748609983e-09
1845,1.0044410636567136e-08
1846,1.5221703009160592e-08
1847,7.550513103637968e-09
1848,3.218088684420195e-09
1849,6.703531951757213e-09
1850,2.7155984128057753e-09
1851,1.3543821175687754e-08
1852,1.6276363368206148e-08
1853,2.388772735173461e-09
1854,6.754363734984281e-09
1855,5.837630823180007e-09
1856,1.9673318973900678e-08
1857,1.6597130780837688e-08
1858,7.829881631948865e-09
1859,2.1387128512628806e-08
1860,1.373155189554609e-08
1861,1.650587222457034e-08
1862,1.445755604123633e-08
1863,1.748117206545885e-08
1864,3.643993196078554e-08
1865,1.553258677233771e-08
1866,3.113992264047738e-08
1867,2.038180824115443e-08
1868,2.865126980111654e-08
1869,2.783605879130846e-08
1870,3.899153000475053e-08
1871,1.911811864374613e-08
1872,1.9351485747165498e-08
1873,3.4718826924518e-08
1874,9.559374625212058e-09
1875,1.2587359599081083e-08
1876,9.673623679873344e-09
1877,2.6594708657512456e-08
1878,1.7513357875031943e-08
1879,1.4662380642960215e-08
1880,2.1178893305773272e-08
1881,1.673401861523871e-08
1882,1.3976308999019693e-08
1883,3.2860562271253e-08
1884,1.650424152899177e-08
1885,2.707166935067562e-08
1886,1.4197620856748472e-08
1887,1.1099172247952538e-08
1888,1.3949351895803375e-08
1889,1.0024218788373673e-08
1890,1.9007721618891082e-08
1891,1.784781566982474e-08
1892,3.57305189879753e-08
1893,1.6011883374744684e-08
1894,1.071261657159539e-08
1895,1.8657704714541978e-08
1896,1.3563166589847242e-08
1897,1.981082675683865e-08
1898,2.4330926606808134e-08
1899,1.5477219506010442e-08
1900,1.245852754294674e-08
1901,3.129693837422565e-08
1902,1.6694965410124496e-08
1903,1.5660639007819555e-08
1904,3.2247751136083025e-08
1905,1.5998352864698973e-08
1906,1.6461390472954918e-08
