year,devons_VERB étendre_VERB,devons_VERB détendre_VERB
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.106114038724627e-08,0.0
1811,0.0,0.0
1812,1.3336041604361526e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.0858434979231788e-08,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,9.86148829262845e-10,0.0
1822,4.010246357211145e-09,0.0
1823,0.0,0.0
1824,5.052667617633233e-09,0.0
1825,8.805443041381977e-10,0.0
1826,4.403992281964975e-09,0.0
1827,1.1060727445055818e-08,0.0
1828,9.172301251858528e-10,0.0
1829,1.457439946506156e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,8.108539617524002e-09,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,2.2689263801112247e-09,0.0
1836,5.376600054063374e-09,0.0
1837,1.3915781860163179e-09,0.0
1838,5.049729523420865e-09,0.0
1839,1.3982950353153e-09,0.0
1840,3.1848443882154243e-09,0.0
1841,7.0626033910059505e-09,0.0
1842,6.708265054555795e-10,0.0
1843,1.4176587015413133e-08,0.0
1844,6.037417232818143e-09,0.0
1845,1.1718478631905782e-08,0.0
1846,8.781752214304106e-09,0.0
1847,1.0247124926365814e-08,0.0
1848,4.02261068899179e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,4.752297222410107e-09,0.0
1851,2.579775504329973e-09,0.0
1852,1.6276363368206148e-08,0.0
1853,2.388772735173461e-09,0.0
1854,8.313063126763609e-09,0.0
1855,5.837630823180007e-09,0.0
1856,1.2425253714809514e-08,0.0
1857,6.8341128311999455e-09,4.881509085841174e-10
1858,8.808616946964776e-09,0.0
1859,8.147477359443656e-09,0.0
1860,4.119465657481669e-09,0.0
1861,4.2443675241088386e-09,9.431927461278633e-10
1862,0.0,0.0
1863,3.496234635136375e-09,0.0
1864,1.4384183621984903e-08,0.0
1865,6.118897832863013e-09,0.0
1866,1.4596839292835284e-09,0.0
1867,4.85281148598915e-09,0.0
1868,5.9278488784286765e-09,0.0
1869,1.0255390314739543e-08,0.0
1870,1.1468097582678638e-09,5.734048791339319e-10
1871,1.1683295220166201e-08,0.0
1872,1.0885210954825197e-08,0.0
1873,2.7535620006347017e-08,1.1972008939764578e-09
1874,1.1949218503559678e-08,5.974609140757536e-10
1875,6.293679799540541e-09,0.0
1876,4.836811839936672e-09,0.0
1877,1.2988113695655557e-08,0.0
1878,3.6234530931267273e-09,6.039088673581716e-10
1879,4.887460214320072e-09,0.0
1880,1.2193908105473383e-08,0.0
1881,6.9725074602899895e-09,0.0
1882,1.0648616211028639e-08,0.0
1883,2.211768546089843e-08,0.0
1884,1.3203393933736152e-08,0.0
1885,1.2891271161663553e-08,0.0
1886,1.2906927970846027e-08,0.0
1887,5.876032105334161e-09,0.0
1888,1.0779045211961602e-08,6.340614699951175e-10
1889,4.385595886446936e-09,0.0
