year,leurs_DET eaux_NOUN,leurs_DET dos_NOUN
1800,2.37384421630793e-06,6.288328791015374e-08
1801,2.4002320841987057e-06,1.04772034603684e-07
1802,2.9673759058823634e-06,8.727576528144709e-08
1803,2.1278201174368405e-06,1.2092102963379148e-07
1804,3.220821721328093e-06,9.145848167690929e-08
1805,2.1748014358280443e-06,9.097208675257207e-08
1806,1.948008243601862e-06,7.492339904047185e-08
1807,2.334503134804322e-06,3.9857372513552036e-08
1808,2.0893201906346803e-06,7.251436784372345e-08
1809,2.069272007076961e-06,1.2876473931555665e-07
1810,2.2114197371081445e-06,1.0296557606537249e-07
1811,1.9028712952007254e-06,1.0529722516139373e-07
1812,2.02974537266698e-06,4.800974906515876e-08
1813,1.9785103546610117e-06,8.627225156487839e-08
1814,1.9540865867639923e-06,9.44003133440674e-08
1815,1.801745327156823e-06,5.1247248222807684e-08
1816,1.5921939109375671e-06,8.1116134253989e-08
1817,1.3046598770216633e-06,8.407116336428544e-08
1818,1.6534673044077408e-06,6.199012148044858e-08
1819,1.3715141626846616e-06,7.970308557592176e-08
1820,1.664867284034699e-06,4.746592274784689e-08
1821,1.3411623509540505e-06,3.451520824704346e-08
1822,1.7695212051194176e-06,1.2732532184145384e-07
1823,1.4280482449890997e-06,5.0401705031788424e-08
1824,1.7524335866880847e-06,1.3894836570216285e-07
1825,1.8350543555811782e-06,1.0654586191094495e-07
1826,1.8408687090243347e-06,9.424543179203937e-08
1827,1.3263655525008744e-06,5.253845775099464e-08
1828,1.5528705574752166e-06,7.613009689322325e-08
1829,1.8449474730175552e-06,5.058173935257315e-08
1830,1.7147720896559804e-06,5.3227864116323076e-08
1831,1.8849768714801485e-06,1.3096612860863388e-07
1832,1.4341768022063661e-06,7.306183669175681e-08
1833,2.2703911355392847e-06,1.0193592991925016e-07
1834,1.9247802338639985e-06,1.0641364900365602e-07
1835,1.8537128951834347e-06,7.184933537018878e-08
1836,1.6707784595837438e-06,9.6106723468381e-08
1837,1.6810264291677868e-06,4.244313345225237e-08
1838,1.8191650958954142e-06,1.2371837643243566e-07
1839,1.5234424424193094e-06,5.103777045434299e-08
1840,1.603250655790589e-06,5.987507023519356e-08
1841,1.357303966997847e-06,9.566617364953345e-08
1842,1.4758182649288187e-06,8.519496530468018e-08
1843,1.3916682206627229e-06,7.856192058008915e-08
1844,1.4314167691154012e-06,3.45779343491337e-08
1845,1.4346766352701934e-06,4.966402722406116e-08
1846,1.3178481932385466e-06,4.859235946952367e-08
1847,1.2911377176294536e-06,6.47186837454683e-08
1848,1.242986698457571e-06,5.390298646323899e-08
1849,1.4136072472581418e-06,7.038708660367377e-08
1850,1.3306432302684357e-06,6.517436190733861e-08
1851,1.3118157955460674e-06,5.868989205737307e-08
1852,1.3424744675916145e-06,5.5990691416596405e-08
1853,1.461928928137013e-06,4.18035241978032e-08
1854,1.3550292843333978e-06,6.442624195246438e-08
1855,1.4100531942062844e-06,4.6701046585440054e-08
1856,1.3900753312867664e-06,3.4169449492083004e-08
1857,1.4498081668534724e-06,6.00425603125565e-08
1858,1.3071008506670978e-06,4.306435030798639e-08
1859,1.2455456204207849e-06,9.318677007819076e-08
1860,1.2436208720600916e-06,6.865775570297217e-08
1861,1.342634897483208e-06,4.102888395696169e-08
1862,1.3874736257690756e-06,3.569209286458097e-08
1863,1.2971030667330297e-06,6.243275940676085e-08
1864,1.458556289080093e-06,6.281093900550871e-08
1865,1.2684945289720417e-06,4.6597759428834706e-08
1866,1.2431641103205493e-06,8.514822857907944e-08
1867,1.1714686873887104e-06,5.5322049163919473e-08
1868,1.3061026660210473e-06,6.471235025617972e-08
1869,1.3317356568620653e-06,6.299739774284774e-08
1870,1.406562120109811e-06,6.594156332084822e-08
1871,1.1173478124959502e-06,3.080141386391233e-08
1872,1.1465755296313773e-06,4.898344796444576e-08
1873,1.2187505653571407e-06,6.524744833313889e-08
1874,1.3251683341763965e-06,4.301718581345426e-08
1875,1.2764727213010474e-06,5.4926659998066896e-08
1876,1.4395560707924915e-06,7.073837338111844e-08
