year,leurs_DET hivers_NOUN,leurs_DET divers_ADJ
1900,5.710158568206225e-09,4.5940820903034307e-07
1901,1.1177477832191585e-09,4.7336618580473555e-07
1902,2.455141867585553e-09,5.185259719375779e-07
1903,4.860198465905796e-09,5.546026122793535e-07
1904,5.374625189347171e-10,5.084395162668898e-07
1905,4.64468330463319e-09,5.300099390481705e-07
1906,5.658603086100555e-09,4.840677645390201e-07
1907,5.142843484406967e-09,5.214843064038632e-07
1908,7.858222517143076e-09,5.024350961946311e-07
1909,8.251475058784763e-09,5.33595411855714e-07
1910,2.137660271017694e-09,5.247955927600856e-07
1911,4.25629931299909e-09,4.7404532299566426e-07
1912,1.1460726923040454e-08,4.782248790302646e-07
1913,2.6514948014977335e-09,4.7302668182425123e-07
1914,6.027069510139427e-09,4.942196625279394e-07
1915,5.890381071793627e-09,4.241074362809627e-07
1916,5.493730803607377e-09,5.460768512932646e-07
1917,4.386569774084137e-09,4.934890782681833e-07
1918,2.2972752589112133e-09,4.4222549533401434e-07
1919,8.287063479883727e-09,4.152739584428744e-07
1920,2.2716695191604686e-09,4.414611054492923e-07
1921,8.330022005509363e-09,4.2937478106352955e-07
1922,6.640141769764796e-09,4.264446835655633e-07
1923,5.307974060286824e-09,4.203915429101812e-07
1924,1.289162443462999e-09,4.512068545459158e-07
1925,4.399271169575059e-09,3.9043532051863394e-07
1926,1.114613823460786e-08,4.0683406088426466e-07
1927,7.804457524684949e-09,4.0025718650582576e-07
1928,7.998228745975666e-09,3.8848541183966745e-07
1929,1.2254447234738564e-08,4.110809987967201e-07
1930,8.402882833991043e-09,4.0123765332467087e-07
1931,7.983749661377715e-09,3.797983723075049e-07
1932,1.4247397484012936e-08,3.75912106886922e-07
1933,1.032359597807897e-08,4.771795261149236e-07
1934,1.0783422155213884e-08,4.768668961929734e-07
1935,5.98414207075848e-09,4.308582379763948e-07
1936,7.274828739411987e-09,3.831409896015714e-07
1937,6.295559185076627e-09,4.2054334503660584e-07
1938,0.0,4.252590398712286e-07
1939,1.5294050470515685e-09,3.945864976984126e-07
1940,2.5357829169792012e-09,3.62616958682338e-07
1941,0.0,3.6598632391360297e-07
1942,9.102635090130207e-09,4.4602912896429814e-07
1943,3.193558839598154e-08,4.093561760676323e-07
1944,6.4263723231761105e-09,4.4020650769027725e-07
1945,1.089252066321933e-08,3.8123821433089233e-07
1946,4.1763312808029696e-09,3.6751716248062394e-07
1947,5.960435700558264e-09,4.1365422553951703e-07
1948,1.3046265401328583e-08,4.577064895983085e-07
1949,6.8719057111366055e-09,4.260581647486106e-07
1950,3.190608444114673e-09,3.8606362151583085e-07
1951,1.1727541826545007e-08,3.7634748029091725e-07
1952,5.272402070488624e-09,4.175742320811082e-07
1953,7.54167928107563e-09,4.449590642607859e-07
1954,1.2704296947774196e-08,4.866723086749403e-07
1955,2.815682353940474e-09,4.1108961656988185e-07
1956,4.360570571293465e-09,3.924513718445155e-07
1957,1.0602045463770082e-08,4.5853847030485895e-07
1958,3.3088973783179654e-09,4.13612159189114e-07
1959,1.2401196514133517e-08,4.526436834240144e-07
1960,8.997083078554624e-09,3.7995373691757095e-07
1961,2.779263708063695e-09,3.9118136330174025e-07
1962,6.976151933901775e-09,3.754438178127373e-07
1963,7.1126584622049904e-09,3.937826424937896e-07
1964,5.475571551727398e-09,3.4861137243602514e-07
1965,8.755269398363907e-09,4.142336877954733e-07
1966,5.539074976468328e-09,4.076758965965155e-07
1967,4.437302081328198e-09,4.245019029625041e-07
1968,6.2879821072225894e-09,4.3791304360496497e-07
1969,8.629339909305145e-09,3.687907415006464e-07
1970,4.598724956395017e-09,4.286011754395247e-07
1971,6.6799168418896215e-09,3.709922973271773e-07
1972,5.130146973897354e-09,3.55006164909355e-07
1973,3.307922213924286e-09,3.6607672943000935e-07
1974,2.2502286700643026e-09,3.245954725006328e-07
1975,7.996072248772634e-09,3.4383111469082905e-07
1976,2.856763492431469e-09,3.016742069483769e-07
1977,2.3507127355770763e-09,3.3321351899928686e-07
1978,4.158414057542359e-09,2.7920780754087104e-07
1979,3.5111840102075575e-09,3.3063650484166374e-07
1980,2.8425752862659692e-09,2.927852493783689e-07
1981,6.958104314946922e-09,3.510680015583745e-07
1982,2.483000915987077e-09,3.1472036465807207e-07
