year,aviez_VERB eu_VERB,aviez_VERB dû_VERB
1800,2.4524482000742864e-07,1.2576657937302116e-08
1801,3.3336556271024165e-07,1.4287095950749062e-08
1802,2.528759353026544e-07,0.0
1803,1.969842600146876e-07,1.950339223455444e-09
1804,1.3100809326260787e-07,7.4155526164076946e-09
1805,2.6723051860244595e-07,0.0
1806,2.305335300434308e-07,3.1698359492793315e-08
1807,1.679703558465917e-07,0.0
1808,2.01680592226694e-07,2.2660739951163578e-09
1809,2.191259653727684e-07,2.0331274441787173e-08
1810,3.603795164508483e-07,4.680253518074551e-09
1811,1.3036799373367103e-07,2.2563691359778204e-08
1812,2.453831484672264e-07,8.00162425207418e-09
1813,2.041776525629757e-07,0.0
1814,2.0453401816666883e-07,3.1466771410748606e-09
1815,1.5643897199879575e-07,8.091670444798638e-09
1816,2.595716352971067e-07,0.0
1817,2.880215674849751e-07,1.0898113522728181e-08
1818,2.062363648747123e-07,9.536941902865692e-09
1819,2.4014437371988606e-07,1.449147024601416e-08
1820,5.767109882981458e-07,2.3732962262101864e-08
1821,4.2404400346640614e-07,1.8736827200882544e-08
1822,2.2958660395033803e-07,2.105379337535851e-08
1823,2.984571381148271e-07,2.2730180404550993e-08
1824,2.0800148092803283e-07,1.6842225392110777e-09
1825,2.2101662011664303e-07,2.641632912414593e-09
1826,2.01702846425178e-07,5.284790383086602e-09
1827,1.769716391208931e-07,1.7512819638909605e-08
1828,2.568244212852733e-07,1.4675682002973645e-08
1829,1.4660130887023115e-07,3.429270423183084e-09
1830,2.327414421188223e-07,3.444155893816969e-08
1831,2.5881402621052985e-07,3.741889287312006e-08
1832,2.773643643649848e-07,1.6235963684607668e-08
1833,2.1545548634094303e-07,0.0
1834,1.5121939611617563e-07,2.8003592777992026e-09
1835,2.3294310835808574e-07,1.4369867074037757e-08
1836,1.7272327568207402e-07,2.688300027031687e-09
1837,3.179756049576099e-07,1.6698937344017395e-08
1838,1.666410724965317e-07,1.009945904684173e-08
1839,1.922655741282142e-07,8.38977065598101e-09
1840,2.2357606610512448e-07,1.0828470564661075e-08
1841,1.9004824025614653e-07,4.494383976094696e-09
1842,2.2808100652582652e-07,1.341653010911159e-08
