year,vos_DET doutes_NOUN
1800,2.3581233676850388e-07
1801,2.2144998190753995e-07
1802,1.544109693440987e-07
1803,2.496434241550105e-07
1804,1.9033252129929679e-07
1805,2.3595885068061762e-07
1806,8.356840108802999e-08
1807,1.992868541300652e-07
1808,1.540930298915555e-07
1809,1.0843346753830474e-07
1810,3.954814076223556e-07
1811,6.518399464638946e-08
1812,1.2002437443925373e-07
1813,1.6966875193702435e-07
1814,1.0698702368472368e-07
1815,9.440282111583542e-08
1816,1.9236112791531923e-07
1817,2.926921987000952e-07
1818,2.908767222642439e-07
1819,1.8321357941886163e-07
1820,1.7325062540152203e-07
1821,3.885426309579998e-07
1822,2.466301509684854e-07
1823,2.5793813440699864e-07
1824,2.105278165132063e-07
1825,2.0252518861951785e-07
1826,2.1227241742138858e-07
1827,2.5716191132119093e-07
1828,2.1738354405442806e-07
1829,1.4231472467152173e-07
1830,2.3900353518513384e-07
1831,1.2317052777710558e-07
1832,2.0836153380443534e-07
1833,2.3746438682081816e-07
1834,1.6148738790633388e-07
1835,2.5563236505377063e-07
1836,2.910084893059661e-07
1837,2.0317042137563135e-07
1838,1.7358445703052894e-07
1839,1.7618517489381702e-07
1840,1.8281006075593353e-07
1841,2.1508838266015573e-07
1842,1.8112315025575754e-07
1843,2.2564399593250073e-07
1844,1.7673167240772614e-07
1845,1.841475212316368e-07
1846,2.3359460055161207e-07
1847,1.2134752580550412e-07
1848,1.5044565260247111e-07
1849,1.1144621936409749e-07
1850,1.2355972689448436e-07
1851,1.8767866549751488e-07
1852,1.5299781530586642e-07
1853,1.6183934725688687e-07
1854,4.198096994478817e-07
1855,2.1599234045766025e-07
1856,2.4073930560142287e-07
1857,1.4986233187741504e-07
1858,1.8987462802044774e-07
1859,1.420716393418786e-07
1860,1.5242022399775124e-07
1861,1.7684864150879775e-07
1862,1.4412376736494537e-07
1863,1.9828644548525176e-07
1864,2.6898424465571225e-07
1865,2.0804251654737982e-07
1866,1.7467549939809146e-07
1867,1.4461378405883352e-07
1868,1.6449780426697203e-07
1869,1.0353060653223167e-07
1870,1.6456720386415213e-07
1871,1.1789506615400569e-07
1872,1.3848407531824591e-07
1873,1.4067111031579316e-07
1874,1.1053027115792702e-07
1875,1.9567623166238945e-07
1876,1.1487428452916504e-07
1877,1.4348773014205563e-07
1878,1.1836613889038006e-07
1879,1.337942245882573e-07
1880,1.2707335184103385e-07
1881,1.0737661848558844e-07
1882,8.452339406161968e-08
1883,9.479008689083912e-08
1884,1.1685003364902968e-07
1885,9.732910127846495e-08
1886,7.227879561533257e-08
1887,7.312395272629502e-08
1888,9.130485278951994e-08
1889,7.831420667514521e-08
1890,6.161123577985705e-08
1891,6.374220085092475e-08
1892,7.271474267156464e-08
1893,6.466337520993903e-08
1894,6.4275701872063e-08
1895,5.8982422501685505e-08
1896,6.781583605786068e-08
1897,6.817255204794037e-08
1898,5.7715219492493475e-08
1899,5.1959236913035056e-08
1900,7.630848464224016e-08
1901,8.159558761988706e-08
1902,5.352209564435384e-08
1903,4.4281805111623385e-08
1904,7.793206791006924e-08
1905,5.522012003211785e-08
1906,7.253300449150402e-08
1907,5.451413853663212e-08
1908,5.402527847309102e-08
1909,5.0609049395689e-08
1910,7.000837387582948e-08
1911,5.533189073592126e-08
1912,9.064392969548862e-08
1913,6.893886550507489e-08
1914,7.232482968078102e-08
1915,3.887651423006844e-08
1916,4.2851101333951647e-08
1917,3.180263163926611e-08
1918,4.479686666059024e-08
1919,2.9465115458648938e-08
1920,4.316171953178127e-08
1921,5.452378104564559e-08
1922,2.7298360905092522e-08
1923,5.732611896291928e-08
1924,4.125319796877136e-08
1925,7.038833582662107e-08
1926,6.910605510057621e-08
1927,9.253856880775402e-08
1928,8.226749548256862e-08
1929,4.567566680435675e-08
1930,5.251801893368935e-08
1931,3.9918746530531735e-08
1932,4.7126006652575825e-08
1933,3.326492148403304e-08
1934,2.7557634396657704e-08
1935,2.752705441366743e-08
1936,2.182448666232517e-08
1937,4.658713592675667e-08
1938,4.1488687485546905e-08
1939,2.5999884911698246e-08
1940,3.0429394115571995e-08
1941,3.5418032950929046e-08
1942,3.9444752131245764e-08
1943,3.193558839598154e-08
1944,1.927911696952833e-08
1945,2.832055301382752e-08
1946,6.960552134671616e-08
1947,4.8875570479722796e-08
1948,3.913879664807496e-08
1949,5.988375173515692e-08
1950,7.976521088082222e-08
1951,7.676209179408033e-08
1952,4.2179216563908994e-08
1953,3.663101422191062e-08
1954,4.49536656788041e-08
1955,3.378818780319648e-08
1956,5.232685129641368e-08
1957,3.445664664702974e-08
1958,4.218844207315442e-08
1959,4.030389000320156e-08
