year,étais_VERB en_PRON,étais_VERB dans_ADP,etais_VERB dans_ADP
1800,0.0,4.7162465932615305e-08,0.0
1801,0.0,3.809892135109294e-08,0.0
1802,0.0,2.6854081625060644e-08,0.0
1803,0.0,2.5354410126965377e-08,1.950339223455444e-09
1804,0.0,1.1123329102247226e-07,0.0
1805,0.0,4.8328921309348516e-08,5.685755422035754e-09
1806,0.0,2.0171682990621775e-08,0.0
1807,0.0,4.27043254092041e-08,2.8469551160981155e-09
1808,0.0,9.064295980465431e-09,0.0
1809,0.0,1.3554183553310395e-08,4.518061036407062e-09
1810,2.3401267590372754e-09,8.190443878675069e-08,2.3401267590372754e-09
1811,0.0,2.2563691359778204e-08,0.0
1812,2.6672082320544632e-09,3.7340914360584065e-08,2.6672082320544632e-09
1813,0.0,3.163315653864629e-08,2.8757416448144113e-09
1814,0.0,4.72001566720337e-08,6.293354282149721e-09
1815,0.0,2.1577788444915313e-08,2.697223555614414e-09
1816,0.0,1.1588019432906549e-08,0.0
1817,1.556873407970727e-09,2.0239355080775567e-08,1.556873407970727e-09
1818,1.1921177378582115e-09,8.702459552978326e-08,0.0
1819,0.0,3.622867339458935e-08,2.070210003424222e-09
1820,1.1866481131050932e-09,4.9839222526770754e-08,2.3732962262101864e-09
1821,0.0,7.100271659510327e-08,9.86148829262845e-10
1822,1.0025615893027862e-09,7.619468078701175e-08,4.010246357211145e-09
1823,0.0,5.138997138942614e-08,2.9648061783404955e-09
1824,0.0,7.747424035642325e-08,0.0
1825,8.805443041381977e-10,5.2832657360113444e-08,2.641632912414593e-09
1826,2.642395191543301e-09,4.492072136486058e-08,0.0
1827,1.8434546111834038e-09,5.1616730445402936e-08,9.217273055917019e-10
1828,0.0,9.355747465633613e-08,6.420610709767516e-09
1829,1.0287811491593857e-08,6.515613648616636e-08,1.714635211591542e-09
1830,1.0436835840010872e-09,9.393152566872232e-08,2.0873671680021744e-09
1831,0.0,9.666548095310645e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,5.411987658021644e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,1.2973663388038403e-07,1.1583628500844156e-09
1834,1.8669061851994684e-09,9.801257760955195e-08,0.0
1835,7.563087933704082e-10,7.33619529569296e-08,2.2689263801112247e-09
1836,6.720750067579218e-10,7.325617445985699e-08,4.704525213838906e-09
1837,6.957890930081589e-10,9.462731753728804e-08,2.0873671680021744e-09
1838,1.2624323808552163e-09,6.754013526233393e-08,1.8936485712828244e-09
1839,0.0,4.1249702320556025e-08,5.5931801412612e-09
1840,3.821813088222825e-09,1.0955864837569607e-07,3.1848443882154243e-09
