year,mieux_ADV eu_VERB,mieux_ADV dû_VERB
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,1.1905912700171939e-08,1.904946067554647e-08
1802,1.5664880947952042e-08,0.0
1803,1.5602713787643552e-08,5.851017448321727e-09
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,2.5935023018064385e-08
1807,4.27043254092041e-08,2.8469551160981155e-09
1808,1.3596443970698147e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,2.0056614147279106e-08,1.0028307073639553e-08
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,1.7254450312975678e-08,0.0
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,1.8540831092650478e-08
1817,1.2454987263765815e-08,6.227493631882908e-09
1818,1.9073883805731384e-08,5.960588467246453e-09
1819,2.2772310259711048e-08,9.315945348475907e-09
1820,8.306536791735653e-09,2.610625848831205e-08
1821,8.875339574387908e-09,3.94459531705138e-09
1822,8.02049271442229e-09,7.017931125119503e-09
1823,8.894418535021487e-09,0.0
1824,5.894778887238772e-09,8.421112696055388e-09
1825,1.0566531649658373e-08,8.805443485471187e-09
1826,1.0569580766173203e-08,2.4662355713189754e-08
1827,7.373818444733615e-09,7.373818444733615e-09
1828,1.0089530988466322e-08,7.337841001486822e-09
1829,6.001223074036943e-09,2.571952872898464e-09
1830,1.7742621594152297e-08,9.39315203396518e-09
1831,3.897801548191637e-08,1.5591206103948707e-09
1832,2.976593194148336e-08,1.3529969367098715e-09
1833,1.3900354645102198e-08,2.3167257001688313e-09
1834,9.334531370086552e-09,4.667265685043276e-09
1835,1.4369867074037757e-08,2.2689263801112247e-09
1836,1.9490174807401672e-08,3.36037508930076e-09
1837,1.3219993100221927e-08,9.74104708006962e-09
1838,1.0730675015224733e-08,5.680945491803868e-09
1839,1.11863602825224e-08,2.7965900706306e-09
1840,9.554533164646273e-09,6.3696887764308485e-09
1841,7.704658244733764e-09,2.5682194149112547e-09
1842,1.1404051036834062e-08,1.0733224087289273e-08
1843,1.2404512972352677e-08,7.088293507706567e-09
1844,1.866110821424627e-08,7.1351298203126134e-09
1845,8.928364714222425e-09,1.0602432709561072e-08
1846,1.1709002656346001e-08,9.367202125076801e-09
1847,1.833696039454935e-08,8.089835468183537e-09
1848,7.24069959545659e-09,5.63165514222419e-09
1849,5.865590679832167e-09,1.6758829879393033e-09
1850,1.5614691761811628e-08,1.3577992064028876e-09
1851,1.096404567135778e-08,9.029214709244116e-09
1852,9.765818376195057e-09,7.161600201754936e-09
1853,1.2541057081705276e-08,3.5831591027601917e-09
1854,7.79349651480743e-09,2.5978321716024766e-09
1855,1.4328730202350926e-08,5.306937111981824e-09
1856,1.0354378687793542e-08,3.6240324075009767e-09
1857,1.5620829074691756e-08,3.905207268672939e-09
1858,1.0276719919488642e-08,2.936205500958522e-09
1859,1.8331824946926645e-08,4.582956236731661e-09
1860,1.373155189554609e-08,8.238931314963338e-09
1861,1.650587222457034e-08,4.715963730639317e-10
1862,1.400575744270327e-08,1.3102160245637151e-08
1863,1.3485475847119233e-08,6.99246927027275e-09
1864,1.0068928801842958e-08,1.0068928801842958e-08
1865,1.1296426905005319e-08,1.4120533631256649e-09
1866,1.1677471434268227e-08,1.9462451650298362e-09
1867,1.067618526917613e-08,7.279217228983725e-09
1868,8.89177353968762e-09,4.44588676984381e-09
1869,8.30198221279943e-09,3.4184632902167778e-09
1870,9.17447806614291e-09,2.8670243956696595e-09
1871,1.1683295220166201e-08,2.1242354542039266e-09
1872,1.3304146229131675e-08,2.4189357183956872e-09
1873,1.2570609442263958e-08,4.190203295451056e-09
1874,8.364453130127458e-09,1.7923826867161097e-09
1875,1.0298748520654044e-08,1.5448122780981066e-08
1876,1.5115036333668286e-08,3.627608879952504e-09
1877,7.421779191219002e-09,5.566334504436554e-09
1878,9.662541877730746e-09,4.22736201599605e-09
1879,5.498392852132383e-09,0.0
1880,1.0910338410496934e-08,6.417846254436199e-10
1881,6.9725074602899895e-09,5.5780060570498335e-09
1882,1.1314154946262533e-08,4.6587693702804245e-09
1883,1.8326083761621703e-08,1.2006744043446815e-08
1884,9.902545450302114e-09,3.300848483434038e-09
1885,7.7347630522695e-09,1.933690763067375e-09
1886,9.680196200179125e-09,6.4534639854230136e-09
1887,1.828098916689669e-08,6.528924623161458e-10
1888,1.268122939990235e-08,3.1703073499755874e-09
1889,9.397704836544563e-09,5.6386229019267375e-09
1890,1.1797895993481688e-08,1.3108772956016423e-09
1891,1.211101796627645e-08,5.736798147637501e-09
